Scenario_Type,AI_Prompt_Template,Variable_Inputs,Example_Generated_Event,Player_Impact,Dramatic_Potential,Realism_Level
Technology_Competition,"Generate a technology competition crisis where {Faction_A} develops {Technology_Type} causing {Faction_B} to respond with {Response_Type}. Include international implications and player choice consequences.","Faction_A, Faction_B, Technology_Type, Response_Type, Escalation_Level","China develops quantum LSW enhancement causing US to impose technology sanctions and threaten military action. European Union forced to choose sides while India offers mediation.","Players must choose between escalation and cooperation; Technology access affected; International operations complicated","High - Technology arms race with military implications","High - Based on real technology competition"
Border_Conflict,"Create a border incident where {Country_A} LSWs cross into {Country_B} territory causing {Incident_Type}. Show how {Faction_C} and {Faction_D} respond differently.","Country_A, Country_B, Incident_Type, Faction_C, Faction_D","Pakistani LSWs cross Kashmir border pursuing terrorists causing Indian military response. US supports India while China backs Pakistan creating proxy conflict.","Border operations become restricted; Faction authority affected; Investigation cooperation limited","Very High - Military escalation with superpower backing","High - Based on real geopolitical tensions"
Resource_Discovery,"Generate a crisis where valuable {Resource_Type} is discovered in {Location} causing international competition between {Faction_List}.","Resource_Type, Location, Faction_List, Strategic_Value","Alien technology deposits discovered in Congo triggering international competition. Nigeria claims African sovereignty while US/China/India seek resource access.","Resource access affects technology development; African operations authority; Continental vs international law","High - International resource competition","Medium - Fictional alien resources but realistic competition"
Humanitarian_Crisis,"Create a humanitarian disaster in {Location} requiring LSW response. Show how {Faction_A} prioritizes humanitarian aid while {Faction_B} pursues political advantage.","Location, Disaster_Type, Faction_A, Faction_B, Political_Complications","Earthquake in Nepal requires LSW rescue operations. India provides immediate humanitarian aid while China offers reconstruction loans with political conditions.","Humanitarian vs political priorities; International reputation effects; Regional authority implications","Medium - Moral choice vs political advantage","Very High - Based on real humanitarian responses"
Economic_Warfare,"Generate an economic conflict where {Economic_Power} uses LSW capabilities to manipulate {Target_Economy} causing {International_Response}.","Economic_Power, Target_Economy, LSW_Method, International_Response","Megacorp uses precognitive LSWs for market manipulation causing global financial instability. G7 considers LSW economic regulation while developing nations demand compensation.","Economic operations affected; Corporate vs government authority; International economic law implications","Medium - Economic manipulation focus","High - Based on real economic warfare concerns"
Alien_Contact,"Create a first contact scenario where {Faction} encounters {Alien_Type} leading to {Contact_Outcome} and international response.","Faction, Alien_Type, Contact_Outcome, International_Response, Secrecy_Level","Nigerian LSW team makes first contact with Gray aliens revealing alien LSW enhancement program. US demands information sharing while China attempts independent alien contact.","First contact protocols; Information sharing vs national advantage; Alien relationship management","Very High - First contact with aliens","Low - Fictional alien contact"
Religious_Conflict,"Generate a religious crisis where {Religious_Group} claims {Divine_Authority} over LSW powers challenging {Government_Authority}.","Religious_Group, Divine_Authority, Government_Authority, Secular_Response","Vatican declares LSW powers are divine gifts requiring church oversight. Italian government resists while Catholic countries consider religious LSW governance.","Religious vs secular authority; Constitutional implications; International religious politics","High - Religion vs government authority","Medium - Fictional religious claims but realistic institutional conflict"
Time_Travel_Crisis,"Create a temporal crisis where {Time_Faction} uses time travel for {Temporal_Goal} creating {Paradox_Risk} and {International_Response}.","Time_Faction, Temporal_Goal, Paradox_Risk, International_Response","US time traveler attempts to prevent 9/11 creating timeline paradox. UN establishes temporal authority while other factions demand time travel moratorium.","Time travel operations regulated; Timeline stability vs historical intervention; Temporal authority establishment","Very High - Timeline and reality implications","Low - Fictional time travel but realistic international response"
Corporate_Conspiracy,"Generate a corporate conspiracy where {Corporation} secretly {Conspiracy_Action} affecting {LSW_Community} discovered by {Investigating_Faction}.","Corporation, Conspiracy_Action, LSW_Community, Investigating_Faction","Multinational pharmaceutical company secretly doses population with LSW-suppressing drugs discovered by Indian investigation. Global health implications and corporate accountability crisis.","Corporate vs government authority; Global health implications; Corporate conspiracy investigation","High - Corporate power vs public safety","Medium - Fictional conspiracy but realistic corporate power concerns"
Military_Coup_Attempt,"Create a military crisis where {Military_Faction} attempts to {Military_Action} using LSW forces causing {Government_Response}.","Military_Faction, Military_Action, Government_Response, International_Reaction","Rogue military faction attempts coup using LSW soldiers. Democratic government requests international assistance while authoritarian nations consider supporting military.","Military vs civilian authority; Constitutional crisis; International intervention implications","Very High - Military coup with superpowers","High - Based on real military coup patterns"
