Character_Name,Captain_America_Type,Batman_Type,Stat_Values,Equipment_Loadout,Combat_Capabilities,Investigation_Skills,Background
Steve_Rogers,Altered Human (ORIG_002),Enhanced super-soldier,MEL:65 AGL:55 STR:60 STA:70 INT:45 INS:50 CON:65,Vibranium Shield + Tactical Armor + Military gear,Threat Level 2; Shield combat specialist; Leadership training,Military tactics; Team coordination; Patriotic inspiration,"WW2 super-soldier; Military background; Patriotic hero; Secret identity: None"
Bruce_Wayne,Skilled Human (ORIG_001),Peak human with technology,MEL:55 AGL:60 STR:45 STA:55 INT:80 INS:75 CON:50,High-tech suit + Utility belt + Stealth gear,Threat Level Alpha; Martial arts master; Technology specialist,Detective work; Stealth operations; Criminal psychology,"Billionaire inventor; Master detective; Martial arts training; Secret identity: Bruce Wayne"
Turn_1,Initiative Phase,Calculate who goes first,Steve Rogers: AGL 55 + INS 25 + Threat bonus 10 = 90 total; Bruce Wayne: AGL 60 + INS 37 + Tech gear 5 = 102 total,Bruce Wayne wins initiative and acts first,Batman gets first action,Agility and Instinct determine turn order; Tech gear provides initiative bonus
Turn_1_Batman_Action,Batman Turn 1,Batman opens with stealth smoke grenade,Batman throws smoke grenade: Base accuracy +2CS (Throwing skill) + 1CS (Tech gear) = +3CS total. Dice roll: 67 (Yellow result - Major Success),Smoke grenade hits and creates concealment cloud (-2CS visibility for both characters),Batman gains stealth advantage,Smoke tactics reduce visibility for tactical advantage
Turn_1_Cap_Action,Captain America Turn 1,Captain America throws shield through smoke,Cap shield throw: Base accuracy +2CS (Shield skill) + 1CS (Leadership) - 2CS (smoke) = +1CS total. Dice roll: 78 (Yellow result - Major Success),Shield hits Batman for 25 damage + ricochet effect. Shield returns to Cap,Batman takes significant damage but stays conscious,Shield throw works even in limited visibility; Ricochet effect provides tactical option
Turn_2,Batman Turn 2,Batman uses stealth to reposition,Batman stealth movement: AGL 60 + Stealth skill +3CS + Tech suit +2CS - smoke penalty 0 (negated by tech) = +5CS total. Dice roll: 43 (Green result - Success),Batman successfully relocates behind cover unseen by Cap,Batman gains positional advantage,Stealth allows tactical repositioning; Tech suit negates smoke penalty
Turn_2_Cap_Action,Captain America Turn 2,Cap charges toward last known Batman position,Cap movement + attack: STR 60 + Martial Arts +2CS - smoke penalty -2CS = +0CS. Dice roll: 82 (Yellow result - Major Success),Cap finds Batman's position and connects with shield bash for 35 damage,Both characters now in melee range,Direct assault can overcome stealth positioning
Turn_3,Batman Turn 3,Batman counter-attacks with martial arts,Batman martial arts: MEL 55 + Martial Arts +2CS + Tech suit +1CS = +3CS total. Dice roll: 91 (Red result - Critical Success!),Critical hit! Roll on crit table: ARM BLOW - Cap's shield arm suffers -1CS penalty until healed,Captain America's shield arm injured; Combat effectiveness reduced,Critical success creates lasting injury; Martial arts training enables precision strikes
Turn_3_Cap_Action,Captain America Turn 3,Cap retaliates with injured arm,Cap shield attack: MEL 65 + Shield skill +2CS - arm injury -1CS = +1CS total. Dice roll: 34 (Green result - Success),Shield bash hits Batman for 30 damage. Batman bloodied but fighting,Both characters significantly damaged,Arm injury affects but doesn't prevent shield use
Turn_4,Batman Turn 4,Batman uses grappling hook for tactical advantage,Batman grappling: AGL 60 + Tech gear +2CS + Stealth +1CS = +3CS. Dice roll: 52 (Green result - Success),Batman swings above Cap's reach and gains altitude advantage (+1CS),Batman gains temporary height advantage,Technology provides tactical mobility options
Turn_4_Cap_Action,Captain America Turn 4,Cap attempts shield ricochet to hit elevated Batman,Cap ricochet throw: AGL 55 + Shield skill +2CS + Leadership +1CS - height disadvantage -1CS = +2CS. Dice roll: 88 (Red result - Critical Success!),Critical hit! Shield ricochets off wall and hits Batman from unexpected angle. Roll crit: KNOCKED DOWN - Batman falls from grappling line,Batman falls and takes falling damage (1d6 = 4 damage) + prone status,Shield ricochet allows unexpected attack angles; Height advantage can be overcome
Turn_5,Batman Turn 5,Batman recovers from fall and uses tech advantage,Batman stands (1 action) + uses tech weapon: INT 80 + Tech gear +3CS - prone recovery penalty -1CS = +2CS. Dice roll: 29 (White result - Failure),Batman's tech weapon malfunctions due to combat damage. No effect,Technology can fail under combat stress,Advanced technology vulnerable to combat damage
