,,,
Skill Rank,Talent CS,Martial Arts,
Piloting,,,Ability to pilot a flying vehicle
Aircraft Radar System,,,Ability to find other vehicles in sector
Navigation,,,Additions to maneuverability of vehicles during combat
Patrolling,,,Ability to perform more efficient patrols.
Researching,,,
Engineer,,,
Reverse Engineer,,,Can research destroyed robotic tech
Detective,Escape Artist,,Ability to exit combat without penalty when the NME doesn't see them.
Tracking,Talent CS,,
,,"+CS for inanimate objects (robots and walls)
",
Reflex,,Roll with blow - Able to divide damage from bashing,
