,,,,,,,,,,,
,,DAMAGE X,SMASHING,Gameplay or Story Effect,Exception,,,,,,
Extra Damage,Bad Bruise,1.5, 2d6 + Strength nonlethal damage,,689,,,,,,
,Knock Back ,, Reflex save vs. damage dealtor target is knocked back 5 ft.,,,,,,,,SMASHING MELEE
Change Status,Knock Down,, knocked prone,,,,,,,,SMASHING PROJECTILE
,Armor Crush  ,,"1 AC and armor check #nalty doubled until armor is repaired (until healed, if unarmored)",,,,,,,,IMPACT
,Gut Blow ,, sickened forld4 rounds,,689,,,,,,GUNFIRE
,Head Blow,1.5, stunned for round,,,,,,,,EXPLOSION
,Sunder,," normal damage to armor or shield (2 to ACuntil healed, if target is unarmored)",,,,,,,,SOUND
,Gut Strike ,, nauseated forld6 rounds,,,,,,,,PIERCING PROJECTILE
,Arm Blow ,, main weapon arm (or closest equivalent) suffers 1CS until healed,,,,,,,,EDGED MELEE
,Headstrike ,, stunned forld4 rounds,,,,,,,,ENERGY
,Dead Arm ,, main weapon arm (or closest equivalent) cannot be used until healed,,,,,,,,ELECTROMAGETIC
,Knockout,, target is unconscious,,,,,,,,
,Internal Bleeding,, ld4 bleed (only magic healing ends),,,,,,,,
,Kneecap,, Id2 Agility damage and move S#ed reduced by 10 ft.,,,,,,,,
,Face Smash ,, ld4 FAME damage,,,,,,,,
,Temporary Amnesia,, confused forld6 rounds,,,,,,,,
,Minor Concussion,,"  dazed forl round, ld4 Intelligence damage",,,,,,,,
,Chest Blow,," Id4 Stamina damage, carrying capacity halved until recovery",,,,,,,,
,Broken Jaw ,," 2d4 FAME damage, unable to speak, bite, or eatsolid foods until recovery","change letters positions in middle of word Example  ""You can raed tihs eevn wtih shfufeld leetrts""",,,,,,,
,Major Concussion,," stunned forld4 rounds, Id6 Intelligence damage",,,,,,,,
,Broken Ribs ,," ld6 Stamina drain, carrying capacity halved until recovery",,,,,,,,
,Head Trauma ,," 1d6 Int damage, ld6 Ins damage, unconscious until recovery",,,,,,,,
,Major Head Trauma ,1.5," 2d6 Int damage, ld6 Ins damage, unconscious until recovery",,,,,,,,
,,,,,,,,,,,
,,,PIERCING,,,,,,,,
,,,,,,,,,,,
,Puncture,, ld4 bleed,,,,,,,,
,Knock Back ,, Reflex save vs. damage dealtor target is knocked back 5 ft.,,,,,,,,
,Knock Down ,, knocked prone,,,,,,,,
,Stuck Inside ,, weapon is stuck (DC 15 Str to remove); damage cannot be healed until weapon is removed,,,,,,,,
,Deep Wound ,, ld6 bleed,,,,,,,,
,Ugly Wound,, Id4 FAME damage,,,,,,,,
,To the Knee,, ld2 Agility damage and move speed reduced by 10 ft.,,,,,,,,
The (W) went,Through the Hand ,, Id2 Dex damage; 2 to attack with that hand until recovery,,,,,,,,
,Arm Puncture ,, ld3 Strength damage,,,,,,,,
Has suffered a,Leg Wound,, Id3 Strength damage and move S#ed reduced by 10 until recovery,,,,,,,,
,Muscle Puncture ,, ld4 Strength damage,,,,,,,,
Has suffered,Organ Damage ,, Id2 Con damage and Id6 bleed,,,,,,,,
The (W) went,All the Way Through ,, ld2 Con damage and 2d6 bleed,,,,,,,,
Has suffered a,Eye Gouge,,"  permanently blinded in one eye; 4 to sightbased Perception, 2 to hit (4 ranged), 2Gaze DC",,,,,,,,
Has suffered a,Throat Puncture,,"  ld4 Con damage, ld6 bleed, no speech or breath weapon until healed",,,,,,,,
Has suffered a,Punctured Skull,, Id6 Int drain,,,,,,,,
Has suffered a,Stomach Rupture,,"  ld6 bleed, ld2 Con bleed (only magic healing ends both); nauseated forld3 hours",,,,,,,,
Has suffered a,Punctured Lung ,, ld6 Con damage; begin drowning in ld2 rounds (magic or DC 20 Heal check ends),,,,,,,,
,,,,,,,,,,,
,,,Slashing,,,,,,,,
,,,,,,,,,,,
,DeepCut,, ld4 bleed,,,,,,,,
,Knock Back ,, Reflex save vs. damage dealtor target is knocked back 5 ft.,,,,,,,,
,Trip,, knocked prone,,,,,,,,
,Disarm,, make a free Disarm attempt against target's weapon or another held item,,,,,,,,
,Sunder,," double damage to shield or normal damage to armor (2 to AC until healed, if target is unarmored)",,,,,,,,
,Deep Gasg,,Id6 bleed,,,,,,,,
,Brow Gash,,"  ld4 bleed, blinded while bleeding",,,,,,,,
,Ugly Wound,, ld4 FAME damage,,,,,,,,
,Cutto the Bone ,," ld4 Strength damage, ld6 bleed",,,,,,,,
,Muscle Cut,, 1 Strength bleed,,,,,,,,
,Hamstring,," ld6 Dex damage, movementspeed reduced to 10 until recovery",,,,,,,,
,FingerChop,, lose Id3 fingers; 1 Dex per 2 fingers lost,,,,,,,,
,Severed Ear,," lose ear; 2 to hearingbased Perception checks, +1 to saves vs. sonicor vocal effects",,,,,,,,
,Eye Cut ,," prmanently blinded in one eye; 4 to sightbased Perception, 2 to hit (4 ranged), 2Gaze attack DC",,,,,,,,
,ArteryCut,, ld4 Con bleed,,,,,,,,
,HandChop,, lcvse hand; 4 Dex,,,,,,,,
,FootChop ,," lose foot; 4 Dex, move speed halved",,,,,,,,
,ArmChop ,, lose arm above the elbow; 4 Str and Dex,,,,,,,,
,LegChop ,," lose leg above the knee; 4Str and Dex, move speed halved",,,,,,,,
