Resolution_Step,Step_Name,Calculation_Method,Required_Data,Formula,Output_Data,Integration_Points,Special_Cases,Error_Handling
STEP_001,Initiative_Calculation,Statistical,Agility + Instinct + Threat Level + Powers + Equipment + Situation,"Initiative = AGI + (INT/2) + Threat_Bonus + Power_Bonus + Equipment_Bonus + Situation_Mod",Turn order sequence,Initiative_Turn_Order.csv + Character stats,Powers like Super Speed add +30; Surprise adds +15,Default to Agility if other stats missing
STEP_002,Action_Declaration,Strategic,Available actions based on character capabilities and situation,Character declares intended action from available options,Action chosen with AP cost and target selection,Complete_Skills_Talents.csv + LSW_Power_Combat_Mechanics.csv,Some powers require line of sight or touch; environmental restrictions apply,Default to basic attack if invalid action chosen
STEP_003,Accuracy_Calculation,Statistical,Skill + Power + Equipment + Environmental + Target Defense,"Accuracy = Base_Skill + Power_CS + Equipment_CS + Environment_Mod - Target_Defense_CS",Hit/Miss result with degree of success,Dodge charts + skill bonuses + power modifiers,Column Shift system determines White/Green/Yellow/Red results,Minimum 5% hit chance; maximum 95% hit chance
STEP_004,Damage_Calculation,Statistical,Weapon + Power + Strength + Accuracy Result,"Damage = Base_Weapon_Damage + Power_Damage + STR_Mod + Accuracy_Multiplier",Raw damage before armor,Weapons.csv + LSW power damage + strength bonuses,Yellow hits get +50% damage; Red hits get +100% damage; Critical locations get multipliers,Minimum 1 damage on successful hit
STEP_005,Armor_Reduction,Statistical,Armor type vs damage type + armor condition,"Armor_Reduction = Armor_DR × Condition_Multiplier × Type_Effectiveness",Damage after armor protection,Armor_Equipment.csv + armor condition tracking,Physical armor reduces physical damage; Energy armor reduces energy; Mystical reduces supernatural,No armor = no reduction
STEP_006,Final_Damage,Statistical,Raw damage - armor reduction + environmental factors,"Final_Damage = Raw_Damage - Armor_Reduction + Environmental_Bonus",Actual damage dealt to target,Damage integration with health tracking,Environmental bonuses from height advantage or environmental hazards,Minimum 0 damage (cannot heal through armor)
STEP_007,Status_Effect_Application,Conditional,Damage type + attack result + power effects + environmental factors,Status effects applied based on damage source and circumstances,Status effects added to character,Status_Effects_Complete.csv + power-specific effects,Fire damage causes burning; psychic attacks may cause mental effects; critical hits cause bleeding,Status effects stack according to severity rules
STEP_008,Knockback_Resolution,Conditional,Attacker strength + attack result + target resistance + environmental factors,"Knockback_Distance = Attacker_STR_Rank (if Major Success or higher)",Target displacement and environmental interaction,Knockback_Mechanics.csv + environmental destruction,Super Strength doubles knockback; flight can arrest knockback; immovable objects stop knockback,No knockback on White or Green results unless special power
STEP_009,Environmental_Damage,Conditional,Knockback result + environmental materials + impact force,"Environment_Damage = Impact_Force vs Material_Strength + Area_Effect",Property destruction and secondary effects,Material strength tables + environmental hazard creation,Knocking someone through brick wall destroys wall; creates debris; may damage adjacent areas,Environmental damage affects future combat rounds in same location
STEP_010,Secondary_Effects,Conditional,Environmental damage + civilian presence + visibility + faction relations,Secondary consequences of combat actions,Political and legal ramifications,Public_Perception.csv + investigation consequence tracking,Property damage creates lawsuits; civilian casualties affect reputation; public battles get media attention,Secondary effects process after combat resolution
STEP_011,Health_Status_Update,Administrative,Final damage + existing status effects + healing factors,"New_Health = Current_Health - Final_Damage + Healing - Status_Damage",Updated character health and status,Character health tracking + status effect duration,Regeneration powers provide healing; status effects may deal additional damage; armor condition updates,Health cannot go below -10 (dying threshold)
STEP_012,Equipment_Condition_Update,Administrative,Equipment damage from combat + environmental exposure + power interactions,"Equipment_Condition = Current_Condition - Combat_Damage - Environmental_Damage",Updated equipment status and effectiveness,Armor_Equipment.csv condition tracking,Energy attacks damage electronic equipment; physical impacts damage armor; power overloads may destroy equipment,Equipment destroyed at 0% condition
STEP_013,Experience_Calculation,Progressive,Combat difficulty + actions used + victory achievement + civilian protection,"Experience = Base_XP × Difficulty_Mod × Performance_Mod × Civilian_Mod",Experience points gained from combat,Player_Scaling.csv progression tracking,Harder opponents give more experience; protecting civilians provides bonus; using new abilities gives learning bonus,Minimum 10 XP for participation
STEP_014,Reputation_Calculation,Social,Combat outcome + property damage + civilian impact + media coverage + faction relations,"Reputation_Change = Victory_Bonus + Damage_Penalty + Civilian_Bonus/Penalty + Media_Mod",Reputation changes across different scales,Public_Perception.csv reputation tracking,Local/regional/national/global reputation tracked separately; actions affect different scales differently,Reputation changes can be positive or negative
STEP_015,Investigation_Impact,Investigative,Combat location + enemy defeated + evidence gathered + witness testimony,"Investigation_Progress = Evidence_Gathered + Witness_Cooperation + Enemy_Interrogation",Investigation advancement or complications,Investigation system integration,Combat may advance investigation; defeating enemies may provide evidence; witnesses may provide testimony,Failed combat may complicate investigation
Combat_Engine_Standard,Engine Type,Normal combat resolution,Uses all standard rules and mechanics,Processes combat through all 15 steps in sequence,Complete combat results with all consequences,All CSV systems integrated,Standard combat between characters using established rules,Full consequence processing
Combat_Engine_Quick,Engine Type,Rapid combat resolution,Uses simplified mechanics for speed,Skips detailed environmental and secondary effect processing,Basic combat results with essential consequences only,Core combat CSV systems only,Quick testing of character builds and basic balance,Limited consequence processing for rapid iteration
Combat_Engine_Detailed,Engine Type,Comprehensive combat analysis,Uses all rules plus additional analysis,Processes combat with extra statistical analysis and breakdown,Detailed combat analysis with learning opportunities,All systems plus analysis tools,Educational combat for understanding system interactions,Maximum detail for system validation
Combat_Engine_Simulation,Engine Type,Statistical simulation,Uses probability calculations instead of dice rolls,Runs multiple statistical simulations to determine probable outcomes,Probability-based results with confidence intervals,Statistical analysis integration,Large-scale balance testing and probability analysis,Statistical rather than individual resolution
