Section,Topic,Rule,Formula_Or_Example,Source_File

---COMBAT FLOW OVERVIEW---,,,,
Step_1,Determine Initiative,Higher (AGL+INS)/2 goes first,"Initiative = (AGL + INS) / 2",Combat_Resolution_Engine.csv
Step_2,Declare Action,Attacker chooses: Power attack OR Weapon attack OR Skill use,Choose from available powers/weapons/skills,Character sheet
Step_3,Determine Hit Stat,Physical melee = MEL; Ranged/Energy = AGL; Mental/Psychic = CON,See Power_Attack_Stats.csv,Power_Attack_Stats.csv
Step_4,Find Base Column,Look up stat value in Stat_Rank_Mapping,MEL 35 = Remarkable = Column 6,Stat_Rank_Mapping.csv
Step_5,Apply Attacker CS,Add skill bonuses + power bonuses,Martial Arts +2CS; Super Strength High +4CS lifting,Complete_Skills_Talents.csv + LSW_Power_Combat_Mechanics.csv
Step_6,Apply Defender CS,Subtract target's dodge (based on AGL+INS for melee or AGL for ranged),AGL 25 + INS 20 = 45 = -2CS,Dodge Chart CSV
Step_7,Calculate Final Column,Base Column + Attacker CS - Defender CS (min 0 max 11),"Final = 6 + 2 - 2 = 6 (Remarkable)",N/A
Step_8,Roll d100,Roll percentile dice (00-99),Roll: 34,N/A
Step_9,Universal Table Lookup,Cross-reference roll with column to get result,34 on Column 6 = Success,Universal_Table.csv
Step_10,Calculate Base Damage,Power damage OR Weapon damage + STR (if melee),Super Strength High: STR + 50 = 65 + 50 = 115,LSW_Power_Combat_Mechanics.csv
Step_11,Apply Result Multiplier,Failed=0x Minor=0.5x Success=1x Major=1.5x,"115 × 1.0 = 115",N/A
Step_12,Apply Armor/DR,Subtract Damage Reduction from damage,"115 - 15 (Durability) = 100",Character powers
Step_13,Apply Special Skills,Roll With Blow halves blunt; etc.,"100 - 50 (Roll With Blow) = 50 final",Complete_Skills_Talents.csv
Step_14,Apply Damage to Health,Subtract final damage from target health,"Target Health: 205 - 50 = 155",N/A
Step_15,Check Knockback,Major Success + STR 40+ = knockback per chart,STR 65 = 8 squares knockback,Knockback CSV
Step_16,Apply Status Effects,Based on power and result level,Major Success = Knockback + Stun,Status Effects CSV

---HIT STAT RULES---,,,,
Melee_Physical,Super Strength / Punch / Melee Weapons,Use MEL (Melee) for hit roll,MEL determines if attack connects,Power_Attack_Stats.csv
Ranged_Physical,Thrown objects / Ranged weapons,Use AGL (Agility) for hit roll,AGL for aiming projectiles,Power_Attack_Stats.csv
Energy_Projection,Fire Generation / Psychic Blast / Bio-Energy,Use AGL (ranged) or CON (mental) for hit roll,Depends on power type,Power_Attack_Stats.csv
Mental_Powers,Psychic Persuasion / Memory Imprinting,Use CON (Concentration) for hit roll,Mental focus determines success,Power_Attack_Stats.csv
Grappling,Wrestling / Holds,Use MEL; contested by target MEL or STR,Winner controls grapple,Wrestling System

---DAMAGE STAT RULES---,,,,
Melee_Damage,Punches / Super Strength / Melee Weapons,STR + Power bonus + Weapon damage,"STR 65 + SS bonus 50 = 115",Power formula
Ranged_Weapon,Guns / Bows,Weapon damage only (no STR),"Assault Rifle = 30 damage",Weapons CSV
Thrown_Weapon,Throwing Knife / Thrown objects,STR + Weapon damage; Range = STR/5,"STR 40 + Knife 10 = 50; Range = 8",Weapons CSV
Energy_Powers,Fire Generation / Psychic Blast,Power rank determines damage,"Fire Gen High = 75 damage",LSW_Power_Combat_Mechanics.csv
Mental_Powers,Psychic Blast,Power rank determines damage; bypasses physical armor,"Psychic Blast Low = 25 damage",LSW_Power_Combat_Mechanics.csv

---COLUMN SHIFT SOURCES---,,,,
Skills_Combat,+1CS to +4CS depending on skill,Martial Arts +2CS; Sniper +3CS to rifles at range,Skill-specific conditions,Complete_Skills_Talents.csv
Powers_Accuracy,+1CS to +5CS depending on power level,"Fire Gen High = +3CS area",Power description,LSW_Power_Combat_Mechanics.csv
Equipment,Variable per weapon,"Pistol -2CS; Assault Rifle -1CS",Weapon accuracy column,Weapons CSV
Target_Dodging,-1CS to -14CS based on AGL (+INS for melee),"AGL+INS 100 = -5CS",Dodge Chart,Dodge Chart CSV
Cover,-1CS to -3CS,"Partial -1CS; Half -2CS; Full -3CS",Environmental,N/A
Conditions,Variable,Stunned -2CS; Blinded -4CS; Prone target +1CS,Status effects,Status Effects CSV
Flanking,+1CS,Attacking from side or behind,Tactical position,N/A
Wounded,-1CS per 25% health lost,At 50% health = -2CS,Health percentage,N/A

---RESULT EFFECTS---,,,,
Failed,Miss,0x damage; no effect,"Attack misses completely",Universal_Table.csv
Minor,Glancing blow,0.5x damage; power-specific effects only possible,"Reduced impact",Universal_Table.csv
Success,Solid hit,1x damage; standard status effects apply,"Full intended effect",Universal_Table.csv
