Section,Description
---RESEARCH PROJECTS DATABASE---,Complete research project definitions with requirements and outputs

===RESEARCH TIERS===
Tier,Education_Min,Description
Basic,Trade_School,Simple projects anyone with technical training can do
Intermediate,Bachelors,Standard research requiring formal education
Advanced,Masters,Complex research requiring advanced degrees
Expert,Doctorate,Cutting-edge research requiring PhD-level expertise
Experimental,Post_Doc,Bleeding-edge research only top researchers can attempt

===RESEARCH TREES===
Tree_ID,Tree_Name,Description
TREE_ARMOR,Armor Design,Armor construction and materials
TREE_METAL,Metallurgy,Metal processing and alloys
TREE_MAT,Materials Science,Advanced synthetic materials
TREE_ELEC,Electronics,Electronic systems and sensors
TREE_CYBER,Cyber Systems,Hacking and software
TREE_ROBOT,Robotics,Mechanical automation
TREE_AI,Artificial Intelligence,AI and machine learning
TREE_PROP,Propulsion,Movement and flight systems
TREE_STEALTH,Stealth Technology,Concealment and evasion
TREE_WEAP,Weapons,Weapon design and ammunition
TREE_MED,Medical,Medical technology
TREE_BIO,Biological,Genetic and biological research
TREE_MUTA,Mutagenics,Power-granting research
TREE_PSI,Psi-Tech,Psychic enhancement technology
TREE_ALIEN,Alien Technology,Reverse-engineering alien artifacts

===TECH UNLOCK NODES===
Node_ID,Node_Name,Tree_ID,Base_Days,Tier,Career_Required,Career_Rank,Facility_Required,Prerequisite_Nodes,Unlocks_Projects,Description
NODE_001,Basic_Armor_Knowledge,TREE_ARMOR,5,Basic,TECH,1,Workshop,None,PRJ_001;PRJ_002,Fundamental armor construction
NODE_002,Armor_1,TREE_ARMOR,10,Intermediate,TECH,2,Armor_Workshop,NODE_001,PRJ_010;PRJ_011,Intermediate armor design
NODE_003,Armor_2,TREE_ARMOR,15,Advanced,TECH,3,Armor_Workshop,NODE_002,PRJ_020;PRJ_021,Advanced armor systems
NODE_004,Armor_3,TREE_ARMOR,20,Expert,TECH,4,Armor_Workshop,NODE_003,PRJ_030,Cutting-edge armor technology
NODE_010,Metallurgy_1,TREE_METAL,7,Intermediate,TECH,2,Armor_Workshop,None,PRJ_012;PRJ_013,Basic metal alloys
NODE_011,Metallurgy_2,TREE_METAL,14,Advanced,TECH,3,Armor_Workshop,NODE_010,PRJ_022,Advanced metal processing
NODE_020,Materials_1,TREE_MAT,10,Intermediate,TECH,2,Armor_Workshop,None,PRJ_014,Synthetic material basics
NODE_021,Materials_2,TREE_MAT,14,Advanced,TECH,3,Armor_Workshop,NODE_020,PRJ_023,Carbon composites
NODE_022,Materials_3,TREE_MAT,21,Expert,TECH,4,Armor_Workshop,NODE_021,PRJ_031,Graphene and nanotech
NODE_030,Basic_Electronics,TREE_ELEC,5,Basic,TECH,1,Electronics_Lab,None,PRJ_003,Fundamental electronics
NODE_031,Electronics_1,TREE_ELEC,7,Intermediate,TECH,2,Electronics_Lab,NODE_030,PRJ_015;PRJ_016,Sensor systems
NODE_032,Electronics_2,TREE_ELEC,14,Advanced,TECH,3,Electronics_Lab,NODE_031,PRJ_024;PRJ_025,Advanced electronics
NODE_040,Cyber_1,TREE_CYBER,10,Intermediate,TECH,3,Cyber_Lab,NODE_030,PRJ_017,Basic hacking tools
NODE_041,Cyber_2,TREE_CYBER,14,Advanced,TECH,3,Cyber_Lab,NODE_040,PRJ_026,Advanced intrusion
NODE_050,Robotics_1,TREE_ROBOT,10,Intermediate,TECH,3,Robotics_Lab,NODE_031,PRJ_018,Basic robotics
NODE_051,Robotics_2,TREE_ROBOT,21,Advanced,TECH,4,Robotics_Lab,NODE_050,PRJ_027;PRJ_028;PRJ_029,Advanced robotics
NODE_060,AI_1,TREE_AI,21,Advanced,TECH,4,Cyber_Lab,NODE_041,PRJ_032,Basic AI systems
NODE_061,AI_2,TREE_AI,30,Expert,TECH,5,Cyber_Lab,NODE_060,PRJ_040,Advanced AI
NODE_070,Propulsion_1,TREE_PROP,10,Intermediate,TECH,3,Aerospace_Lab,None,PRJ_019,Basic propulsion
NODE_071,Propulsion_2,TREE_PROP,21,Advanced,TECH,4,Aerospace_Lab,NODE_070,PRJ_033;PRJ_034,Advanced propulsion
NODE_072,Propulsion_3,TREE_PROP,30,Expert,TECH,5,Aerospace_Lab,NODE_071,PRJ_041,Flight systems
NODE_080,Stealth_1,TREE_STEALTH,14,Advanced,TECH,3,Armor_Workshop,NODE_070,PRJ_035,Basic stealth
NODE_081,Stealth_2,TREE_STEALTH,28,Expert,TECH,4,Armor_Workshop,NODE_080,PRJ_042,Advanced stealth
NODE_090,Basic_Weapons,TREE_WEAP,5,Basic,TECH,1,Workshop,None,PRJ_004,Weapon fundamentals
NODE_091,Weapons_1,TREE_WEAP,7,Intermediate,TECH,2,Weapons_Lab,NODE_090,PRJ_050;PRJ_051,Weapon design
NODE_092,Weapons_2,TREE_WEAP,14,Advanced,TECH,3,Weapons_Lab,NODE_091,PRJ_052,Advanced weapons
NODE_093,Weapons_3,TREE_WEAP,21,Expert,TECH,4,Weapons_Lab,NODE_092,PRJ_053,Heavy weapons
NODE_094,Energy_Weapons,TREE_WEAP,30,Expert,TECH,5,Weapons_Lab,NODE_093,PRJ_054,Energy weapon systems
NODE_100,Ammo_1,TREE_WEAP,10,Intermediate,TECH,2,Weapons_Lab,NODE_090,PRJ_055,Custom ammunition
NODE_101,Ammo_2,TREE_WEAP,14,Advanced,TECH,3,Weapons_Lab,NODE_100,PRJ_056,Exotic ammunition
NODE_110,Basic_Medical,TREE_MED,5,Basic,MED,1,Medical_Lab,None,PRJ_005,Medical fundamentals
NODE_111,Medical_1,TREE_MED,7,Intermediate,MED,2,Medical_Lab,NODE_110,PRJ_060,Medical equipment
NODE_112,Medical_2,TREE_MED,14,Advanced,MED,3,Medical_Lab,NODE_111,PRJ_061,Advanced medicine
NODE_113,Neuro_1,TREE_MED,21,Expert,MED,4,Medical_Lab,NODE_112,PRJ_062,Neurotechnology
NODE_114,Neuro_2,TREE_MED,30,Expert,MED,5,Medical_Lab,NODE_113,PRJ_063,Neural interfaces
NODE_120,Bio_1,TREE_BIO,14,Advanced,MED,3,Genetics_Lab,NODE_111,PRJ_070,Genetic basics
NODE_121,Bio_2,TREE_BIO,21,Expert,MED,4,Genetics_Lab,NODE_120,PRJ_071,Gene modification
NODE_130,Mutagenics_1,TREE_MUTA,45,Experimental,MED,5,Mutagenics_Lab,NODE_121,PRJ_080,Power creation
NODE_140,Psi_1,TREE_PSI,21,Expert,PSY,4,Psi_Lab,None,PRJ_090,Psychic enhancement
NODE_141,Psi_2,TREE_PSI,30,Expert,PSY,5,Psi_Lab,NODE_140,PRJ_091,Advanced psionics
NODE_150,Alien_Basic,TREE_ALIEN,30,Expert,TECH,5,Alien_Tech_Lab,None,PRJ_100,Alien tech analysis
NODE_151,Alien_Advanced,TREE_ALIEN,60,Experimental,TECH,5,Alien_Tech_Lab,NODE_150,PRJ_101,Alien adaptation

===RESEARCH PROJECTS - BASIC===
Project_ID,Project_Name,Tree_ID,Base_Days,Tier,Career_Required,Career_Rank,Facility_Required,Prerequisite_Nodes,Resource_Cost,Output_Type,Output_ID,Output_Description
PRJ_001,Basic_Armor_Repair,TREE_ARMOR,3,Basic,TECH,1,Workshop,None,Materials:Basic:10,Skill_Unlock,SKILL_REPAIR_1,Repair armor to 75% condition
PRJ_002,Armor_Maintenance,TREE_ARMOR,2,Basic,TECH,1,Workshop,None,Materials:Basic:5,Skill_Unlock,SKILL_MAINT_1,+1CS armor reliability
PRJ_003,Electronics_Basics,TREE_ELEC,5,Basic,TECH,1,Electronics_Lab,None,Components:Basic:10,Node_Unlock,NODE_031,Unlocks Electronics_1
PRJ_004,Weapon_Maintenance,TREE_WEAP,2,Basic,TECH,1,Workshop,None,Materials:Basic:5,Skill_Unlock,SKILL_WEAP_1,+1CS weapon reliability
PRJ_005,Field_Medicine,TREE_MED,3,Basic,MED,1,Medical_Lab,None,Supplies:Medical:10,Skill_Unlock,SKILL_MED_1,+1CS field medicine
PRJ_006,Ammo_Crafting,TREE_WEAP,1,Basic,TECH,1,Workshop,None,Materials:Basic:20,Crafting_Unlock,CRAFT_AMMO,Craft standard ammunition
PRJ_007,Basic_Tool_Making,TREE_ARMOR,2,Basic,TECH,1,Workshop,None,Materials:Basic:5,Crafting_Unlock,CRAFT_TOOLS,Create basic tools

===RESEARCH PROJECTS - INTERMEDIATE===
Project_ID,Project_Name,Tree_ID,Base_Days,Tier,Career_Required,Career_Rank,Facility_Required,Prerequisite_Nodes,Resource_Cost,Output_Type,Output_ID,Output_Description
PRJ_010,Ceramic_Plate,TREE_ARMOR,7,Intermediate,TECH,2,Armor_Workshop,NODE_002,Materials:Advanced:20,Component,COMP_CERAM,+8 DR_Phys armor component
PRJ_011,Ballistic_Weave,TREE_ARMOR,10,Intermediate,TECH,2,Armor_Workshop,NODE_002,Materials:Advanced:15,Component,COMP_WEAVE,+4 DR_Phys light component
PRJ_012,Titanium_Plate,TREE_METAL,10,Intermediate,TECH,2,Armor_Workshop,NODE_010,Materials:Advanced:25,Component,COMP_TITAN,+12 DR_Phys component
PRJ_013,Hardened_Steel,TREE_METAL,7,Intermediate,TECH,2,Armor_Workshop,NODE_010,Materials:Basic:30,Material,MAT_HSTEEL,1.3x DR_Phys multiplier
PRJ_014,Carbon_Fiber,TREE_MAT,14,Intermediate,TECH,2,Armor_Workshop,NODE_020,Materials:Advanced:30,Material,MAT_CARBON,0.5x weight multiplier
PRJ_015,Night_Vision_Mod,TREE_ELEC,7,Intermediate,TECH,2,Electronics_Lab,NODE_031,Components:Advanced:10,Weapon_Mod,MOD_NV,See in darkness
PRJ_016,Motion_Sensor,TREE_ELEC,5,Intermediate,TECH,2,Electronics_Lab,NODE_031,Components:Advanced:5,Equipment,SEN_001,50ft motion detection
PRJ_017,Decryption_Kit,TREE_CYBER,10,Intermediate,TECH,3,Cyber_Lab,NODE_040,Components:Advanced:15,Equipment,HCK_003,+3CS vs encryption
PRJ_018,Recon_Drone,TREE_ROBOT,10,Intermediate,TECH,3,Robotics_Lab,NODE_050,Components:Advanced:20,Equipment,DRN_001,Small surveillance drone
PRJ_019,Jump_Boots,TREE_PROP,14,Intermediate,TECH,3,Aerospace_Lab,NODE_070,Components:Advanced:25,Equipment,BOOT_JUMP,Jump 3 squares
PRJ_050,Silencer,TREE_WEAP,5,Intermediate,TECH,2,Weapons_Lab,NODE_091,Materials:Advanced:10,Weapon_Mod,MOD_006,-30dB sound
PRJ_051,Extended_Magazine,TREE_WEAP,3,Intermediate,TECH,2,Weapons_Lab,NODE_091,Materials:Advanced:5,Weapon_Mod,MOD_009,+50% ammo capacity
PRJ_055,AP_Rounds,TREE_WEAP,7,Intermediate,TECH,2,Weapons_Lab,NODE_100,Materials:Advanced:15,Ammo_Type,AMMO_AP,50% armor penetration
PRJ_060,Trauma_Kit,TREE_MED,7,Intermediate,MED,2,Medical_Lab,NODE_111,Supplies:Medical:20,Equipment,MED_002,+3CS Medicine checks

===RESEARCH PROJECTS - ADVANCED===
Project_ID,Project_Name,Tree_ID,Base_Days,Tier,Career_Required,Career_Rank,Facility_Required,Prerequisite_Nodes,Resource_Cost,Output_Type,Output_ID,Output_Description
PRJ_020,Combat_Armor_Frame,TREE_ARMOR,15,Advanced,TECH,3,Armor_Workshop,NODE_003,Materials:Advanced:40,Frame,FRAME_COMBAT,Medium armor base: 10/3 DR
PRJ_021,Heavy_Armor_Frame,TREE_ARMOR,20,Advanced,TECH,3,Armor_Workshop,NODE_003,Materials:Advanced:60,Frame,FRAME_HEAVY,Heavy armor base: 15/5 DR
PRJ_022,Titanium_Alloy,TREE_METAL,14,Advanced,TECH,3,Armor_Workshop,NODE_011,Materials:Advanced:50,Material,MAT_TITANIUM,1.2x DR with 0.7x weight
PRJ_023,Carbon_Composite,TREE_MAT,14,Advanced,TECH,3,Armor_Workshop,NODE_021,Materials:Exotic:30,Material,MAT_COMPOSITE,1.1x DR with 0.5x weight
PRJ_024,Thermal_Scope,TREE_ELEC,10,Advanced,TECH,3,Electronics_Lab,NODE_032,Components:Advanced:20,Weapon_Mod,MOD_004,See heat signatures
PRJ_025,Visor_HUD,TREE_ELEC,14,Advanced,TECH,3,Electronics_Lab,NODE_032,Components:Advanced:25,Component,COMP_HUD,+1CS targeting
PRJ_026,Signal_Jammer,TREE_CYBER,14,Advanced,TECH,3,Cyber_Lab,NODE_041,Components:Advanced:30,Equipment,HCK_004,Block 500ft radius
PRJ_027,Exo_Assist_Arms,TREE_ROBOT,21,Advanced,TECH,4,Robotics_Lab,NODE_051,Components:Exotic:40,Component,COMP_EXO_ARM,+15 STR
PRJ_028,Exo_Assist_Legs,TREE_ROBOT,21,Advanced,TECH,4,Robotics_Lab,NODE_051,Components:Exotic:40,Component,COMP_EXO_LEG,+2 movement
PRJ_029,Medical_Drone,TREE_ROBOT,14,Advanced,TECH,3,Robotics_Lab,NODE_050,Components:Advanced:25,Equipment,DRN_005,Medical supply delivery
PRJ_032,Combat_Drone,TREE_AI,30,Advanced,TECH,4,Robotics_Lab,NODE_060;NODE_051,Components:Exotic:60,Equipment,DRN_003,Armed surveillance drone
PRJ_033,Jump_Jets,TREE_PROP,21,Advanced,TECH,4,Aerospace_Lab,NODE_071,Components:Exotic:50,Component,COMP_JETS,Jump 10 squares
PRJ_034,Hover_System,TREE_PROP,21,Advanced,TECH,4,Aerospace_Lab,NODE_071,Components:Exotic:60,Component,COMP_HOVER,Low-altitude hover
PRJ_035,Stealth_Coating,TREE_STEALTH,28,Advanced,TECH,3,Armor_Workshop,NODE_080,Materials:Exotic:40,Component,COMP_STEALTH,+2CS stealth
