Perception_Event,Public_Impact_Scale,Media_Coverage_Type,Reputation_Change,Financial_Consequence,Legal_Action_Type,Legal_Cost_Range,Insurance_Impact,Political_Fallout,International_Relations_Effect,Long_Term_Effects
Street_Crime_Stopped,Local,Local News Positive,+2 Local Reputation,Small reward from grateful citizens,None,None,Insurance rates improve,Local government approval,No change,Improved local recruitment
Property_Damage_Minor,Local,Local News Mixed,+1 Local; -1 Property,Minor repair costs,Property damage claims,$5K-$25K,Slight insurance increase,Minor local criticism,No change,Property owners become wary
Property_Damage_Major,Regional,Regional News Negative,-2 Regional Reputation,Major repair costs,Property damage lawsuits,$100K-$500K,Insurance rates increase 25%,Regional government investigation,Neighboring countries concerned,Regional operations become more difficult
Civilian_Casualties_Minor,National,National News Negative,-5 National Reputation,Medical and funeral costs,Wrongful injury lawsuits,$50K-$200K per civilian,Insurance coverage questioned,Congressional hearings,Allied nations express concern,National recruitment becomes harder
Civilian_Casualties_Major,International,Global News Condemnation,-10 Global Reputation,Massive compensation required,Wrongful death lawsuits,$500K-$5M per civilian,Insurance coverage denied,International sanctions possible,Enemy nations call for war crimes tribunal,Global operations severely restricted
Building_Destruction,Regional,Regional News Mixed,Varies by building importance,Reconstruction costs,Structural damage claims,$250K-$10M,Commercial insurance rates skyrocket,Local/regional government outrage,Insurance industry lobbying against LSW operations,Building owners sue for future loss prevention
Infrastructure_Damage,National,National News Critical,-8 National Reputation,Infrastructure repair costs,Government infrastructure claims,$1M-$50M,Government insurance review,Federal investigation and regulation,International infrastructure insurance concerns,Infrastructure owners increase security against LSWs
Hospital_Damage,National,Medical Community Outrage,-12 National Reputation,Medical system compensation,Medical malpractice association lawsuits,$2M-$20M,Medical insurance industry crisis,Medical licensing review,International medical community condemnation,Medical community refuses LSW cooperation
School_Damage,National,Educational Outrage,-15 National Reputation,Education system compensation,Educational negligence lawsuits,$1M-$15M per school,Educational insurance review,Department of Education investigation,International education community condemnation,Parents refuse children near LSW operations
Government_Building_Damage,International,Political Crisis,-20 International Reputation,Government compensation demands,Constitutional violation claims,$5M-$100M,Government insurance crisis,Constitutional crisis,International law violation,Government cooperation with LSWs ends
Military_Base_Damage,International,National Security Crisis,-25 Military Reputation,Defense budget impact,Treason and sabotage charges,$10M-$200M,Military insurance review,Court martial proceedings,NATO/allied nation security review,Military cooperation with LSWs terminated
Nuclear_Facility_Damage,Global,Global Environmental Crisis,-50 Global Reputation,Environmental disaster costs,Environmental terrorism charges,$100M-$10B,Global insurance industry panic,International tribunal,United Nations environmental tribunal,Global LSW operations banned
Saved_Lives_Civilian,Local to Global,Positive Coverage,+5 to +20 Reputation,Civic awards and recognition,Civic medal ceremonies,Positive,Insurance rates improve,Political approval boost,International praise for humanitarian action,Hero status; easier recruitment; government cooperation
Prevented_Disaster,Regional to International,Hero Coverage,+10 to +30 Reputation,Government awards and compensation,Commendation ceremonies,Positive financial rewards,Insurance industry gratitude,Political capital gain,International recognition and cooperation,Permanent hero status; special government privileges
Alien_Technology_Recovery,Global,Scientific Breakthrough,+25 Global Science Reputation,Massive scientific funding,Technology patent hearings,Intellectual property battles,Technology insurance implications,Global technology race,International technology sharing agreements,Access to cosmic-level technology and research
Time_Travel_Success,Reality-Scale,Cosmic Achievement,+40 Reality Reputation,Temporal physics funding,Temporal law establishment,Legal system must adapt,Reality insurance impossible,Temporal governance required,Multidimensional political implications,Reality manipulation privileges; timeline authority
Public_Identity_Exposed,Personal,Scandal Coverage,-10 Personal Reputation,Loss of civilian job and relationships,Identity protection lawsuits,Personal security costs $50K-$500K,Personal insurance terminated,Personal life destroyed,Family becomes international targets,Must live as full-time LSW; no civilian life possible
Team_Member_Death,Faction,Memorial Coverage,-15 Faction Reputation,Funeral and family compensation,Wrongful death lawsuits against faction,$500K-$5M per death,Life insurance claims,Government investigation into LSW safety,International LSW safety standards review,Faction morale crisis; recruitment difficulties
Faction_Betrayal,Global,Political Thriller,Varies by faction betrayed,Economic warfare consequences,Treason charges,Legal costs $1M-$50M,Political risk insurance,Government overthrow possible,International alliance restructuring,Faction dissolution possible; global political realignment
Mass_Destruction,Global,Catastrophe Coverage,-100 Global Reputation,Reconstruction of entire regions,Crimes against humanity,$1B-$1T+ in damages,Global insurance industry collapse,Global government response,United Nations emergency session,LSW abilities globally regulated or banned
Lawsuit_Property_Individual,Legal Action,Civil Court,Property owner vs LSW team,Individual property damage claims,Civil lawsuit for repair costs,$5K-$500K,Property insurance subrogation,Local court system,No international impact,Property owners organize against LSW activities
Lawsuit_Wrongful_Death,Legal Action,Criminal/Civil Court,Family vs LSW team/faction,Death of civilian during LSW operation,Criminal charges + civil lawsuit,$500K-$10M + criminal penalties,Life insurance investigation,District attorney prosecution,Possible international extradition,Families organize advocacy groups against LSW operations
Lawsuit_Environmental,Legal Action,Federal Court,Environmental groups vs faction,Environmental damage from LSW powers,Environmental protection lawsuits,$1M-$100M + restoration costs,Environmental insurance claims,Environmental Protection Agency action,International environmental court,Environmental movement targets LSW operations globally
Lawsuit_Constitutional,Legal Action,Supreme Court,Civil rights groups vs government,Government LSW program constitutional challenges,Constitutional violation claims,Legal costs $10M-$100M,Constitutional insurance impossible,Supreme Court case,International human rights court review,Constitutional amendment may be required
Insurance_Claim_Vehicle,Financial,Insurance Court,Vehicle owner vs LSW team,Vehicles damaged during LSW operations,Vehicle damage insurance claims,$10K-$200K per vehicle,Auto insurance rate increases,Department of Transportation review,International vehicle insurance concerns,Vehicle owners avoid areas with LSW activity
Insurance_Claim_Business,Financial,Commercial Court,Business vs LSW team,Business interruption and property damage,Business interruption insurance claims,$50K-$5M per business,Commercial insurance rate increases,Small Business Administration review,International business insurance concerns,Businesses relocate away from LSW activity areas
Insurance_Claim_Medical,Financial,Medical Court,Patients vs LSW team,Medical costs from LSW-related injuries,Medical insurance subrogation claims,$25K-$2M per patient,Medical insurance rate increases,Department of Health investigation,International medical insurance review,Medical facilities refuse LSW-related patients
Media_Spin_Positive,Media Control,Propaganda,Pro-LSW media coverage,Positive narrative control,Media cooperation agreements,Media production costs $100K-$1M,Media insurance for positive coverage,Political support through media,International propaganda cooperation,Public support for LSW operations increases
Media_Spin_Negative,Media Control,Opposition,Anti-LSW media campaign,Negative narrative amplification,Media lawsuit defense,Legal defense costs $500K-$5M,Media insurance claims for harassment,Political opposition through media,International anti-LSW media cooperation,Public opposition to LSW operations increases
Government_Cover_Up,Political Control,Classified,Information suppression,Government classification of LSW incidents,Freedom of information lawsuits,Classification costs $1M-$10M,Government insurance for classified operations,Political control through information,International intelligence cooperation for secrecy,LSW operations become more secretive; public distrust grows
International_Treaty_Violation,Diplomatic,International Law,LSW operations violate international agreements,Treaty violation consequences,International Court of Justice proceedings,$10M-$1B in reparations,International political risk insurance,Treaty renegotiation required,International alliance restructuring,LSW operations require new international legal framework
War_Crimes_Accusation,Military,International Tribunal,LSW operations accused of violating Geneva Convention,War crimes trial consequences,International Criminal Court proceedings,Legal defense $10M-$100M,War crimes insurance impossible,International isolation,Global coalition against faction,LSW operations classified as weapons of mass destruction
Heroic_Recognition,Honor,Awards Ceremony,Global recognition for saving lives,Hero status and awards,Award ceremony costs,$100K-$1M for ceremony,Honor guard insurance,Political capital gain,International hero recognition,Permanent hero status; global cooperation; special privileges
