 ,,,,,🔪DAMAGE TYPE TABLE🔫,,
,Type,Sub-Type,,Specific,,,
,,,,,,WHAT can do this?!?!,WHO can do this?!?!
,PHYSICAL,🔨,,,Knockback possibility ,,
,,,,,,,
,,SMASHING MELEE,,Punch,Causes knockback at high strength levels [table],,
,,SMASHING PROJECTILE,,Thrown object,"If it hits target, there is a chance that the object will land on the target and the target must be strong enough to lift it off of them or they will remain immobile.",,
,,SMASHING MELEE,,Blunt Weapon,Can be used to block attacks. Causes knockback at high strength levels. Breaks bones,"Hammer, Mace,",
,,IMPACT,,Kinetic/Force,Knockback,"Fall damage, Gravity, Telekinesis, Celestial bodies",
,,GUNFIRE,,Buckshot,"Knockback, substantial damage falloff. Bullet Proof Armor is HIGHLY effective.",Shotgun,
,,GUNFIRE ,,Gunfire,Can target items,,
,,EXPLOSION,,Concussion Blast,Knockback,Standard Grenade,
,,SOUND,,Ultrasonic,,"Military Weapons, LSW",
,,SOUND,,Sonic,,"Military Weapons, LSW",
,BLEED PHYSICAL,🏹,,,"Bleeding deals a constant amount of damage, maybe increasing the cost of other actions or dealing extra damage when you move.",,
,,EXPLOSION,,Shrapnel Explosion, Explosion filled with intentionally harmful projectiles.  Does Bleeding & Knockback,Shrapnel grenades,
,,PIERCING PROJECTILE,,Thrown object,Can Impale,,
,,GUNFIRE,,Armor Piercing Rounds,Can target items,,
,,EDGED MELEE,,Piercing,Can target items,"Arrow, ",
,,EDGED MELEE,,Slashing,Increased  bleeding posibility,"Sword, Axe",
,ENERGY,⚡,,,,,
,,ENERGY,,Thermal,fire deals a constantly increasing amount of damage,Fire,
,,ENERGY,,Plasma,,,
,,ENERGY,,Ice,Can Freeze a target,,
,,ELECTROMAGETIC,,Energy,Potentially explosive,Plasma,
,,ELECTROMAGETIC,,Electronic Bolt,Additional Damage to Robotic origins,,
,,ELECTROMAGETIC,,Radiation,,"Cosmic Radiation, Nuclear Radiation",
,,ELECTROMAGETIC,,Laser,Cannot be dodged by anyone slower than the speed of light. Can be used to blind at lower intensities,,
,BIOLOGICAL,💉,,,,,
,,TOXIN,,Poison,deals constantly reducing damage until its damage effects are completely gone,,
,,TOXIN,,Venom,deals constantly decreasing stat reduction and/or temporary stat reduction until its effects are completely gone,,
,,TOXIN,,Acid,"stronger than poison, affects armor, biological and non",Acid,
,,BIOTOXIN,,Virus,deals constantly decreasing stat reduction until its effects are completely gone quicker than Diseases,,
,,BIOTOXIN,,Disease,deals constantly decreasing stat reduction until its effects are completely gone much slower than Virus,,
,MENTAL,🧠,,,,,
,,MENTAL,,Mind Control,,,
,,MENTAL,,Mental Blast,,,
,OTHER,❓❗❓,,,,,
,,,,Disintegration,Turns the target into dust,,
,,,,Spiritual,Affects all origins,,
,,,,Asphyxiation,"If sustained after X rounds (depending on stamina), the does not affect robotic origins",,
,,,,Ebullism ,"After about 10 seconds, the moisture in the biological characters will start to evaporate. in about 30 seconds then ebullism will cause your lungs to collapse.","Vacuum of space, Flying too high.",
,,,,Siphon,,Transfer life energy from out of a character,
,,,,Decomposition,,Aging,
,,SICK,,Nauseated,,,
,,,,,,,
,,,,,,,
,Out of Combat,😴,,,,,
,,,,Starvation,,,
,,,,Time,,"Aging, Decompose",
,,SICK,,Illness,temporary reduction in stats,,
