---,Rank Value Range,Failed Attempt,Minor Success,Success,Major Success
1,"(Minimum Value=0,Maximum Value=0)","(Damage Result Type=Failed Attempt,Ranges=((Minimum Value=0,Maximum Value=0),(Minimum Value=1,Maximum Value=2),(Minimum Value=3,Maximum Value=5),(Minimum Value=6,Maximum Value=9),(Minimum Value=10,Maximum Value=14),(Minimum Value=15,Maximum Value=19),(Minimum Value=20,Maximum Value=24),(Minimum Value=25,Maximum Value=29),(Minimum Value=30,Maximum Value=34),(Minimum Value=35,Maximum Value=39),(Minimum Value=40,Maximum Value=44),(Minimum Value=45,Maximum Value=49),(Minimum Value=50,Maximum Value=54),(Minimum Value=55,Maximum Value=59),(Minimum Value=60,Maximum Value=64)))","(Damage Result Type=Minor Success,Ranges=((Minimum Value=65,Maximum Value=69),(Minimum Value=70,Maximum Value=74),(Minimum Value=75,Maximum Value=79),(Minimum Value=80,Maximum Value=84),(Minimum Value=85,Maximum Value=89),(Minimum Value=90,Maximum Value=93)))","(Damage Result Type=Success,Ranges=((Minimum Value=94,Maximum Value=96),(Minimum Value=97,Maximum Value=98)))","(Damage Result Type=Major Success,Ranges=((Minimum Value=99,Maximum Value=99)))"
2,"(Minimum Value=1,Maximum Value=2)","(Damage Result Type=Failed Attempt,Ranges=((Minimum Value=0,Maximum Value=0),(Minimum Value=1,Maximum Value=2),(Minimum Value=3,Maximum Value=5),(Minimum Value=6,Maximum Value=9),(Minimum Value=10,Maximum Value=14),(Minimum Value=15,Maximum Value=19),(Minimum Value=20,Maximum Value=24),(Minimum Value=25,Maximum Value=29),(Minimum Value=30,Maximum Value=34),(Minimum Value=35,Maximum Value=39),(Minimum Value=40,Maximum Value=44),(Minimum Value=45,Maximum Value=49),(Minimum Value=50,Maximum Value=54),(Minimum Value=55,Maximum Value=59)))","(Damage Result Type=Minor Success,Ranges=((Minimum Value=60,Maximum Value=64),(Minimum Value=65,Maximum Value=69),(Minimum Value=70,Maximum Value=74),(Minimum Value=75,Maximum Value=79),(Minimum Value=80,Maximum Value=84),(Minimum Value=85,Maximum Value=89)))","(Damage Result Type=Success,Ranges=((Minimum Value=90,Maximum Value=93),(Minimum Value=94,Maximum Value=96),(Minimum Value=97,Maximum Value=98)))","(Damage Result Type=Major Success,Ranges=((Minimum Value=99,Maximum Value=99)))"
3,"(Minimum Value=3,Maximum Value=5)","(Damage Result Type=Failed Attempt,Ranges=((Minimum Value=0,Maximum Value=0),(Minimum Value=1,Maximum Value=2),(Minimum Value=3,Maximum Value=5),(Minimum Value=6,Maximum Value=9),(Minimum Value=10,Maximum Value=14),(Minimum Value=15,Maximum Value=19),(Minimum Value=20,Maximum Value=24),(Minimum Value=25,Maximum Value=29),(Minimum Value=30,Maximum Value=34),(Minimum Value=35,Maximum Value=39),(Minimum Value=40,Maximum Value=44),(Minimum Value=45,Maximum Value=49),(Minimum Value=50,Maximum Value=54)))","(Damage Result Type=Minor Success,Ranges=((Minimum Value=55,Maximum Value=59),(Minimum Value=60,Maximum Value=64),(Minimum Value=65,Maximum Value=69),(Minimum Value=70,Maximum Value=74),(Minimum Value=75,Maximum Value=79),(Minimum Value=80,Maximum Value=84)))","(Damage Result Type=Success,Ranges=((Minimum Value=85,Maximum Value=89),(Minimum Value=90,Maximum Value=93),(Minimum Value=94,Maximum Value=96),(Minimum Value=97,Maximum Value=98)))","(Damage Result Type=Major Success,Ranges=((Minimum Value=99,Maximum Value=99)))"
4,"(Minimum Value=6,Maximum Value=9)","(Damage Result Type=Failed Attempt,Ranges=((Minimum Value=0,Maximum Value=0),(Minimum Value=1,Maximum Value=2),(Minimum Value=3,Maximum Value=5),(Minimum Value=6,Maximum Value=9),(Minimum Value=10,Maximum Value=14),(Minimum Value=15,Maximum Value=19),(Minimum Value=20,Maximum Value=24),(Minimum Value=25,Maximum Value=29),(Minimum Value=30,Maximum Value=34),(Minimum Value=35,Maximum Value=39),(Minimum Value=40,Maximum Value=44),(Minimum Value=45,Maximum Value=49)))","(Damage Result Type=Minor Success,Ranges=((Minimum Value=50,Maximum Value=54),(Minimum Value=55,Maximum Value=59),(Minimum Value=60,Maximum Value=64),(Minimum Value=65,Maximum Value=69),(Minimum Value=70,Maximum Value=74),(Minimum Value=75,Maximum Value=79)))","(Damage Result Type=Success,Ranges=((Minimum Value=80,Maximum Value=84),(Minimum Value=85,Maximum Value=89),(Minimum Value=90,Maximum Value=93),(Minimum Value=94,Maximum Value=96)))","(Damage Result Type=Major Success,Ranges=((Minimum Value=97,Maximum Value=98),(Minimum Value=99,Maximum Value=99)))"
5,"(Minimum Value=10,Maximum Value=19)","(Damage Result Type=Failed Attempt,Ranges=((Minimum Value=0,Maximum Value=0),(Minimum Value=1,Maximum Value=2),(Minimum Value=3,Maximum Value=5),(Minimum Value=6,Maximum Value=9),(Minimum Value=10,Maximum Value=14),(Minimum Value=15,Maximum Value=19),(Minimum Value=20,Maximum Value=24),(Minimum Value=25,Maximum Value=29),(Minimum Value=30,Maximum Value=34),(Minimum Value=35,Maximum Value=39),(Minimum Value=40,Maximum Value=44)))","(Damage Result Type=Minor Success,Ranges=((Minimum Value=45,Maximum Value=49),(Minimum Value=50,Maximum Value=54),(Minimum Value=55,Maximum Value=59),(Minimum Value=60,Maximum Value=64),(Minimum Value=65,Maximum Value=69),(Minimum Value=70,Maximum Value=74)))","(Damage Result Type=Success,Ranges=((Minimum Value=75,Maximum Value=79),(Minimum Value=80,Maximum Value=84),(Minimum Value=85,Maximum Value=89),(Minimum Value=90,Maximum Value=93),(Minimum Value=94,Maximum Value=96)))","(Damage Result Type=Major Success,Ranges=((Minimum Value=97,Maximum Value=98),(Minimum Value=99,Maximum Value=99)))"
6,"(Minimum Value=20,Maximum Value=29)","(Damage Result Type=Failed Attempt,Ranges=((Minimum Value=0,Maximum Value=0),(Minimum Value=1,Maximum Value=2),(Minimum Value=3,Maximum Value=5),(Minimum Value=6,Maximum Value=9),(Minimum Value=10,Maximum Value=14),(Minimum Value=15,Maximum Value=19),(Minimum Value=20,Maximum Value=24),(Minimum Value=25,Maximum Value=29),(Minimum Value=30,Maximum Value=34),(Minimum Value=35,Maximum Value=39)))","(Damage Result Type=Minor Success,Ranges=((Minimum Value=40,Maximum Value=44),(Minimum Value=45,Maximum Value=49),(Minimum Value=50,Maximum Value=54),(Minimum Value=55,Maximum Value=59),(Minimum Value=60,Maximum Value=64),(Minimum Value=65,Maximum Value=69)))","(Damage Result Type=Success,Ranges=((Minimum Value=70,Maximum Value=74),(Minimum Value=75,Maximum Value=79),(Minimum Value=80,Maximum Value=84),(Minimum Value=85,Maximum Value=89),(Minimum Value=90,Maximum Value=93)))","(Damage Result Type=Major Success,Ranges=((Minimum Value=94,Maximum Value=96),(Minimum Value=97,Maximum Value=98),(Minimum Value=99,Maximum Value=99)))"
7,"(Minimum Value=30,Maximum Value=39)","(Damage Result Type=Failed Attempt,Ranges=((Minimum Value=0,Maximum Value=0),(Minimum Value=1,Maximum Value=2),(Minimum Value=3,Maximum Value=5),(Minimum Value=6,Maximum Value=9),(Minimum Value=10,Maximum Value=14),(Minimum Value=15,Maximum Value=19),(Minimum Value=20,Maximum Value=24),(Minimum Value=25,Maximum Value=29),(Minimum Value=30,Maximum Value=34)))","(Damage Result Type=Minor Success,Ranges=((Minimum Value=35,Maximum Value=39),(Minimum Value=40,Maximum Value=44),(Minimum Value=45,Maximum Value=49),(Minimum Value=50,Maximum Value=54),(Minimum Value=55,Maximum Value=59),(Minimum Value=60,Maximum Value=64)))","(Damage Result Type=Success,Ranges=((Minimum Value=65,Maximum Value=69),(Minimum Value=70,Maximum Value=74),(Minimum Value=75,Maximum Value=79),(Minimum Value=80,Maximum Value=84),(Minimum Value=85,Maximum Value=89),(Minimum Value=90,Maximum Value=93)))","(Damage Result Type=Major Success,Ranges=((Minimum Value=94,Maximum Value=96),(Minimum Value=97,Maximum Value=98),(Minimum Value=99,Maximum Value=99)))"
8,"(Minimum Value=40,Maximum Value=49)","(Damage Result Type=Failed Attempt,Ranges=((Minimum Value=0,Maximum Value=0),(Minimum Value=1,Maximum Value=2),(Minimum Value=3,Maximum Value=5),(Minimum Value=6,Maximum Value=9),(Minimum Value=10,Maximum Value=14),(Minimum Value=15,Maximum Value=19),(Minimum Value=20,Maximum Value=24),(Minimum Value=25,Maximum Value=29)))","(Damage Result Type=Minor Success,Ranges=((Minimum Value=30,Maximum Value=34),(Minimum Value=35,Maximum Value=39),(Minimum Value=40,Maximum Value=44),(Minimum Value=45,Maximum Value=49),(Minimum Value=50,Maximum Value=54),(Minimum Value=55,Maximum Value=59)))","(Damage Result Type=Success,Ranges=((Minimum Value=60,Maximum Value=64),(Minimum Value=65,Maximum Value=69),(Minimum Value=70,Maximum Value=74),(Minimum Value=75,Maximum Value=79),(Minimum Value=80,Maximum Value=84),(Minimum Value=85,Maximum Value=89)))","(Damage Result Type=Major Success,Ranges=((Minimum Value=90,Maximum Value=93),(Minimum Value=94,Maximum Value=96),(Minimum Value=97,Maximum Value=98),(Minimum Value=99,Maximum Value=99)))"
9,"(Minimum Value=50,Maximum Value=74)","(Damage Result Type=Failed Attempt,Ranges=((Minimum Value=0,Maximum Value=0),(Minimum Value=1,Maximum Value=2),(Minimum Value=3,Maximum Value=5),(Minimum Value=6,Maximum Value=9),(Minimum Value=10,Maximum Value=14),(Minimum Value=15,Maximum Value=19),(Minimum Value=20,Maximum Value=24)))","(Damage Result Type=Minor Success,Ranges=((Minimum Value=25,Maximum Value=29),(Minimum Value=30,Maximum Value=34),(Minimum Value=35,Maximum Value=39),(Minimum Value=40,Maximum Value=44),(Minimum Value=45,Maximum Value=49),(Minimum Value=50,Maximum Value=54)))","(Damage Result Type=Success,Ranges=((Minimum Value=55,Maximum Value=59),(Minimum Value=60,Maximum Value=64),(Minimum Value=65,Maximum Value=69),(Minimum Value=70,Maximum Value=74),(Minimum Value=75,Maximum Value=79),(Minimum Value=80,Maximum Value=84),(Minimum Value=85,Maximum Value=89)))","(Damage Result Type=Major Success,Ranges=((Minimum Value=90,Maximum Value=93),(Minimum Value=94,Maximum Value=96),(Minimum Value=97,Maximum Value=98),(Minimum Value=99,Maximum Value=99)))"
10,"(Minimum Value=75,Maximum Value=99)","(Damage Result Type=Failed Attempt,Ranges=((Minimum Value=0,Maximum Value=0),(Minimum Value=1,Maximum Value=2),(Minimum Value=3,Maximum Value=5),(Minimum Value=6,Maximum Value=9),(Minimum Value=10,Maximum Value=14),(Minimum Value=15,Maximum Value=19)))","(Damage Result Type=Minor Success,Ranges=((Minimum Value=20,Maximum Value=24),(Minimum Value=25,Maximum Value=29),(Minimum Value=30,Maximum Value=34),(Minimum Value=35,Maximum Value=39),(Minimum Value=40,Maximum Value=44),(Minimum Value=45,Maximum Value=49)))","(Damage Result Type=Success,Ranges=((Minimum Value=50,Maximum Value=54),(Minimum Value=55,Maximum Value=59),(Minimum Value=60,Maximum Value=64),(Minimum Value=65,Maximum Value=69),(Minimum Value=70,Maximum Value=74),(Minimum Value=75,Maximum Value=79),(Minimum Value=80,Maximum Value=84)))","(Damage Result Type=Major Success,Ranges=((Minimum Value=85,Maximum Value=89),(Minimum Value=90,Maximum Value=93),(Minimum Value=94,Maximum Value=96),(Minimum Value=97,Maximum Value=98),(Minimum Value=99,Maximum Value=99)))"
