Country Code,Country,President,,Population,PopulationRating,Motto,Nationalities,GovernmentStructureType,GovernmentPreception,GovermentCorruption,PresidentialTerm,LeaderTitleType,MilitaryServices,MilitaryBudget,IntelligenceServices,IntelligenceBudget,CapitalPunishmentType,MediaFreedom ,LawEnforcement,LawEnforcementBudget,GDPNational,GDPPerCaptia,Healthcare,HigherEducation,SocialDevopment,Lifestyle,TerrorismActivity,CyberCapabilities ,DigitalDevelopment,Science,Cloning,LSWActivity,LSWRegulations,Vigilantism,Gender
Unique # for each country. Not all countries have a code,Name of country,,,,,,,,,,,,,,,,,,,,,,,,,FORMULA,,,,,,,,,
163,Slovenia,Edvard Cencič ,,2078938,30,None,Slovenian,Parliamentary Republic,Full Democracy,59,5,President,33,40,20,33,Inactive,76,63,64,46,64,90,90,90,77,0,59,70,20,Banned,31,Regulated,Regulated,Male
162,Norway,Anne Dahl Bøyum,,5421241,38,Everything for Norway,Norwegian,Democracy,Full Democracy,85,0,Monarch,53,55,20,38,Inactive,90,76,82,56,88,90,90,90,90,20,62,85,20,Banned,27,Regulated,Regulated,Female
159,Austria,Catherine Maurer,,9006458,44,None,Austrian,Federal Republic,Full Democracy,75,6,President,44,52,20,40,Inactive,83,42,63,59,84,85,86,90,89,32,68,77,66,Banned,24,Regulated,Regulated,Female
128,New Zealand,Rebecca Hearn,,4822233,36,Onward,Kiwi,Democracy,Full Democracy,90,5,Governor-General,35,45,20,38,Inactive,89,11,46,55,80,90,90,90,86,43,51,77,59,Banned,34,Regulated,Regulated,Female
120,Iceland,Agla Árnadóttir,,341243,20,None,Icelander,Republic,Full Democracy,77,4,President,20,32,20,32,Inactive,84,38,63,43,88,90,90,90,85,0,55,78,36,Banned,20,Regulated,Regulated,Female
113,Finland,Leena Tolvanen,,5540720,39,"Home, Religion and the Fatherland",Finnish,Republic,Full Democracy,87,6,President,43,49,20,38,Inactive,90,48,66,55,84,90,90,90,90,20,84,80,65,Banned,31,Legal,Regulated,Female
107,Denmark,,,5792202,39,"God's help, the love of the people, Denmark's strength",Danish,Constitutional Monarchy,Full Democracy,90,4,Monarch,44,50,20,38,Inactive,90,76,82,56,87,90,90,90,90,20,83,90,65,Banned,20,Regulated,Regulated,
106,Czech Republic,,,10708981,46,Truth prevails,Czech,Parliamentary democracy,Flawed Democracy,55,4,President,50,53,20,38,Inactive,76,26,44,55,62,90,89,90,83,20,90,69,65,Banned,26,Regulated,Banned,
92,Hong Kong,,,7496981,42,None,None,Limited democracy,Hybrid Regime,78,5,Chief Executive,25,41,20,38,Inactive,69,45,65,56,84,85,88,90,85,0,69,79,64,Banned,20,Banned,Regulated,
