Sector,CountryCode,CultureCode,CityName,Country,Population,PopulationRating,PopulationType,CityType1,CityType2,CityType3,CityType4,HVT,CrimeIndex,SafetyIndex,CityType
LJ5,96,14,Kabul,Afghanistan,4221532.00,6,City,Military,Political,,,"['High ranking military official or critical military facility', 'High ranking politician or critical political institution']",76.06,23.94,"['Military', 'Political']"
LD4,96,14,Herat,Afghanistan,605575.00,5,City,Political,Educational,Company,,"['Unknown Important Individual', 'High ranking politician or critical political institution']",57.00,43.00,"['Cultural', 'Political']"
LD4,96,14,Mazar-e Sharif,Afghanistan,532689.00,5,City,Temple,Mining,,,"['Unknown Important Individual', 'Unknown Important Individual']",78.19,21.81,"['Cultural', 'Religious']"
,2,1,Algiers,Algeria,2767661.00,6,Large City,Political,Company,,,"['High ranking politician or critical political institution', 'Unknown Important Individual']",52.05,47.95,"['Political', 'Commercial']"
,2,1,Oran,Algeria,899182.00,5,City,Industrial,,,,"['Unknown Important Individual', 'Unknown Important Individual']",54.51,45.49,"['Commercial', 'Cultural']"
,2,1,El Djelfa,Algeria,503397.00,5,City,Company,,,,['Unknown Important Individual'],55.15,44.85,['Unknown']
IV3,3,3,Luanda,Angola,8329798.00,6,Large City,Industrial,,,,['Unknown Important Individual'],67.52,32.48,['Unknown']
IV4,3,3,Lubango,Angola,828248.00,5,City,Company,Mining,,,['Unknown Important Individual'],74.51,25.49,['Unknown']
IV3,3,3,Cabinda,Angola,777697.00,5,City,Political,,,,['Unknown Important Individual'],66.82,33.18,['Unknown']
IV4,3,3,Benguela,Angola,715130.00,5,City,Industrial,Military,Company,Seaport,['Unknown Important Individual'],74.51,25.49,['Unknown']
IV4,3,3,Huambo,Angola,671413.00,5,City,Educational,,,,['Unknown Important Individual'],71.10,18.99,['Unknown']
JB4,3,3,Malanje,Angola,665150.00,5,City,Company,Political,,,['Unknown Important Individual'],63.24,36.76,['Unknown']
JB5,3,3,Cuito,Angola,535407.00,5,City,Military,Temple,,,['Unknown Important Individual'],74.38,25.62,['Unknown']
IV3,3,3,Uige,Angola,510631.00,5,City,Mining,,,,['Unknown Important Individual'],71.24,28.76,['Unknown']
,4,12,Buenos Aires,Argentina,15153729.00,7,Mega City,Company,Industrial,Educational,Political,['Unknown Important Individual'],62.58,37.42,['Unknown']
,4,12,Cordoba,Argentina,1571944.00,6,Large City,Resort,Temple,Educational,,['Unknown Important Individual'],57.79,42.21,['Unknown']
,4,12,Rosario,Argentina,1532128.00,6,Large City,Seaport,Industrial,Company,Resort,['Unknown Important Individual'],71.20,28.80,['Unknown']
,4,12,Mendoza,Argentina,1172619.00,5,City,Educational,Company,,,['Unknown Important Individual'],67.51,32.49,['Unknown']
,4,12,San Miguel de Tucuman,Argentina,985656.00,5,City,Resort,Temple,,,['Unknown Important Individual'],80.96,19.04,['Unknown']
,4,12,La Plata,Argentina,884054.00,5,City,Educational,Mining,Resort,,['Unknown Important Individual'],66.77,33.23,['Unknown']
,4,12,Salta,Argentina,684751.00,5,City,Temple,Company,Educational,,['Unknown Important Individual'],43.68,56.32,['Unknown']
,4,12,Mar Del Plata,Argentina,665707.00,5,City,Seaport,Industrial,,,['Unknown Important Individual'],70.19,29.81,['Unknown']
,4,12,Santa Fe,Argentina,562917.00,5,City,Company,Military,,,['Unknown Important Individual'],69.09,30.91,['Unknown']
,4,12,San Juan,Argentina,536913.00,5,City,Resort,Company,,,['Unknown Important Individual'],69.00,31.00,['Unknown']
,5,10,Dilijan,Armenia,16600.00,2,Small Town,Industrial,Resort,,,['Unknown Important Individual'],18.46,81.25,['Unknown']
,5,10,Gyumri,Armenia,121976.00,3,Town,Industrial,Military,,,['Unknown Important Individual'],13.24,86.76,['Unknown']
,5,10,Yerevan,Armenia,1086275.00,5,City,Industrial,Political,,,['Unknown Important Individual'],23.82,76.18,['Unknown']
OY5,6,11,Melbourne,Australia,4967733.00,6,Large City,Educational,Resort,Industrial,Company,['Unknown Important Individual'],44.49,55.51,['Unknown']
PE5,6,11,Sydney,Australia,4925987.00,6,Large City,Company,Political,Industrial,Seaport,['Unknown Important Individual'],33.67,66.33,['Unknown']
PE4,6,11,Brisbane,Australia,2406182.00,6,Large City,Seaport,Industrial,Resort,,['Unknown Important Individual'],35.24,64.76,['Unknown']
NN8,6,11,Perth,Australia,2041959.00,6,Large City,Mining,Industrial,Educational,Seaport,['Unknown Important Individual'],42.21,57.79,['Unknown']
OM3,6,11,Adelaide,Australia,1336403.00,5,City,Resort,Seaport,,,['Unknown Important Individual'],28.63,71.37,['Unknown']
PE4,6,11,Gold Coast,Australia,699226.00,5,City,Temple,Resort,Seaport,,['Unknown Important Individual'],42.72,57.28,['Unknown']
,7,9,Vienna,Austria,1929944.00,6,Large City,Company,Industrial,Educational,Political,['Unknown Important Individual'],25.26,74.74,['Unknown']
,8,14,Baku,Azerbaijan,2341443.00,6,Large City,Industrial,Company,Political,Educational,['Unknown Important Individual'],30.38,69.62,['Unknown']
,9,14,Manama,Bahrain,634508.00,5,City,Educational,Company,,,['Unknown Important Individual'],22.42,77.58,['Unknown']
,10,5,Dhaka,Bangladesh,21005860.00,7,Mega City,Political,Company,Industrial,Military,['Unknown Important Individual'],64.94,35.06,['Unknown']
MI2,10,5,Chittagong,Bangladesh,5019824.00,6,Large City,Company,Industrial,Resort,Seaport,['Unknown Important Individual'],65.27,34.73,['Unknown']
MI2,10,5,Khulna,Bangladesh,953745.00,5,City,Seaport,Military,Industrial,,['Unknown Important Individual'],56.91,43.09,['Unknown']
MI2,10,5,Rajshahi,Bangladesh,907732.00,5,City,Educational,Company,,,['Unknown Important Individual'],52.65,47.35,['Unknown']
,10,5,Sylhet,Bangladesh,851808.00,5,City,Mining,Temple,Resort,,['Unknown Important Individual'],53.14,46.86,['Unknown']
,10,5,Bogra,Bangladesh,775034.00,5,City,Temple,,,,['Unknown Important Individual'],51.65,48.35,['Unknown']
,10,5,Comilla,Bangladesh,588772.00,5,City,Military,Resort,Temple,,['Unknown Important Individual'],58.25,41.75,['Unknown']
,11,10,Minsk,Belarus,2028104.00,6,Large City,Political,Industrial,Company,Educational,['Unknown Important Individual'],61.75,38.25,['Unknown']
,11,10,Gomel,Belarus,557589.00,5,City,Company,Educational,,,['Unknown Important Individual'],51.01,48.99,['Unknown']
,12,9,Brussels,Belgium,2080788.00,6,Large City,Educational,Company,,,['Unknown Important Individual'],50.80,49.20,['Unknown']
,12,9,Antwerp,Belgium,1042471.00,5,City,Seaport,Resort,Temple,Industrial,['Unknown Important Individual'],37.40,62.60,['Unknown']
,12,9,Liege,Belgium,677589.00,5,City,Political,Mining,,,['Unknown Important Individual'],45.56,54.44,['Unknown']
