Country Code,,96,157,2,165,3,4,5,6,159,8,9,10,11,12,168,13,14,155,144,15,153,156,100,101,103,102,16,142,97,98,33,18,19,104,7,102,106,107,108,109,110,20,111,147,112,154,145,21,169,113,22,114,115,23,24,93,116,94,117,148,118,95,92,119,120,25,26,27,28,29,30,31,32,34,35,84,83,85,86,171,121,122,88,87,82,123,124,128,81,126,139,36,158,164,37,166,38,39,90,140,27,89,128,121,91,40,41,161,162,131,42,132,133,150,134,43,44,77,78,76,79,75,80,45,46,146,47,48,135,50,51,160,163,151,52,53,54,141,55,56,57,149,58,59,60,61,62,63,64,167,136,137,99,65,138,152,66,67,68,69,170,17,70,71,143,72,73,73
,,Afghanistan,Albania,Algeria,Andorra,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Belize,Benin,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Congo,Costa Rica,Croatia,Cuba,Czech Republic,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Fiji,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Libya,Lithuania,Madagascar,Malawi,Malaysia,Mali,Mauritania,Mexico,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Norway,Oman,Pakistan,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of the Congo,Romania,Russia,Rwanda,São Tomé and Príncipe,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,The Bahamas,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,UnitedKingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Western Sahara,Yemen,Zambia,Zimbabwe
96,Afghanistan,,3,3,3,3,2,3,3,2,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,2,3,2,3,3,2,,3,3,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,2,,3,3,3,3,2,3,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
157,Albania,3,,2,3,3,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,2,3,3,3,1,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,1,2,3,3,3,3,2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3
2,Algeria,3,2,,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3
165,Andorra,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,Angola,3,3,2,3,,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,4,3,4,2,2,2,2,4,3,1,2,2,3,4,3,3,3,3,3,3,3,2,2,3,3,2,3,2,2,3,3,3,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,4,2,4,3,3,4,3,3,3,3,3,3,1,3,3,2,3,2,3,3,4,3,2,2,2,3,3,3,3,2,2,1,1
4,Argentina,2,2,2,3,2,,3,3,3,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,4,2,4,3,3,4,3,3,3,3,3,3,1,3,3,2,3,2,3,3,4,3,2,2,2,3,3,3,3,2,2,1,1,2,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,1,4,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3
5,Armenia,3,2,3,3,3,3,,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3
6,Australia,3,2,3,3,3,3,2,,3,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,3,3,3,3,3,3,3,3,3,2,2,5,3,2,2,2,2,4,2,4,3,3,4,3,3,2,3,3,3,1,4,3,2,3,2,3,3,4,3,2,2,2,5,3,3,3,2,2,1,1,4,3,2,2,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,2,5,3,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3
