Mechanic_Type,Mechanic_Name,Formula,Variables,Example_Calculation,Game_Effect,Integration_Point,Balance_Notes
Range_Calculation,Basic_Throwing_Range,"Range = (Character_STR - Object_Weight/50) × Object_Range_Modifier","STR, Object_Weight, Range_Modifier","STR 60, Car 2800 lbs: (60 - 56) × 0.2 = 0.8 squares",Determines how far object can be thrown,Environmental_Objects.csv Range_Modifier,Strength must significantly exceed weight for effective range
Range_Calculation,Maximum_Range_Cap,"Max_Range = Character_STR / 10 squares","Character_STR","STR 80 = maximum 8 squares for any object",Prevents unrealistic throwing distances,Character strength limits,Even strongest characters have realistic limits
Range_Calculation,Minimum_Range,"Min_Range = 1 square if STR > Weight/20","STR, Object_Weight","STR 30, Chair 60 lbs: 30 > 3, so 1 square minimum",Ensures throwable objects can reach adjacent squares,Environmental_Objects.csv Weight,Very light objects always throwable at short range
Accuracy_Calculation,Throwing_Accuracy,"Accuracy = Base_Accuracy + STR_Bonus - Weight_Penalty + Skill_Bonus","Base_Accuracy, STR, Weight, Throwing_Skill","Base +2CS, STR 50 (+1CS), Weight 100 lbs (-1CS), Throwing skill (+2CS) = +4CS total",Determines likelihood of hitting target,Complete_Skills_Talents.csv Throwing skill,Accuracy decreases with object weight
Accuracy_Calculation,Aerodynamic_Modifier,Objects with good/poor aerodynamics get accuracy bonuses/penalties,Object_Aerodynamic_Rating,Football (+1CS) vs Refrigerator (-2CS),Realistic physics affect throwing accuracy,Environmental_Objects.csv aerodynamic properties,Object shape affects throwability
Damage_Calculation,Thrown_Damage,"Damage = Object_Base_Damage + (Character_STR/5) + Momentum_Bonus","Object_Damage, Character_STR, Range_Thrown","Car 55 damage + STR 60/5 + 3 momentum = 70 total damage",Strong characters make objects more deadly,Environmental_Objects.csv Base_Damage + Character stats,Thrown objects scale with thrower strength
Damage_Calculation,Momentum_Bonus,"Momentum = Range_Thrown × 3 (max +15)","Range_Thrown","Thrown 4 squares = +12 momentum bonus",Longer throws hit harder,Range calculation integration,Encourages maximum range throws for damage
Damage_Calculation,Area_Damage,"Area_Damage = Primary_Damage × 0.75 to adjacent targets","Primary_Damage, Object_Area_Effect","Car hits for 70 primary, adjacent targets take 52 area damage",Large objects affect multiple targets,Environmental_Objects.csv Area_Effect,Large thrown objects create area denial
Acquisition_Time,Object_Pickup,"Pickup_Time = Object_Weight/Character_STR (minimum 1 action)","Object_Weight, Character_STR","500 lb object, STR 50: 10 actions to pick up",Heavier objects take longer to weaponize,Environmental_Objects.csv Weight + Character STR,Prevents instant heavy object spam
Acquisition_Time,Object_Extraction,"Extraction_Time = Object_Destruction_Threshold/Character_STR","Object_Destruction_Threshold, Character_STR","Steel beam threshold 60, STR 50: Need 2 actions to extract",Some objects must be torn free,Environmental_Objects.csv Destruction_Threshold,Structural objects require extraction effort
Special_Effect_Vehicle_Explosion,Fuel_Tank_Explosion,"Explosion_Damage = Vehicle_Base_Damage + 2d6; Radius = Vehicle_Size × 2","Vehicle_Base_Damage, Vehicle_Size","SUV 75 damage + 2d6 explosion, 6 square radius",Vehicle destruction may cause explosions,Environmental_Objects.csv Special_Properties,Vehicles create dangerous secondary effects
Special_Effect_Chemical_Release,Hazardous_Material_Contamination,"Contamination_Damage = Chemical_Type_Damage; Duration = Container_Size × 5 turns","Chemical_Type, Container_Size","Industrial barrel: 20 poison damage, 15 turn duration",Chemical containers create persistent hazards,Environmental_Objects.csv Hazardous materials,Chemical weapons create area denial effects
Special_Effect_Electrical_Discharge,Electronics_Shock,"Electrical_Damage = Electronics_Voltage + 1d6; Arc_Range = Voltage/20","Electronics_Voltage","TV 110V: 5 electrical + 1d6, 5 square arc range",Electronic destruction creates electrical hazards,Environmental_Objects.csv Electronics,Electronics create shock effects when destroyed
Special_Effect_Structural_Collapse,Load_Bearing_Destruction,"Collapse_Chance = (Damage_Dealt - Structural_Threshold) × 10%","Damage_Dealt, Structural_Threshold","200 damage vs 150 threshold = 50% collapse chance",Destroying key structures may collapse buildings,Environmental_Objects.csv Structural components,Structural damage can cause catastrophic effects
Legal_Integration_Theft_Charges,Property_Theft,"Theft_Severity = Object_Value + Owner_Type","Object_Cost_To_Replace, Object_Legal_Consequences","$25,000 car + private owner = Grand Theft Auto charges",Using others' property as weapons adds theft charges,Environmental_Objects.csv Cost_To_Replace + Legal_Consequences,Improvised weapons create multiple legal charges
Legal_Integration_Destruction_Charges,Property_Destruction,"Destruction_Severity = Object_Value + Public_Safety_Impact","Object_Cost, Public_Safety","$300,000 bus + public safety = Federal destruction charges",Destroying property creates escalating charges,Environmental_Objects.csv Legal_Consequences,Property value and type determine legal severity
Legal_Integration_Endangerment_Charges,Public_Endangerment,"Endangerment_Severity = Civilian_Proximity + Object_Danger_Level","Civilian_Count, Object_Hazard_Rating","20 civilians + explosive vehicle = Mass endangerment charges",Throwing dangerous objects near civilians escalates charges,Environmental_Objects.csv + Public_Perception.csv,Civilian safety affects legal consequences dramatically
Environmental_Integration_Fire_Spread,Fire_Hazard_Creation,"Fire_Spread = Flammable_Materials × Fire_Source_Intensity","Environmental_Flammable_Rating, Fire_Damage","Gas station + fire attack = widespread fire hazard",Fire attacks can ignite environmental objects,Environmental_Objects.csv Hazardous + Fire powers,Fire powers interact with flammable environment
Environmental_Integration_Chain_Destruction,Cascading_Environmental_Effects,"Chain_Reaction = Primary_Destruction × Environmental_Vulnerability","Object_Destruction, Environmental_Chain_Rating","Destroy power line → lights go out → security fails",Destroying key objects affects entire environment,Environmental_Objects.csv + Environmental systems,Environmental destruction creates cascading effects
Tactical_Application_Cover_Destruction,Removing_Enemy_Cover,"Cover_Destruction = Object_STR_Requirement vs Character_STR","Object_Destruction_Threshold, Character_STR","Brick wall threshold 40, character STR 60 = wall destroyed",Strong characters can eliminate enemy cover,Environmental_Objects.csv Destruction_Threshold,Strength allows tactical environment modification
Tactical_Application_Area_Denial,Creating_Hazardous_Zones,"Area_Denial = Hazard_Type × Duration × Radius","Object_Hazard_Type, Object_Size","Chemical spill: Poison type, 10 turn duration, 3 square radius",Hazardous objects create tactical zones,Environmental_Objects.csv Hazardous properties,Area denial affects battlefield control
Tactical_Application_Distraction,Noise_And_Visual_Distraction,"Distraction_Effectiveness = Object_Size × Impact_Location","Object_Size, Impact_Visibility","Large truck hitting building = major distraction for all characters",Large object impacts distract enemies,Environmental_Objects.csv + Stealth mechanics,Object throwing can enable stealth tactics
Tactical_Application_Barrier_Creation,Environmental_Barrier_Formation,"Barrier_Effectiveness = Object_Size × Durability","Object_Size, Object_Destruction_Threshold","Overturned bus: Large size + 50 threshold = substantial barrier",Large objects can create temporary cover,Environmental_Objects.csv Size + Durability,Thrown objects can modify battlefield terrain
Power_Enhancement_Super_Strength,Strength_Throwing_Enhancement,"Enhanced_Range = Normal_Range × (Super_STR/Normal_STR)","Super_Strength_Level, Normal_STR","Level 3 Super Strength (STR 100) vs Normal (STR 30): 3.3× range",Super Strength dramatically improves throwing,LSW_Power_Combat_Mechanics.csv Super Strength + Throwing mechanics,Super Strength makes environmental combat dominant
