Time_Type,Real_Time,Game_Time,Time_Ratio,Description,Strategic_Implications,Travel_Impact,Event_Processing,Combat_Resolution
Base_Time_Flow,1 Real Day,30 Game Days,1:30,Standard time progression for active gameplay,Allows meaningful 2472-day countdown in 82.4 real days,Travel decisions become significant,Events process during real-time,Combat simulated in minutes
Accelerated_Research,1 Real Day,45 Game Days,1:45,When conducting intensive research or development,Research projects complete faster but other activities suffer,Travel time increases due to focus,Fewer random events,Limited combat availability
Crisis_Time,1 Real Day,15 Game Days,1:15,During major crises or emergency situations,Allows detailed crisis management,Travel severely limited,Increased event frequency,Combat happens more frequently
Downtime,1 Real Day,60 Game Days,1:60,Peaceful periods with minimal threats,Long-term planning and development possible,Travel very efficient,Minimal events,Very rare combat
Travel_Local,Game Hours,Real Minutes,Variable,Movement within same city,Low strategic cost,1-30 minutes real time,No interruption,No travel combat
Travel_Regional,Game Hours,Real Hours,Variable,Movement within same country,Moderate strategic commitment,1-6 hours real time,Possible random encounters,Low travel combat chance
Travel_International,Game Days,Real Hours,Variable,Movement between countries,Major strategic decision,6-24 hours real time,High chance encounters,Moderate travel combat chance
Travel_Continental,Game Days,Real Days,Variable,Movement between continents,Significant resource commitment,1-3 real days,Guaranteed encounters,High travel combat chance
Travel_Intercontinental,Game Weeks,Real Days,Variable,Long-distance global movement,Ultimate strategic commitment,3-7 real days,Multiple encounters guaranteed,Very high travel combat chance
Travel_Off_World,Game Months,Real Weeks,Variable,Space travel to alien worlds,End-game strategic decision,1-2 real weeks,Alien encounters,Alien combat encounters
Distance_Same_City,Distance Category,0-50 km,Base travel time: 15 minutes,Local operations within city limits,Minimal time investment,Can return same day,Local law enforcement may respond,Street-level encounters
Distance_Regional,Distance Category,51-500 km,Base travel time: 2-4 hours,Regional operations within country,Moderate time investment,Day trip possible,Regional authorities may respond,Regional threat encounters
Distance_National,Distance Category,501-2000 km,Base travel time: 6-12 hours,Cross-country operations,Significant planning required,Overnight trip minimum,National authorities alerted,National security encounters
Distance_International,Distance Category,2001-8000 km,Base travel time: 1-2 days,International operations requiring passports,Major strategic commitment,Multi-day absence,International incident risk,International threat encounters
Distance_Intercontinental,Distance Category,8001+ km,Base travel time: 2-7 days,Global operations crossing continents,Ultimate strategic decision,Extended absence from base,Global political implications,Global threat encounters
Vehicle_Walking,Transportation,Speed: 5 km/h,No cost; Available everywhere,Foot travel for local operations,Silent approach; No vehicle vulnerability,Limited range; Very slow,Can encounter street-level threats,Basic personal encounters
Vehicle_Bicycle,Transportation,Speed: 20 km/h,Low cost; Available in most cities,Bicycle transportation for city operations,Silent approach; Some speed benefit,Limited range; Weather dependent,Can encounter local threats,Urban environment encounters
Vehicle_Car,Transportation,Speed: 80 km/h,Medium cost; Widely available,Standard automotive transportation,Fast regional travel; Good cargo capacity,Traffic; Fuel costs; Maintenance,Can encounter traffic-related threats,Road-based encounters
Vehicle_Motorcycle,Transportation,Speed: 120 km/h,Medium cost; High maneuverability,Fast personal transportation,Very fast; Excellent maneuverability,Weather vulnerable; Limited cargo,Can encounter high-speed threats,Chase encounter opportunities
Vehicle_Commercial_Flight,Transportation,Speed: 800 km/h,High cost; Airport security,International airline transportation,Fast international travel; Civilian cover,Airport security; Flight delays; Public exposure,Can encounter airline threats,International incident risks
Vehicle_Private_Jet,Transportation,Speed: 900 km/h,Very high cost; Private airports,Luxury international transportation,Fastest civilian travel; Complete privacy,Expensive; Limited airports,Can encounter aviation threats,Elite encounter opportunities
Vehicle_Military_Transport,Transportation,Speed: 600 km/h,Faction resource; Military clearance,Military transportation with security,Armed escort; Military protection,Military protocols; Political visibility,Can encounter military threats,Military operation encounters
Vehicle_Boat,Transportation,Speed: 30 km/h,Medium cost; Coastal access,Water-based transportation,Avoid road checkpoints; Cargo capacity,Weather dependent; Slow,Can encounter maritime threats,Ocean-based encounters
Vehicle_Submarine,Transportation,Speed: 25 km/h underwater,Very high cost; Military grade,Covert underwater transportation,Complete stealth; Immune to surface detection,Very expensive; Limited access points,Can encounter underwater threats,Deep sea encounters
Vehicle_Helicopter,Transportation,Speed: 250 km/h,High cost; Pilot required,Helicopter transportation for tactical deployment,Direct point-to-point; Landing flexibility,Weather limits; Noise; Fuel costs,Can encounter aerial threats,Aerial combat encounters
Vehicle_Supersonic_Jet,Transportation,Speed: 2400 km/h,Ultra high cost; Military clearance,Fastest atmospheric transportation,Intercontinental in hours; Military grade,Extremely expensive; Limited availability,Can encounter aerospace threats,High-altitude encounters
Vehicle_Spacecraft,Transportation,Speed: Variable,Ultra high cost; Space program access,Space transportation for off-world missions,Access to alien worlds; Ultimate speed,Requires space program; Extreme costs,Can encounter space threats,Cosmic encounter opportunities
Encounter_Street_Crime,Random Event,Local scale,15% chance during patrol,Street-level criminal activity,Low threat; Good for new characters,Cannot avoid if patrolling,Local police response,Basic criminal encounters
Encounter_Gang_Warfare,Random Event,City scale,8% chance during urban travel,Gang conflicts with LSW involvement,Moderate threat; Civilian casualties possible,Can be avoided with different routes,Law enforcement overwhelmed,Gang-level LSW encounters
Encounter_Terrorist_Attack,Random Event,National scale,3% chance during national travel,Terrorist incidents requiring immediate response,High threat; National security implications,Cannot avoid; Must respond,Military and intelligence response,Terrorist LSW encounters
Encounter_International_Incident,Random Event,Global scale,1% chance during international travel,Diplomatic crises requiring faction intervention,Extreme threat; Global political consequences,Cannot avoid; Faction represents country,United Nations involvement,International LSW encounters
