Armor_Name,Armor_Type,Damage_Reduction,Max_Armor_Points,Weight_Class,Cost_Level,Repair_Difficulty,Protection_Against,Bypassed_By,Special_Properties,Requirements,Availability,Repair_Materials,Repair_Time_Hours,Description
Civilian Clothes,None,0,0,Light,Free,None,None,All attacks,Normal clothing with no protection,None,Common,None,0,Everyday clothing with no protective value
Leather Jacket,Physical,2,15,Light,Low,Easy,Slashing; Blunt,Bullets; Energy; Psychic,Concealable in urban areas,None,Common,Leather; Basic tools,1,Thick leather providing minimal protection
Kevlar Vest,Physical,8,40,Light,Medium,Moderate,Bullets; Piercing,Energy; Psychic; Explosions,Concealable under clothing,None,Military/Police,Kevlar fabric; Sewing kit,3,Standard bulletproof vest for law enforcement
Tactical Vest,Physical,12,55,Medium,Medium,Moderate,Bullets; Shrapnel; Blunt,Energy; Psychic,Utility pouches; Radio mounting,None,Military,Kevlar; Ceramic plates,4,Military-grade body armor with equipment mounting
Riot Gear,Physical,15,70,Medium,Medium,Moderate,Blunt; Thrown objects; Chemicals,Bullets; Energy; Psychic,Helmet with visor; Full coverage,None,Law Enforcement,Polycarbonate; Padding,5,Full riot control protection with helmet
Combat Armor,Physical,18,85,Heavy,High,Hard,Bullets; Shrapnel; Explosions,Energy; Psychic; Heavy weapons,Full body protection,STR>20,Military,Ceramic; Steel; Advanced materials,8,Military combat suit with integrated systems
Power Armor,Physical,25,120,Heavy,Very High,Very Hard,All physical damage,Energy; Psychic; EMP,Servo assistance; Life support,Engineering skill,Advanced Military,Advanced alloys; Electronics,12,Powered exoskeleton with enhanced strength
Force Field Belt,Energy,20,60,Light,High,Hard,Energy; Plasma; Electricity,Physical; Psychic; Sonic,Personal energy shield,Science skill,High Tech,Energy cells; Circuitry,6,Personal energy shield generator worn as belt
Energy Shield Gauntlets,Energy,15,45,Light,High,Hard,Energy; Laser; Lightning,Physical; Psychic,Shield can be projected as weapon,Energy Weapons skill,High Tech,Energy cells; Focusing crystals,4,Gauntlets that project energy shields
Plasma Dispersal Cloak,Energy,22,75,Medium,Very High,Very Hard,Energy; Heat; Radiation,Physical; Psychic; Cold,Temperature regulation,Science skill,Ultra-Tech,Plasma coils; Superconductors,10,Cloak that disperses energy attacks
Hardlight Armor,Energy,30,90,Light,Ultra High,Extreme,Energy; Kinetic dispersion,Psychic; Reality manipulation,Adaptive protection; Self-repairing,Physics Mastery,Alien Tech,Hardlight projectors; Quantum processors,16,Solid light constructs forming adaptive armor
Mystical Ward Amulet,Mystical,18,50,Light,High,Moderate,Psychic; Curses; Supernatural,Physical; Energy,Spiritual protection,Occult knowledge,Mystical Sources,Blessed materials; Ritual components,8,Amulet providing spiritual protection
Blessed Robes,Mystical,12,35,Light,Medium,Easy,Psychic; Dark magic; Possession,Physical; Energy,Faith-based protection,Religious authority,Religious Orders,Holy materials; Prayer,4,Robes blessed for protection against evil
Spirit Armor,Mystical,25,80,Medium,Very High,Hard,Psychic; Supernatural; Ethereal,Physical; Energy; Holy attacks,Phases with wearer's spirit,Spiritual Enhancement origin,Mystical Contacts,Ectoplasm; Spirit binding materials,12,Armor formed from bound spirits
Reality Anchor Suit,Mystical,35,100,Heavy,Ultra High,Extreme,Reality manipulation; Dimensional attacks,Physical damage still affects wearer,Dimensional stability,Multidimensional Awareness power,Ultra-Rare,Reality-stable materials; Dimensional anchors,20,Suit that maintains existence across realities hardlight
