Character_ID,Character_Name,Real_Name,Archetype_Type,Faction,Stats,Powers,Equipment,Skills,Background,Combat_Role,Investigation_Role,Personality_Traits
ARCH_001,Captain America,Steve Rogers,Enhanced Soldier,US/FIST,"MEL:65 AGL:55 STR:60 STA:70 INT:45 INS:50 CON:65","Enhanced Physiology, Super Durability","Vibranium Shield, Tactical Armor, Combat Gear","Leadership 4, Shield Combat 3, Military Tactics 3, Martial Arts 2","WW2 super-soldier; Military background; Patriotic hero; No secret identity","Tank/Leader - High durability with team coordination","Military Intelligence - Tactical analysis and team coordination","Loyal, Brave, Moral compass, Natural leader"
ARCH_002,Batman,Bruce Wayne,Tech Specialist,Independent,"MEL:55 AGL:60 STR:45 STA:55 INT:80 INS:75 CON:50","None (Peak Human)","High-tech Suit, Utility Belt, Various Gadgets","Detective 4, Stealth 4, Martial Arts 3, Engineering 3, Business 4","Billionaire inventor; Master detective; Martial arts training","Stealth/Control - High mobility with tactical preparation","Master Detective - Investigation specialization with technology","Determined, Brooding, Perfectionist, Loner tendencies"
ARCH_003,Thunder Strike,Marcus Johnson,Flying Combatant,US/FIST,"MEL:45 AGL:55 STR:40 STA:50 INT:35 INS:40 CON:45","Flight, Energy Projection","Combat Armor, Energy Rifle","Pilot 3, Energy Weapons 2, Military Tactics 2","Air Force pilot gained powers in alien encounter; Maintains military service","Air Support - Aerial combat with energy weapons","Aerial Surveillance - Sky-based reconnaissance and support","Disciplined, Duty-focused, Team player, Professional"
ARCH_004,Shadow Blade,Unknown,Stealth Assassin,Criminal,"MEL:70 AGL:75 STR:50 STA:45 INT:60 INS:80 CON:40","Invisibility, Enhanced Reflexes","Stealth Suit, Katana, Throwing Knives","Stealth 5, Martial Arts 4, Ninjitsu 3, Assassination 4","Mysterious background; Trained by secret organization; Identity unknown","Assassin - High damage stealth attacks","Infiltration - Covert information gathering","Silent, Deadly, Mysterious, Honor-bound"
ARCH_005,Sandra Locke,Sandra Locke,Time Walker,US/FIST,"MEL:45 AGL:70 STR:35 STA:60 INT:85 INS:90 CON:55","Time Travel, Temporal Manipulation","Temporal Stabilizer, Advanced Tech","Time Travel 5, Investigation 4, History 3, Leadership 2","Scientist gained time powers; Key strategic asset; Risk of madness from timeline manipulation","Strategic Support - Timeline manipulation and intelligence","Temporal Investigation - Historical analysis and timeline tracking","Intelligent, Cautious, Burdened by knowledge, Strategic mind"
ARCH_006,Kaiser Eziobi,Kaiser Eziobi,Faction Leader,Nigeria,"MEL:50 AGL:45 STR:40 STA:65 INT:70 INS:85 CON:70","Entity Bonding, Memory Vessel, Telepathy","Mystical Armor, Communication Equipment","Leadership 4, Diplomacy 3, History 3, Entity Communication 4","Nigerian leader bonded with telepathic alien organism; Uniting Africa focus","Commander - Team coordination with alien-enhanced abilities","Cultural Intelligence - African networks and alien insights","Visionary, Diplomatic, Spiritually connected, Pan-African focus"
ARCH_007,Liu Xiao,Liu Xiao,Power Shifter,China,"MEL:55 AGL:50 STR:45 STA:55 INT:90 INS:60 CON:60","Muou Sphere Power Shifting, Adaptive Powers","Advanced Tech, Muou Spheres","Engineering 4, Science 3, Military Tactics 3, Power Control 4","Chinese team leader with access to power-shifting alien spheres","Adaptive Combatant - Changes powers based on tactical needs","Technical Analysis - Advanced technology and power research","Strategic, Adaptable, Technology-focused, Collective-minded"
ARCH_008,Iron Fist,Danny Chen,Martial Artist,Independent,"MEL:80 AGL:65 STR:55 STA:60 INT:50 INS:70 CON:65","Enhanced Martial Arts, Chi Manipulation","Martial Arts Gear, Traditional Weapons","Martial Arts 5, Chi Control 4, Meditation 3, Eastern Philosophy 2","Trained in mystical martial arts; Chi-powered abilities; Eastern philosophy","Melee Specialist - Devastating hand-to-hand combat","Cultural Investigation - Eastern mysticism and martial arts networks","Disciplined, Spiritual, Honor-focused, Inner peace seeker"
ARCH_009,Tech Wizard,Sarah Kim,Gadget Master,Independent,"MEL:30 AGL:45 STR:25 STA:40 INT:95 INS:60 CON:35","Technopathy, Enhanced Inventing","Power Armor, Advanced Tech Arsenal","Engineering 5, Computer 4, Electronics 4, Invention 4","Brilliant inventor with technopathy; Creates advanced gadgets","Tech Support - Equipment creation and technological warfare","Technology Investigation - Digital forensics and tech analysis","Brilliant, Introverted, Innovation-driven, Problem solver"
ARCH_010,Flame Guardian,Rosa Martinez,Fire Controller,Independent,"MEL:40 AGL:50 STR:45 STA:55 INT:55 INS:65 CON:60","Fire Generation, Fire Manipulation, Fire Immunity","Heat-resistant Gear, Fire Equipment","Fire Control 4, Emergency Response 3, Investigation 2","Former firefighter gained fire powers; Protects community from fire threats","Area Control - Fire-based battlefield control and area denial","Fire Investigation - Arson analysis and fire scene expertise","Protective, Community-focused, Responsible, Fire safety advocate"
ARCH_011,Psychic Detective,Michael Torres,Mind Reader,Law Enforcement,"MEL:35 AGL:40 STR:30 STA:45 INT:75 INS:85 CON:50","Psychic Persuasion, Thought Reading, Memory Access","Detective Equipment, Psi-Shield Helmet","Detective 5, Psychology 4, Interrogation 3, Psychic Control 3","Police detective with psychic abilities; Solves cases through mental powers","Information Warfare - Mental attacks and psychological manipulation","Psychic Investigation - Mind reading and psychological analysis","Empathetic, Justice-focused, Burdened by others' thoughts, Ethical struggles"
ARCH_012,Speed Demon,Alex Rivera,Speedster,Independent,"MEL:40 AGL:95 STR:35 STA:80 INT:50 INS:70 CON:45","Super Speed, Enhanced Reflexes, Multiple Actions","Lightweight Gear, Speed-optimized Equipment","Athletics 4, Martial Arts 3, First Aid 2, Acrobatics 4","Former track athlete gained super speed; Uses speed for heroic rescue","Hit and Run - Multiple attacks and superior mobility","Rapid Response - Quick investigation and evidence gathering","Energetic, Impatient, Hero complex, Speed-addicted"
ARCH_013,Tank,Victor Stone,Heavy Combatant,Military,"MEL:50 AGL:25 STR:85 STA:90 INT:40 INS:35 CON:95","Super Strength, Super Durability, Immovable","Power Armor, Heavy Weapons","Heavy Weapons 4, Military Tactics 2, Intimidation 3","Military cyborg with enhanced strength and durability","Heavy Assault - Maximum damage and protection","Physical Investigation - Strength-based access and intimidation","Stoic, Duty-bound, Protective, Military mindset"
ARCH_014,Ghost,Elena Vasquez,Infiltrator,Covert Ops,"MEL:45 AGL:80 STR:30 STA:40 INT:70 INS:90 CON:35","Invisibility, Intangibility, Phasing","Stealth Equipment, Infiltration Gear","Stealth 5, Infiltration 4, Electronics 3, Espionage 4","Former spy gained phasing abilities; Specializes in covert operations","Infiltration - Stealth attacks and reconnaissance","Covert Investigation - Infiltration and information theft","Secretive, Professional, Paranoid, Mission-focused"
ARCH_015,Dr. Cosmic,Jonathan Reed,Reality Manipulator,Independent,"MEL:20 AGL:30 STR:25 STA:45 INT:100 INS:95 CON:40","Reality Warping, Dimensional Manipulation, Cosmic Awareness","Reality Anchor Suit, Cosmic Technology","Science 5, Physics 4, Cosmic Knowledge 4, Reality Control 3","Physicist gained cosmic powers through dimensional experiment","Reality Control - Ultimate power with cosmic consequences","Cosmic Investigation - Reality analysis and dimensional research","Brilliant, Overwhelmed by cosmic knowledge, Responsibility-burdened, Philosophical"
ARCH_016,Street Fighter,Carlos Mendez,Brawler,Independent,"MEL:75 AGL:45 STR:65 STA:70 INT:35 INS:55 CON:75","Enhanced Martial Arts, Damage Resistance","Basic Gear, Street Equipment","Martial Arts 4, Streetwise 4, Intimidation 3, Boxing 3","Former boxer from rough neighborhood; Protects local community","Melee Bruiser - Close combat specialist with high damage","Street Investigation - Criminal networks and urban intelligence","Tough, Protective of community, Straightforward, Loyal"
ARCH_017,Cyber Ninja,Kenji Nakamura,Tech Warrior,Corporate,"MEL:60 AGL:70 STR:40 STA:50 INT:80 INS:75 CON:45","Technopathy, Cybernetic Enhancement, Data Manipulation","Cybernetic Armor, Digital Weapons","Martial Arts 3, Computer 5, Electronics 4, Corporate Espionage 3","Corporate security specialist with cybernetic enhancements","Cyber Warfare - Technology control and digital combat","Digital Investigation - Hacking and electronic intelligence","Logical, Corporate loyalty, Technology-dependent, Efficient"
ARCH_018,Earth Shaker,David Kim,Geological Controller,Environmental,"MEL:35 AGL:30 STR:70 STA:85 INT:60 INS:50 CON:80","Gravitational Manipulation, Seismic Control, Earth Movement","Environmental Suit, Geological Equipment","Geology 4, Environmental Science 3, Construction 2","Geologist gained earth-moving powers; Environmental protection focus","Area Control - Terrain manipulation and geological warfare","Environmental Investigation - Geological analysis and earthquake prediction","Calm, Environmentally conscious, Methodical, Earth-connected"
ARCH_019,Mind Storm,Patricia Wang,Psychic Warrior,Independent,"MEL:30 AGL:55 STR:25 STA:50 INT:90 INS:95 CON:40","Psychic Blast, Mind Control, Telepathy","Psi-Shield Equipment, Mental Enhancers","Psychology 4, Psychic Control 5, Telepathy 4, Mental Defense 3","Psychologist developed powerful psychic abilities; Struggles with mental invasion ethics","Psychic Assault - Mental attacks and psychological warfare","Psychic Investigation - Mind reading and psychological analysis","Empathetic, Ethically conflicted, Mentally burdened, Seeks justice"
ARCH_020,Ice Queen,Anna Frost,Elemental Controller,Environmental,"MEL:40 AGL:50 STR:35 STA:55 INT:65 INS:60 CON:70","Ice Generation, Cold Manipulation, Freeze Powers","Cold-resistant Gear, Ice Equipment","Ice Control 4, Environmental Science 3, Emergency Response 2","Climate scientist gained ice powers; Environmental disaster response","Area Control - Ice-based battlefield control and environmental modification","Environmental Investigation - Climate analysis and cold environment access","Cool-headed, Environmentally passionate, Protective, Analytical"
Character_Creation_Template_Balanced,Template Type,Balanced character suitable for any situation,Versatile character with moderate capabilities across all areas,"MEL:50 AGL:50 STR:50 STA:50 INT:50 INS:50 CON:50; Threat Level 2; 1 Primary power; Standard equipment","Balanced template provides reliable performance across all scenarios",All-around capability suitable for any mission type,General investigation capability without specialization,Balanced characters lack specialization but have no major weaknesses
Character_Creation_Template_Combat,Template Type,Combat-focused character optimized for fighting,High combat stats with fighting-focused powers and equipment,"MEL:70 AGL:60 STR:70 STA:80 INT:40 INS:50 CON:75; Combat powers; Military equipment; Combat skills","Combat template maximizes fighting effectiveness and survivability",Specialized for direct confrontation and tactical combat,Limited investigation capability focused on combat scenarios,Combat specialists excel in fights but may lack investigation skills
Character_Creation_Template_Investigation,Template Type,Investigation-focused character optimized for case-solving,High mental stats with investigation powers and analytical equipment,"MEL:30 AGL:50 STR:30 STA:40 INT:85 INS:90 CON:45; Investigation powers; Analysis equipment; Detective skills","Investigation template maximizes case-solving and information gathering",Limited combat capability focused on information warfare,Specialized for investigation and information gathering,Investigation specialists excel at case-solving but vulnerable in combat
Character_Creation_Template_Support,Template Type,Support character optimized for team assistance,Moderate stats with team-supporting powers and coordination equipment,"MEL:40 AGL:45 STR:40 STA:60 INT:70 INS:65 CON:55; Support powers; Communication equipment; Leadership skills","Support template maximizes team effectiveness and coordination",Combat effectiveness through team support and coordination,Investigation effectiveness through team coordination and information sharing,Support specialists enhance team performance but may lack individual power
Character_Creation_Template_Stealth,Template Type,Stealth character optimized for covert operations,High agility with stealth powers and infiltration equipment,"MEL:45 AGL:80 STR:35 STA:45 INT:65 INS:85 CON:40; Stealth powers; Infiltration equipment; Covert skills","Stealth template maximizes covert operations and infiltration",Combat effectiveness through surprise attacks and reconnaissance,Investigation effectiveness through covert surveillance and infiltration,Stealth specialists excel at covert operations but vulnerable when detected
Character_Creation_Template_Tech,Template Type,Technology character optimized for technical operations,High intelligence with technology powers and advanced equipment,"MEL:25 AGL:40 STR:30 STA:40 INT:95 INS:60 CON:35; Technology powers; Advanced tech equipment; Engineering skills","Technology template maximizes technological capability and innovation",Combat effectiveness through advanced technology and equipment,Investigation effectiveness through technological analysis and digital forensics,Technology specialists excel with advanced equipment but vulnerable to EMP and tech failure
Character_Creation_Template_Cosmic,Template Type,Cosmic character with reality-affecting powers,Ultimate stats with cosmic powers and exotic equipment,"All stats 80-100; Reality powers; Cosmic equipment; Ultimate skills","Cosmic template provides universe-affecting capabilities",Combat effectiveness through reality manipulation and cosmic power,Investigation effectiveness through cosmic awareness and dimensional analysis,Cosmic characters have ultimate power but face universal responsibility and consequences
Faction_US_FIST,Faction Template,US military contractor organization,Military-focused characters with government backing,"Military careers preferred; Government cooperation; Advanced technology access; Federal authority","US characters get military training bonuses and federal cooperation",Military-style combat with advanced technology and federal resources,Government investigation authority with federal cooperation,US characters face federal oversight but have government resources and authority
Faction_India_Establishment24,Faction Template,Indian government superhuman organization,Spiritually-enhanced characters with cultural diversity,"Spiritual enhancement preferred; Cultural diversity; Diplomatic approach; Religious cooperation","Indian characters get spiritual bonuses and cultural investigation advantages",Combat enhanced by spiritual powers and cultural knowledge,Investigation enhanced by cultural networks and spiritual insights,Indian characters have cultural authenticity requirements and spiritual responsibilities
Faction_China_Collective,Faction Template,Chinese state-controlled superhuman program,Technology and collective-focused characters with state resources,"Technology enhancement preferred; Collective strategy; State resources; Manufacturing capability","Chinese characters get technology bonuses and collective coordination advantages",Combat enhanced by advanced technology and collective tactics,Investigation enhanced by state surveillance and technological resources,Chinese characters have state oversight and collective responsibility requirements
Faction_Nigeria_Adaptive,Faction Template,Nigerian diversity-focused superhuman initiative,Adaptation and diversity-focused characters with continental scope,"Diverse power types; African continental scope; Adaptation focus; Resource development","Nigerian characters get diversity bonuses and African continental advantages",Combat enhanced by power diversity and continental resources,Investigation enhanced by African networks and adaptation capabilities,Nigerian characters have continental responsibility and adaptation focus requirements
Power_Level_Street,Power Level,Street-level heroes dealing with local crime,Alpha and Level 1 characters handling neighborhood threats,"Threat Level Alpha-1; Local scope; Basic equipment; Community focus","Street-level characters handle local crime and community protection",Street combat against basic criminals and local threats,Local investigation of neighborhood crime and community issues,Street-level characters have local community connections and responsibilities
Power_Level_City,Power Level,City-wide heroes dealing with metropolitan threats,Level 1-2 characters handling city-scale problems,"Threat Level 1-2; Metropolitan scope; Advanced equipment; Regional authority","City-level characters handle metropolitan crime and regional threats",City combat against organized crime and regional threats,City investigation of corporate crime and regional conspiracies,City-level characters have metropolitan authority and regional responsibilities
Power_Level_National,Power Level,National heroes dealing with country-wide threats,Level 2-3 characters handling national security,,"Threat Level 2-3; National scope; Military equipment; Federal authority","National-level characters handle federal threats and national security",National combat against terrorism and foreign threats,National investigation of federal crimes and national security,National-level characters have federal authority and national security responsibilities
Power_Level_International,Power Level,International heroes dealing with global threats,Level 3-4 characters handling international crises,"Threat Level 3-4; Global scope; Cutting-edge equipment; Diplomatic immunity","International-level characters handle global crises and diplomatic incidents",International combat against global threats and foreign powers,International investigation of global conspiracies and diplomatic crimes,International-level characters have diplomatic immunity and global responsibilities
Power_Level_Cosmic,Power Level,Cosmic entities dealing with universal threats,Level 4-5+ characters handling reality-threatening situations,"Threat Level 4-5+; Universal scope; Cosmic equipment; Universal authority","Cosmic-level characters handle universal threats and reality manipulation",Cosmic combat against reality threats and universal dangers,Cosmic investigation of reality manipulation and universal conspiracies,Cosmic-level characters have universal responsibility and reality-affecting consequences
Combat_Role_Tank,Combat Role,High durability character absorbing damage,Focus on defense and damage absorption,"High STA/CON; Damage resistance powers; Heavy armor; Defensive skills","Tank role characters absorb enemy attacks and protect team members",Primary role: Absorb damage and protect allies,Secondary role: Intimidation and physical investigation,Tank characters excel at protection but may lack mobility and speed
Combat_Role_DPS,Combat Role,High damage character eliminating threats,Focus on damage dealing and threat elimination,"High MEL/STR or ranged; Damage powers; Weapon specialization; Attack skills","DPS role characters eliminate enemies quickly and efficiently",Primary role: Deal maximum damage to eliminate threats,Secondary role: Threat assessment and combat analysis,DPS characters excel at elimination but may be vulnerable and specialized
Combat_Role_Support,Combat Role,Team coordination and assistance character,Focus on team enhancement and coordination,"High INT/Leadership; Support powers; Communication equipment; Team skills","Support role characters enhance team performance and coordination",Primary role: Coordinate team and enhance team performance,Secondary role: Information gathering and team communication,Support characters enhance team effectiveness but may lack individual power
Combat_Role_Control,Combat Role,Battlefield manipulation and crowd control,Focus on battlefield control and enemy manipulation,"Control powers; Area effect abilities; Tactical equipment; Control skills","Control role characters manipulate battlefield and control enemy positioning",Primary role: Control battlefield positioning and enemy movement,Secondary role: Environmental analysis and tactical intelligence,Control characters excel at battlefield manipulation but may lack direct damage capability
Combat_Role_Assassin,Combat Role,High mobility stealth elimination specialist,Focus on stealth attacks and quick elimination,"High AGL/Stealth; Assassination powers; Stealth equipment; Infiltration skills","Assassin role characters eliminate specific targets through stealth and precision",Primary role: Eliminate key targets through stealth and precision attacks,Secondary role: Infiltration and covert intelligence gathering,Assassin characters excel at elimination but vulnerable when detected or in prolonged combat
