Generation_Type,Generation_Method,Probability_Weights,Selection_Criteria,Balance_Constraints,Output_Quality,Usage_Scenario
Random_Origin,Origin Selection,Skilled Human 30%; Altered Human 25%; Tech Enhancement 15%; Spiritual 10%; Alien 8%; Symbiotic 5%; Mutated 4%; Synthetics 2%; Scientific Weapon 1%,Weighted by rarity and power level,Cannot select incompatible combinations,Ensures variety while maintaining realism,General random character creation for NPCs and quick player characters
Random_Threat_Level,Threat Assessment,Alpha 40%; Level 1 35%; Level 2 15%; Level 3 7%; Level 4 2.5%; Level 5 0.5%,Weighted by rarity and game balance,Higher levels require appropriate justification,Maintains power level distribution for game balance,Character generation maintaining appropriate power distribution
Random_Power_Assignment,Power Selection,Single power 60%; Two powers 30%; Three powers 8%; Four+ powers 2%,Based on threat level and origin compatibility,Powers must be compatible with origin and threat level,Ensures characters feel coherent and balanced,Power assignment creating coherent character concepts
Random_Stat_Generation,Stat Assignment,Normal distribution around threat level baseline,Stats generated within threat level ranges with variation,Stats must align with threat level and origin bonuses,Creates realistic stat variation while maintaining balance,Stat generation for varied characters within balance constraints
Random_Skill_Assignment,Skill Selection,3-8 skills based on background and career,Skills assigned based on origin and career path,Skills must make sense for character background,Creates believable skill combinations,Skill assignment creating authentic character backgrounds
Random_Equipment_Assignment,Equipment Selection,Equipment based on availability and character focus,Equipment matches character role and access level,Equipment must be appropriate for character background and threat level,Ensures equipment matches character concept and capabilities,Equipment assignment matching character concept and access
Balanced_Generation,Point Buy System,Total points distributed across stats and abilities,Player allocates points within constraints,Point total cannot exceed threat level maximum,Creates balanced characters for competitive play,Manual character creation for competitive balance
Themed_Generation,Concept-Based,Generate character matching specific theme or role,Theme constrains generation choices,Character must fit theme while remaining balanced,Creates thematically appropriate characters,Themed character creation for specific concepts
Faction_Appropriate,Faction-Based,Generate character appropriate for chosen faction,Faction determines available options and bonuses,Character must align with faction ideology and capabilities,Creates faction-appropriate characters,Character creation for specific faction membership
Power_Focused,Power-Centric,Generate character built around specific power,Power determines stat allocation and support systems,Character build must support and enhance chosen power,Creates power-focused characters optimized for specific abilities,Character optimization around specific power concepts
Role_Focused,Role-Centric,Generate character optimized for specific combat role,Role determines stat priorities and equipment selection,Character must excel at chosen role while maintaining viability,Creates role-optimized characters for tactical gameplay,Character creation for specific tactical roles
Investigation_Focused,Investigation-Centric,Generate character optimized for investigation work,Investigation role determines skill and equipment priorities,Character must excel at investigation while maintaining basic combat viability,Creates investigation-specialized characters,Character creation for investigation-focused gameplay
Background_Driven,Story-Centric,Generate character with rich background and motivation,Background story drives all character choices,Character choices must align with background narrative,Creates story-rich characters with authentic backgrounds,Character creation emphasizing narrative and roleplay
Random_Name_Generation,Name Assignment,Generate appropriate names based on nationality and culture,Cultural database provides authentic name options,Names must be culturally appropriate and authentic,Ensures cultural authenticity in character naming,Automatic name generation for cultural authenticity
Random_Personality,Personality Assignment,Generate STAM personality ratings and traits,Personality affects STAM assessment and roleplay,Personality must be consistent with background and powers,Creates authentic personality profiles,Personality generation for complete character psychology
Random_Background,Background Generation,Generate origin story and personal history,Background explains powers and motivations,Background must explain character capabilities and limitations,Creates believable character backgrounds and motivations,Background generation for authentic character history
Power_Synergy_Validation,Compatibility Check,Ensure selected powers work well together,Power combinations checked for synergy and conflict,Powers must be compatible and enhance rather than conflict,Prevents nonsensical power combinations,Power combination validation for character coherence
Equipment_Compatibility,Equipment Validation,Ensure equipment matches character capabilities,Equipment checked against character access and training,Equipment must be appropriate for character skills and authority,Ensures realistic equipment access,Equipment assignment validation for character authenticity
Skill_Authenticity,Skill Validation,Ensure skills match character background and experience,Skills checked against career and education background,Skills must align with character education and experience,Creates authentic skill combinations,Skill assignment validation for character believability
Career_Integration,Career Assignment,Assign career path matching character concept,Career determined by background and capabilities,Career must support character concept and provide appropriate benefits,Ensures career supports character concept,Career assignment for character development integration
Education_Assignment,Education Level,Assign education level based on background and intelligence,Education level determined by intelligence and background story,Education must be realistic for character background and capabilities,Creates appropriate education levels for character intelligence,Education assignment for character authenticity
Location_Assignment,Geographic Origin,Assign nationality and home location based on powers and background,Location determined by power geographic distribution and background,Location must align with power distribution and cultural background,Ensures geographic authenticity for power distribution,Location assignment for cultural authenticity and power distribution
Relationship_Generation,Social Network,Generate appropriate contacts and relationships,Relationships based on background; career; and faction,Relationships must be realistic for character background and social position,Creates authentic social networks and character connections,Relationship generation for complete character social integration
Legal_Status_Assignment,Legal Background,Assign criminal record and legal standing,Legal status based on background choices and faction membership,Legal status must align with character background and faction requirements,Creates appropriate legal complications and authorities,Legal status assignment for realistic character legal standing
Financial_Status,Economic Background,Assign wealth level and resource access,Financial status based on career; background; and faction support,Financial resources must be realistic for character background and capabilities,Creates appropriate economic circumstances for character development,Financial assignment for realistic character economic status
Secret_Identity_Assignment,Identity Management,Determine if character maintains civilian identity,Secret identity based on background; threat level; and personal choice,Secret identity must be maintainable given character background and powers,Creates appropriate identity management challenges,Secret identity assignment for character authenticity and complexity
Motivation_Assignment,Character Psychology,Assign primary motivation and goals,Motivation based on background; personality; and experiences,Motivation must align with character background and drive character actions,Creates authentic character motivation and goals,Motivation assignment for character psychology and roleplay
Character_Validation_Checklist,Quality Assurance,Comprehensive character validation process,All character elements checked for consistency and authenticity,Complete character must be internally consistent and authentic,Ensures high-quality character generation,Final character validation before approval
Statistical_Balance_Check,Balance Validation,Character power level appropriate for intended role,Character capabilities checked against balance targets,Character must be balanced for intended power level and role,Maintains game balance across all generated characters,Balance validation for fair and competitive character generation
Cultural_Authenticity_Check,Cultural Validation,Character cultural elements authentic and respectful,Cultural aspects validated for accuracy and respect,Character must respectfully represent cultural background,Ensures cultural authenticity and respect in character representation,Cultural validation for authentic and respectful character generation
Narrative_Coherence_Check,Story Validation,Character background and abilities create coherent narrative,Character story checked for logical consistency,Character story must explain capabilities and motivations logically,Creates believable and engaging character narratives,Narrative validation for compelling character stories
