Rank Range,Strength Rank,Max lbs.,,,,,
1-2,2,50,,,,,
1-2,3,60,,,,,
3-5,4,80,,,,,
3-5,5,100,,,,,
3-5,4,115,,,,,
3-5,5,120,,,,,
6-9,6,140,128 lbs (58 kg) (Bruce Banner);,,,,
6-9,7,160,,,,,
6-9,8,180,,,,,
6-9,9,200,,,,,
10-19,10,220,,,,,
10-19,11,240,,,,,
10-19,12,250,,,,,
10-19,13,260,,,,,
10-19,14,300,,,,,
10-19,15,320,,,,,"1,150 lbs (Merged Hulk);"
10-19,16,340,,,,,"2,400 lbs (Green Scar)"
10-19,17,360,,,,,
10-19,18,380,,,,,
10-19,19,400,the Absolute most a 20 year old should be able to do,,,,
20-29,20,425,,,,,
20-29,21,450,,,,,
20-29,22,475,,,,,
20-29,23,550,,,,,
20-29,24,560,,,,,
20-29,25,580,,,,,
20-29,26,600,,,,,
20-29,27,650,,,,,
20-29,28,700,,,,,
20-29,29,800,,,,,
30-39,30,900,900 lbs (Gray Hulk);,,,,
30-39,31,1000,,,,,
30-39,32,1100,,,,,
30-39,34,1200,,,,,
30-39,35,1300,,,,,
30-39,36,1400,"1,040 - 1,400 lbs (Savage Hulk);",,,,
30-39,37,1500,,,,,
30-39,38,1800,,,,,
30-39,39,2200,,,,,
40-49,40,,,,,,
40-49,41,,,,,,
40-49,42,,,,,,
40-49,43,,,,,,
40-49,44,,,,,,
40-49,45,,,,,,
40-49,46,,,,,,
40-49,47,,,,,,
40-49,48,,,,,,
40-49,49,"22,400",,,,,
,50,,,,,,
,51,,,,,,
,52,,,,,,
,53,,,,,,
,54,,,,,,
,55,,,,,,
,56,,,,,,
,57,,,,,,
,58,,,,,,
,59,,,,,,
,60,,,,,,
,61,,,,,,
,62,,,,,,
,63,,,,,,
,64,,,,,,
,65,,,,,,
,66,,,,,,
,67,,,,,,
,68,,,,,,
,69,,,,,,
,70,,,,,,
,71,,,,,,
,72,,,,,,
,73,,,,,,
,74,,,,,,
,75,,,,,,
,76,,,,,,
,77,,,,,,
,78,,,,,,
,79,,,,,,
,80,,,,,,
