,"I, II, III = Minor, Major, Critical
This specifies if an effect will last turns or weeks.",,How it affects Gameplay,➕,➖,,Task Notes
,,,,,,,
,"Bleeding (I, II, III)",,Consistent damage that includes an increasing movement/action penalty.,,,,
,Animated,,Was dead. Just wants to eat the non tech based units.  (Tech Zombies?!),,,,
,"Diseased (I, II, III)",,Affects Primary Stats over time,,,,
,"Poisoned (I, II, III)",Health,Constantly reducing damage.,,,,
,"Radiation Sickness (I, II, III)",,,,,,
,"Sickness (I,II,III)",Health & Primary States,Severity based on,,,,
,Frightened,,Character flees uncontrollably,,,,
,,,,,,,
,Berserk,,Uncontrolled Attacks at Enemies or Allies (random),,,,
,Psychotic,,Selects a random enemy target and attacks it until it is dead,,,,
,,,,,,,
,,Stamina,,,,,
,Exhausted,Stamina,Less than 20% Stamina,,,,
,Tired,Stamina,Less than 50% Stamina,,,,
,,,,,,,
,Invisible,,,,,,
,,Immobile,,,,,
,Sleep,Lose control immobile,Only other characters can wake up Sleep characters or they must wait an amount of time.,Requires other units to wake them,,,
,Frozen,Lose control (immobile),"Unit is blind and unable to move unless:
Unit's strength exceeds Freeze rank. 
An attack of a higher rank hits",,,,
,,Immobile,,,,,
,Mind Controlled,,Enemy Controls Action.  Player controls Enemy Unit,,Attacker controls Target,,
,Prone,,Not standing,,Takes 1-3 seconds to stand,,
,Unconscious,,Knocked out,,,,
,Burning,,Increasing Damage,,,,
,Stunned,,Unable to take turn.  Standing but temporary unable to think or react properly.,,,,
,Blind,Flashbang,Unit is unable to target enemy,,,,
,,,,,,,
,Drug Influenced,,Temporary stat decrease.,Need match length,,,
,Drug Enhanced,,Temporary stat increase.,Need match length,,,
,,,,,,,
,Shrunk,,Harder to hit melee.,,,,
,Gigantic,,"Easier to hit, does more damage with melee.",,,,
