Activity_ID,Activity_Name,Activity_Type,Duration_Hours,Success_Requirements,Potential_Outcomes,Trigger_Events,Country_Benefits,Faction_Restrictions,Character_Requirements,Resource_Costs,Experience_Gained,Status_Effects_Applied,Equipment_Effects,Investigation_Opportunities
ACT_001,Personal Life,Lifestyle,8,None,Stress relief; Relationship building; Secret identity maintenance,Random personal events,Better lifestyle countries provide more benefits,None,Secret identity,Living expenses,Social skill experience,Stress reduction,None,Can discover civilian problems
ACT_002,Training,Physical,4,Relevant skill,Skill improvement; Physical conditioning; Combat readiness,Training accidents possible,Advanced training facilities improve results,Military factions get training bonuses,Physical capability,Training facility access,Combat skill experience,Temporary fatigue,Enhanced equipment proficiency,Can meet other trainees
ACT_003,Research,Academic,6,Research skill,Knowledge advancement; Technology development; Power understanding,Breakthrough discoveries possible,High education countries speed research,Science-focused factions get bonuses,Education level 2+,Library/lab access,Academic skill experience,Mental fatigue,Research equipment,Can discover academic conspiracies
ACT_004,Patrol,Security,8,None,Crime prevention; Reputation building; Intelligence gathering,Random crime encounters; Villain sightings,High crime cities provide more opportunities,Law enforcement cooperation varies,Combat capability recommended,None,Investigation experience,Minor injury risk,Equipment wear,Can discover ongoing crimes
ACT_005,Medical Treatment,Recovery,Variable,None,Healing; Status effect recovery; Medical examination,Medical discoveries; Hospital politics,Better healthcare systems heal faster,Medical professionals get treatment bonuses,Injured or ill,Medical insurance or payment,Medical knowledge,Recovery from negative effects,Medical equipment,Can discover medical conspiracies
ACT_006,Engineering Work,Technical,6,Engineering skill,Equipment creation; Facility improvement; Technology advancement,Equipment failures; Industrial accidents,Advanced manufacturing countries provide better results,Tech-focused factions get bonuses,Engineering expertise,Workshop access and materials,Technical skill experience,Temporary exhaustion,Created or modified equipment,Can discover industrial sabotage
ACT_007,Covert Operations,Mission,Variable,Stealth and combat skills,Intelligence gathering; Enemy disruption; Asset recruitment,Mission complications; Identity exposure,Countries with intelligence services provide support,All factions can use but risk political consequences,Combat and stealth capability,Mission-specific resources,Combat and stealth experience,Mission stress,Specialized equipment,Mission-generated investigations
ACT_008,Diplomatic Work,Political,6,Diplomacy skill,International cooperation; Political influence; Treaty negotiation,Diplomatic incidents; International crises,Countries with stable governments provide more opportunities,Diplomatic immunity varies by faction,Political authority or charisma,Diplomatic credentials,Diplomatic skill experience,Political pressure,Formal diplomatic equipment,Can discover political conspiracies
ACT_009,Military Service,Combat,8,Military skill,Combat training; Strategic knowledge; Military contacts,Military conflicts; War deployment,Countries at war provide more intensive training,Military cooperation varies by faction,Military clearance,Military pay,Military skill experience,Combat fatigue,Military equipment access,Can discover military corruption
ACT_010,Off the Grid,Survival,24,Survival skill,Hidden from enemies; Stress recovery; Independence,Random wilderness encounters; Discovery by enemies,Remote countries provide better hiding opportunities,All factions lose contact temporarily,Self-sufficiency,Survival equipment,Survival skill experience,Isolation stress,Basic survival gear,Can discover hidden threats
ACT_011,Corporate Work,Business,8,Business skill,Financial resources; Corporate contacts; Market influence,Corporate politics; Economic warfare,Strong economy countries provide better opportunities,Business relationships vary by faction ideology,Business credentials,Professional equipment,Business skill experience,Corporate pressure,Business equipment access,Can discover corporate conspiracies
ACT_012,Academic Teaching,Education,6,Teaching skill,Knowledge sharing; Student recruitment; Academic reputation,Academic politics; Student radicalization,Countries with good education systems provide more opportunities,Academic freedom varies by government type,Advanced education,Academic credentials,Teaching skill experience,Academic stress,Academic equipment,Can discover educational conspiracies
ACT_013,Religious Service,Spiritual,4,Religion skill,Spiritual guidance; Community support; Religious authority,Religious conflicts; Extremist recruitment,Religious freedom affects opportunities,Religious tolerance varies by faction,Religious authority,Religious materials,Religious skill experience,Spiritual fulfillment,Religious artifacts,Can discover religious conspiracies
