Object_ID,Object_Name,Object_Category,Weight_Pounds,Damage_Base,Damage_Type,Throw_Range_Modifier,Accuracy_Modifier,Area_Effect,Special_Properties,Destruction_Threshold,Availability_Rarity,Cost_To_Replace,Legal_Consequences
ENV_001,Trash Can,Street Furniture,25,8,BLUNT,1.0,-0CS,Single target,Makes noise when thrown,Typical (20),Common,$50,Minimal - public property
ENV_002,Mailbox,Street Furniture,35,12,BLUNT,0.9,-1CS,Single target,Contains mail (evidence destruction),Good (30),Common,$200,Moderate - federal property
ENV_003,Fire Hydrant,Street Furniture,150,25,BLUNT,0.7,-1CS,Single target,May cause water flooding,Excellent (40),Common,$2000,High - emergency service disruption
ENV_004,Bus Stop Sign,Street Furniture,45,15,BLUNT,0.8,-1CS,Single target,Sharp metal edges,Good (30),Common,$300,Moderate - public property
ENV_005,Bicycle,Personal Vehicle,30,10,BLUNT,1.0,-0CS,Single target,Belongs to civilian,Typical (20),Common,$500,Moderate - theft charges
ENV_006,Motorcycle,Personal Vehicle,400,35,BLUNT,0.4,-2CS,Single target,Fuel tank explosion risk,Excellent (40),Uncommon,$8000,High - theft + destruction charges
ENV_007,Compact Car,Vehicle,2800,55,BLUNT,0.2,-3CS,Area 2x2,Fuel explosion possible,Remarkable (50),Common,$25000,Very High - grand theft auto + destruction
ENV_008,SUV,Vehicle,5500,75,BLUNT,0.1,-4CS,Area 3x3,High mass impact,Remarkable (50),Common,$45000,Very High - expensive vehicle destruction
ENV_009,City Bus,Large Vehicle,25000,120,BLUNT,STR 60+ required,-5CS,Area 4x4,Massive area damage,Incredible (60),Rare,$300000,Extreme - public transportation + mass casualties risk
ENV_010,Semi Truck,Large Vehicle,35000,150,BLUNT,STR 70+ required,-5CS,Area 5x5,Cargo may be hazardous,Incredible (60),Rare,$150000,Extreme - commercial vehicle + cargo destruction
ENV_011,Construction Equipment,Industrial,15000,100,BLUNT,STR 50+ required,-4CS,Area 3x3,Heavy machinery,Incredible (60),Industrial areas only,$200000,Extreme - industrial equipment + work site disruption
ENV_012,Shipping Container,Industrial,8000,90,BLUNT,STR 45+ required,-3CS,Area 4x2,Unknown cargo contents,Incredible (60),Port/Industrial only,$5000,High - cargo destruction + shipping disruption
