Equipment_ID,Equipment_Name,Equipment_Category,Equipment_Subcategory,Search_Tags,Description,Combat_Stats,Investigation_Bonus,Cost_Level,Availability,Requirements,Special_Properties,Maintenance_Requirements
EQ_001,Katana,Weapon,Melee,"katana,sword,blade,japanese,melee,slashing","Traditional Japanese sword requiring specialized training","Damage: 15; Range: 2; Speed: 1.5 sec; Type: Slashing","+2CS cultural investigation in Asia",High,Specialized,"Katana skill required","Critical hits cause bleeding; Cultural significance","Regular sharpening; Proper storage"
EQ_002,Combat Rifle,Weapon,Ranged,"rifle,gun,firearm,military,ranged,automatic","Military-grade assault rifle for sustained combat","Damage: 35; Range: 70; Speed: 2 sec; Type: Gunfire","+1CS military investigation",High,Military,"Shooting skill required","Low chance to ignore armor; Full-auto capable","Regular cleaning; Ammunition tracking"
EQ_003,Sniper Rifle,Weapon,Ranged,"sniper,rifle,precision,long,range,accuracy","High-precision long-range rifle for elimination","Damage: 40; Range: 100; Speed: 3 sec; Type: Gunfire","+3CS long-range surveillance",Very High,Military,"Shooting + Sniper skill","Can target specific body parts; Armor piercing","Precision maintenance; Scope calibration"
EQ_004,Flamethrower,Weapon,Special,"flame,fire,burn,area,thermal,incendiary","Incendiary weapon creating area fire effects","Damage: Variable fire; Range: 5; Area: Large cone","+2CS arson investigation",Very High,Military,"Flamethrower skill + STR>20","Area fire damage; Burns flammable materials","Fuel system maintenance; Fire safety protocols"
EQ_005,Energy Rifle,Weapon,Energy,"energy,laser,plasma,sci-fi,futuristic,beam","Advanced energy weapon with beam projection","Damage: Variable energy; Range: 50; Speed: 2 sec","+2CS technology investigation",Ultra High,High-Tech,"Energy Weapons skill","No ballistic drop; Penetrates some armor","Power cell management; Technology maintenance"
EQ_006,Tactical Vest,Armor,Light,"tactical,vest,protection,light,mobile,flexible","Lightweight tactical protection for mobile operations","DR: 12; AP: 55; Weight: Medium","None",Medium,Military,None,"Utility pouches; Radio mounting","Basic cleaning; Strap adjustment"
EQ_007,Combat Armor,Armor,Heavy,"combat,armor,military,heavy,protection,full","Full military combat protection system","DR: 18; AP: 85; Weight: Heavy","+1CS military investigation",High,Military,"STR>20 recommended","Full body coverage; Integrated systems","Regular inspection; Component replacement"
EQ_008,Power Armor,Armor,Powered,"power,armor,exoskeleton,servo,advanced,tech","Powered exoskeleton with servo assistance","DR: 25; AP: 120; STR bonus: +10","+2CS technology investigation",Very High,Advanced Military,"Engineering skill required","Servo strength assistance; Life support","Complex maintenance; Power system management"
EQ_009,Force Field Belt,Armor,Energy,"force,field,energy,shield,sci-fi,deflection","Personal energy shield generator worn as belt","DR: 20 vs energy; AP: 60; Weight: Light","+1CS energy investigation",High,High Tech,"Science skill required","Energy attack immunity; Visible shield","Energy cell replacement; Field generator calibration"
EQ_010,Hardlight Armor,Armor,Exotic,"hardlight,solid,light,adaptive,futuristic,alien","Solid light constructs forming adaptive armor","DR: 30; AP: 90; Weight: Light; Adaptive","+3CS technology investigation",Ultra High,Alien Tech,"Physics Mastery required","Self-repairing; Adaptive to threats","Quantum processor maintenance; Reality calibration"
EQ_011,Laptop Computer,Technology,Communication,"laptop,computer,digital,communication,data,portable","Portable computer for communication and data analysis","No combat bonus","+3CS digital investigation",Medium,Common,"Computer skill recommended","Internet access; Data processing; Communication","Software updates; Hardware maintenance"
EQ_012,Smartphone,Technology,Communication,"phone,mobile,communication,contact,digital,portable","Mobile communication device with multiple functions","No combat bonus","+2CS communication investigation",Low,Common,None,"Contact database; GPS; Internet access","Battery management; Data backup"
EQ_013,Professional Camera,Technology,Surveillance,"camera,photography,surveillance,evidence,documentation","High-quality camera for documentation and surveillance","No combat bonus","+3CS surveillance investigation",Medium,Common,"Photography skill recommended","High-resolution imaging; Evidence documentation","Lens maintenance; Memory management"
EQ_014,Forensic Kit,Technology,Analysis,"forensic,analysis,evidence,scientific,investigation,lab","Scientific equipment for crime scene analysis","No combat bonus","+4CS forensic investigation",High,Law Enforcement,"Forensics skill required","DNA analysis; Fingerprint processing; Chemical testing","Equipment calibration; Supply replenishment"
EQ_015,Medical Kit,Technology,Medical,"medical,first,aid,health,treatment,healing","Advanced medical supplies for field treatment","No combat bonus","+2CS medical investigation",Medium,Medical,"First Aid skill recommended","Emergency treatment; Stabilization; Pain relief","Supply replenishment; Equipment sterilization"
EQ_016,Grappling Hook,Technology,Mobility,"grappling,hook,climbing,mobility,vertical,access","Device for vertical movement and access","No direct combat bonus","+2CS access investigation",Medium,Common,"Athletic ability recommended","Vertical access; Rope traversal; Emergency escape","Cable inspection; Mechanism maintenance"
EQ_017,Night Vision Goggles,Technology,Surveillance,"night,vision,dark,surveillance,detection,infrared","Electronic enhancement for low-light operation","No combat bonus","+3CS night investigation",High,Military,"None","Infrared vision; Low-light amplification","Battery management; Lens cleaning"
EQ_018,Cybernetic Implant,Technology,Enhancement,"cybernetic,implant,enhancement,artificial,tech,body","Technological body modification enhancing capabilities","Varies by implant type","+2CS technology investigation",Very High,Ultra-Tech,"Cybernetic compatibility","Enhanced capabilities; Tech integration","Medical monitoring; Technical maintenance"
EQ_019,Vibranium Shield,Exotic,Defense,"vibranium,shield,defensive,alien,metal,indestructible","Alien metal shield with energy absorption properties","DR: Special; Throwing weapon; Energy absorption","+1CS alien investigation",Ultra High,Alien Tech,"Shield Combat skill","Energy absorption; Nearly indestructible; Throwable weapon","Minimal maintenance; Reality-stable material"
EQ_020,Utility Belt,Technology,Storage,"utility,belt,storage,tools,gadgets,equipment","Multi-tool storage system for various equipment","Equipment access bonus","+2CS equipment investigation",High,High Tech,"None","Multiple tool storage; Quick access; Organization","Inventory management; Tool maintenance"
Equipment_Category_Weapons,Category,Combat-focused equipment for dealing damage,Primary combat tools for offense,Swords; guns; energy weapons; explosives; throwing weapons,Weapon category equipment focuses on damage dealing and combat effectiveness,Combat application through direct damage and tactical offense,Investigation application through threat capability and evidence analysis,Weapon category may face legal restrictions and require training
Equipment_Category_Armor,Category,Protective equipment reducing damage taken,Primary defensive tools for survival,Body armor; shields; protective gear; defensive systems,Armor category equipment focuses on damage reduction and survival,Combat application through damage mitigation and protection,Investigation application through protection in dangerous environments,Armor category may restrict mobility and require maintenance
Equipment_Category_Technology,Category,Advanced equipment providing capabilities,High-tech tools enhancing character abilities,Computers; communication devices; analysis equipment; surveillance tools,Technology category equipment focuses on capability enhancement and information,Combat application through technological advantages and analysis,Investigation application through information gathering and analysis enhancement,Technology category may require technical skill and be vulnerable to EMP
Equipment_Category_Medical,Category,Medical equipment for healing and treatment,Health and medical support tools,First aid kits; medical devices; surgical equipment; pharmaceutical supplies,Medical category equipment focuses on health restoration and medical support,Combat application through battlefield medicine and healing,Investigation application through medical analysis and health assessment,Medical category may require medical training and have supply limitations
Equipment_Category_Mobility,Category,Transportation and movement equipment,Tools for enhanced movement and travel,Vehicles; climbing gear; flight equipment; transportation devices,Mobility category equipment focuses on transportation and movement enhancement,Combat application through tactical positioning and battlefield mobility,Investigation application through access to difficult locations and rapid response,Mobility category may require piloting skills and fuel/maintenance
Equipment_Category_Surveillance,Category,Detection and observation equipment,Tools for information gathering and monitoring,Cameras; sensors; detection devices; monitoring equipment,Surveillance category equipment focuses on information gathering and detection,Combat application through intelligence and enemy detection,Investigation application through surveillance and evidence gathering,Surveillance category may require technical skill and be vulnerable to detection
Equipment_Category_Communication,Category,Information sharing and coordination equipment,Tools for team coordination and information exchange,Radios; phones; computers; communication networks,Communication category equipment focuses on information sharing and team coordination,Combat application through team coordination and tactical communication,Investigation application through information sharing and contact management,Communication category may be vulnerable to interception and require network access
Equipment_Subcategory_Melee,Subcategory,Close-quarters combat weapons,Hand-to-hand fighting tools,Swords; clubs; martial arts weapons; close combat tools,Melee subcategory weapons focus on close-quarters combat effectiveness,Combat application through close-range damage dealing,Investigation application through close-quarters threat capability,Melee weapons may require close approach and skill training
Equipment_Subcategory_Ranged,Subcategory,Distance combat weapons,Long-range fighting tools,Guns; bows; thrown weapons; projectile systems,Ranged subcategory weapons focus on distance combat effectiveness,Combat application through long-range damage dealing,Investigation application through ranged threat capability and ballistics,Ranged weapons may require ammunition and accuracy training
Equipment_Subcategory_Energy,Subcategory,Energy-based combat weapons,Advanced energy projection tools,Laser weapons; plasma guns; energy projectors; beam systems,Energy subcategory weapons focus on advanced energy-based combat,Combat application through energy damage and penetration,Investigation application through energy analysis and advanced technology,Energy weapons may require power management and technical maintenance
Equipment_Subcategory_Explosive,Subcategory,Area-effect destructive weapons,High-damage area denial tools,Grenades; rockets; explosives; demolition charges,Explosive subcategory weapons focus on area damage and destruction,Combat application through area denial and massive damage,Investigation application through demolition and barrier removal,Explosive weapons may cause collateral damage and face heavy legal restrictions
Equipment_Rarity_Common,Rarity,Easily available equipment in most locations,Standard civilian and basic military equipment,Basic clothing; simple weapons; standard armor; common tools,Common equipment readily available with standard costs,Standard combat effectiveness and capabilities,Basic investigation capabilities and tool access,Common equipment may lack uniqueness or advanced capabilities
Equipment_Rarity_Military,Rarity,Military-grade equipment requiring authorization,Advanced military and law enforcement equipment,Military weapons; tactical armor; specialized vehicles; military technology,Military equipment provides enhanced combat capabilities,Enhanced investigation capabilities through military-grade tools,Military equipment may require authorization and face legal restrictions
Equipment_Rarity_High_Tech,Rarity,Advanced technology requiring special access,Cutting-edge technological equipment,Energy weapons; advanced computers; high-tech armor; experimental technology,High-tech equipment provides superior capabilities and advanced features,Advanced investigation capabilities through cutting-edge technology,High-tech equipment may be expensive and require technical expertise
Equipment_Rarity_Ultra_Rare,Rarity,Experimental or alien technology,Prototype and extraterrestrial equipment,Alien artifacts; prototype weapons; experimental armor; reality-affecting technology,Ultra-rare equipment provides unique and powerful capabilities,Unique investigation capabilities through advanced or alien technology,Ultra-rare equipment may be unstable and require special knowledge
Search_Tag_Combat,Tag Category,Equipment primarily useful in combat,Combat-focused equipment tags,weapon; armor; damage; protection; offensive; defensive,Combat tags help identify equipment most useful in tactical situations,Primary combat application with tactical advantages,Limited investigation application in combat scenarios,Combat equipment may face legal restrictions in civilian areas
Search_Tag_Investigation,Tag Category,Equipment primarily useful for investigation,Investigation-focused equipment tags,detection; analysis; surveillance; forensic; evidence; stealth,Investigation tags help identify equipment most useful for case-solving,Limited combat application except for information warfare,Primary investigation application with information advantages,Investigation equipment may be less useful in direct combat
Search_Tag_Technology,Tag Category,High-tech and advanced equipment,Technology-focused equipment tags,tech; digital; electronic; computer; advanced; sci-fi,Technology tags help identify advanced and electronic equipment,Combat application through technological advantages,Investigation application through advanced analysis and digital tools,Technology equipment may require technical skills and be vulnerable to EMP
Search_Tag_Medical,Tag Category,Medical and health-related equipment,Medical-focused equipment tags,medical; health; healing; treatment; pharmaceutical; surgical,Medical tags help identify health and treatment equipment,Combat application through battlefield medicine,Investigation application through medical analysis,Medical equipment may require medical training and face regulatory restrictions
Search_Tag_Mobility,Tag Category,Transportation and movement equipment,Mobility-focused equipment tags,vehicle; transport; climbing; flight; movement; travel,Mobility tags help identify transportation and movement equipment,Combat application through tactical positioning,Investigation application through access and rapid response,Mobility equipment may require piloting skills and fuel
