Faction_A,Faction_B,Relationship_Status,Relationship_Level,Historical_Basis,Current_Tensions,Cooperation_Areas,Conflict_Points,Player_Benefits,Player_Penalties,Dynamic_Events_Possible
US_FIST,India_Establishment24,Cautious_Alliance,+2,Democratic cooperation; shared alien threat response,US unilateral actions vs India diplomatic approach,Intelligence sharing; Technology research; Democratic values,Military intervention philosophy; Resource competition,+2CS investigation cooperation; Equipment sharing; Diplomatic immunity in allied territories,-1CS operations in India without consultation; Political backlash for aggressive actions,Joint operations; Technology sharing; Diplomatic incidents
US_FIST,China_Collective,Cold_War_Rivals,-3,Historical tensions; ideological differences; LSW arms race,Competing global influence; Technology espionage; Military buildup,Climate change; Space exploration; Alien threat preparation,Human rights; Democracy vs authoritarianism; Territory disputes,None - hostile relations,Investigation blocked in Chinese territory; -3CS all operations in China; Economic sanctions affect equipment costs,Espionage missions; Technology theft; Border incidents; Trade wars
US_FIST,Nigeria_Adaptive,Emerging_Partnership,+1,Growing cooperation; Shared democratic values; Continental development,Limited resources; Different priorities; Neocolonial concerns,Educational exchange; Medical research; Democratic institution building,Resource extraction rights; Cultural sensitivity; Historical exploitation,+1CS Africa operations; Cultural exchange bonuses; Educational cooperation,-2CS operations without cultural sensitivity; Historical exploitation backlash,African development projects; Cultural exchange; Resource negotiations
India_Establishment24,China_Collective,Border_Tensions,-2,Historical border conflicts; Territorial disputes; Regional competition,Ladakh border; Water rights; Regional influence,Trade relations; Buddhist cultural connections; Regional stability,Territory disputes; Water resources; Regional dominance,+1CS operations in disputed territories (from Indian perspective),Investigation complications in border regions; Economic restrictions,Border conflicts; Water disputes; Regional influence competitions
India_Establishment24,Nigeria_Adaptive,South_South_Cooperation,+3,Colonial history; Non-aligned movement; Cultural diversity,Economic development focus; Resource sharing; Continental cooperation,Educational exchange; Medical cooperation; Cultural preservation,Resource competition; Development priorities; Continental focus vs regional,+3CS Africa operations; Cultural authenticity bonuses; Educational cooperation,None - strong positive relations,Cultural festivals; Educational programs; Medical missions
China_Collective,Nigeria_Adaptive,Economic_Partnership,+1,Belt and Road Initiative; Infrastructure development; Resource extraction,Infrastructure debt; Resource extraction terms; Cultural sensitivity,Infrastructure development; Resource extraction; Technology transfer,Debt dependency; Environmental concerns; Cultural imperialism,+2CS infrastructure projects; Technology access; Economic cooperation,-1CS operations without economic cooperation,Infrastructure mega-projects; Resource deals; Cultural tensions
Faction_Internal_US_Military,Internal_US_Politics,Congressional_Oversight,-1,Constitutional civilian oversight; Democratic accountability,Military autonomy vs oversight; Budget allocation; Mission authorization,National defense; International cooperation; Technology development,Classified operations; Budget transparency; Civilian casualties,Federal authority and resources,Congressional hearings; Budget restrictions; Mission authorization delays,Political hearings; Budget battles; Authorization conflicts
Faction_Internal_India_Religious,Internal_India_Politics,Religious_Diversity_Management,+0,Constitutional secularism; Religious diversity; Cultural preservation,Hindu nationalism vs secularism; Religious minorities; Cultural sensitivity,Cultural preservation; Religious freedom; Diversity celebration,Religious extremism; Minority rights; Communal tensions,Cultural investigation bonuses; Religious cooperation,Religious conflict complications; Minority protection requirements,Religious festivals; Communal harmony; Extremist threats
Faction_Internal_China_Party,Internal_China_Politics,Party_State_Control,+2,Communist Party leadership; State coordination; Collective decision-making,Individual autonomy vs collective good; International criticism; Economic reforms,State resources; Coordinated strategy; Long-term planning,International criticism; Individual rights; Democratic pressure,State resource access; Coordinated operations,International isolation; Rights criticism,Party decisions; State campaigns; International pressure
Faction_Internal_Nigeria_Tribal,Internal_Nigeria_Politics,Tribal_Federal_Balance,+0,Federal democracy; Tribal traditions; Cultural diversity,Federal authority vs tribal autonomy; Resource distribution; Cultural preservation,Cultural preservation; Federal development; Democratic institutions,Resource conflicts; Cultural tensions; Federal vs tribal authority,Tribal network access; Cultural authenticity,Federal-tribal conflicts; Cultural sensitivity requirements,Tribal councils; Federal elections; Cultural preservation
