Altitude_Level,Level_Name,Height_Range,Movement_Cost,Action_Point_Cost,Visibility_To_Ground,Visibility_From_Ground,Ground_Interaction,Weapon_Effectiveness,Environmental_Effects,Cover_Available,Tactical_Advantages,Tactical_Disadvantages
0,Ground Level,0 feet,Standard movement,1 AP per square,Perfect visibility,Perfect visibility,Full interaction,Standard effectiveness,Normal weather effects,Buildings; Terrain; Vehicles,Cover from buildings; Melee combat possible,Vulnerable to all attacks; Limited mobility
1,Low Altitude,10-30 feet,+1 movement cost,1 AP per square,Good visibility,Good visibility,Limited interaction,Standard effectiveness,Wind affects accuracy -1CS,Tall buildings; Trees; Poles,Elevated position +1CS; Avoid ground obstacles,Vulnerable to ground and air attacks; Some cover lost
2,Medium-Low Altitude,31-60 feet,+1 movement cost,1 AP per square,Good visibility,Moderate visibility,No interaction,Ranged weapons only,Wind affects accuracy -1CS,Tall buildings; Large structures,Height advantage +1CS; Avoid most ground obstacles,No ground interaction; Limited cover
3,Medium Altitude,61-150 feet,+2 movement cost,2 AP per square,Moderate visibility,Difficult visibility,No interaction,Ranged weapons -1CS,Wind affects movement -1CS,Skyscrapers; Mountains; Large structures,Height advantage +2CS; Difficult to target from ground,Long-range vulnerability; Weather effects
4,High Altitude,151-500 feet,+2 movement cost,2 AP per square,Poor visibility,Very difficult visibility,No interaction,Ranged weapons -2CS,Wind affects all actions -1CS,Mountains; Skyscrapers,Height advantage +2CS; Very difficult to target,Weather severely affects actions; No ground cover
5,Very High Altitude,501-1500 feet,+3 movement cost,3 AP per square,Very poor visibility,Nearly impossible visibility,No interaction,Ranged weapons -3CS,Weather affects all actions -2CS,Mountains; Aircraft,Height advantage +3CS; Nearly untouchable by ground,Severe weather penalties; Aircraft encounters
6,Extreme Altitude,1500+ feet,+3 movement cost,3 AP per square,Extremely poor visibility,Impossible visibility,No interaction,Ranged weapons -4CS,Weather affects all actions -3CS,Aircraft; Weather phenomena,Strategic movement; Immunity to most ground attacks,Severe environmental hazards; Limited combat effectiveness
Takeoff,Action,Ground to Level 1,Standard movement,2 AP,N/A,N/A,Last turn of ground interaction,N/A,N/A,N/A,Quick vertical escape,Vulnerable during takeoff turn
Landing,Action,Any level to Ground,Standard movement,2 AP,N/A,N/A,Next turn ground interaction,N/A,Potential crash landing if damaged,N/A,Quick descent,Vulnerable during landing turn
Climb,Action,+1 Level,Half movement,1 AP,N/A,N/A,N/A,N/A,N/A,N/A,Gain altitude advantage,Reduced horizontal movement
Dive,Action,-1 Level,+50% movement,1 AP,N/A,N/A,N/A,+1CS attack accuracy,N/A,N/A,Diving attack bonus; Extra movement,Potential crash if too low
Hover,Action,Maintain Level,No movement,1 AP,N/A,N/A,N/A,+1CS accuracy,N/A,N/A,Stable attack platform,Sitting duck; Easy target
Emergency Descent,Action,-2 Levels,No movement,1 AP,N/A,N/A,N/A,N/A,Take falling damage if failed,N/A,Rapid escape from danger,Risk of crash damage
Strafing Run,Action,Maintain Level,Full movement,3 AP,N/A,N/A,N/A,Attack during movement,N/A,N/A,Attack while moving,High AP cost; Lower accuracy
Aerial Intercept,Action,Match target level,Full movement,2 AP,N/A,N/A,N/A,Normal combat,N/A,N/A,Engage other fliers,Must match target altitude
Formation Flying,Action,Match leader level,Leader movement,1 AP,N/A,N/A,N/A,Team coordination bonus,N/A,N/A,Team tactics; Shared movement,Vulnerable to area attacks
Aerial Grapple,Action,Same level,No movement,2 AP,N/A,N/A,N/A,Grappling rules apply,Both may fall if failed,N/A,Control enemy flier,High risk if grapple fails
Weather_Clear,Environmental,All levels,No modifier,No modifier,No modifier,No modifier,No modifier,No modifier,No additional effects,Normal,Clear skies,None
Weather_Light_Wind,Environmental,All levels,No modifier,No modifier,No modifier,No modifier,No modifier,-1CS accuracy above Level 2,Light turbulence,Normal,Fresh air,Reduced accuracy at high altitude
Weather_Strong_Wind,Environmental,All levels,+1 movement cost,No modifier,No modifier,No modifier,No modifier,-2CS accuracy above Level 1,Difficult maneuvering,Reduced,Challenging conditions,Significant flight difficulty
Weather_Storm,Environmental,All levels,+2 movement cost,+1 AP cost,Visibility reduced,Visibility reduced,No modifier,-3CS all actions,Lightning hazard,None,Natural cover from lightning,Extreme danger; Electrical hazard
Weather_Fog,Environmental,Levels 0-3,No modifier,No modifier,Visibility severely reduced,Visibility severely reduced,No modifier,-2CS sight-based,Natural concealment,Enhanced,Hidden movement,Collision hazard
Weather_Rain,Environmental,All levels,+1 movement cost,No modifier,Visibility reduced,Visibility reduced,No modifier,-1CS accuracy,Slippery conditions,Reduced,Clean air,Reduced traction
Weather_Snow,Environmental,All levels,+1 movement cost,No modifier,Visibility reduced,Visibility reduced,No modifier,-2CS accuracy,Freezing conditions,Reduced,Winter camouflage,Cold exposure risk
Terrain_Urban,Environmental,Levels 0-4,No modifier,No modifier,Buildings block sight,Buildings block sight,Building collision risk,Building cover available,Urban thermals affect flight,Abundant,Hiding opportunities,Collision hazards
Terrain_Mountain,Environmental,All levels,+1 movement cost,No modifier,Mountain peaks block,Mountain peaks block,Terrain collision risk,Rock cover available,Wind shear from peaks,Limited,High-altitude advantage,Altitude hazards
Terrain_Forest,Environmental,Levels 0-2,+1 movement cost,No modifier,Trees block sight,Trees block sight,Tree collision risk,Tree cover available,Natural thermals,Good,Natural concealment,Low-altitude obstacles
Terrain_Desert,Environmental,All levels,No modifier,No modifier,Heat shimmer,Heat shimmer,No modifier,-1CS accuracy in heat,Thermal drafts assist flight,None,Clear flying,Extreme temperatures
Terrain_Ocean,Environmental,All levels,No modifier,No modifier,Perfect visibility,Perfect visibility,Water landing possible,No ground cover,Salt spray affects equipment,None,Unlimited visibility,No emergency landing sites
Terrain_Arctic,Environmental,All levels,+1 movement cost,No modifier,White-out conditions,White-out conditions,Ice collision risk,Snow cover,Extreme cold affects equipment,Limited,Camouflage in snow,Hypothermia risk
Air_Traffic_Clear,Air Traffic,All levels,No modifier,No modifier,No modifier,No modifier,No modifier,No modifier,No air vehicles,Normal,Free airspace,None
Air_Traffic_Light,Air Traffic,Levels 3-6,+1 movement cost,No modifier,No modifier,No modifier,No modifier,No modifier,Occasional aircraft,Reduced,Need to avoid civilian aircraft,Navigation complexity
Air_Traffic_Heavy,Air Traffic,Levels 4-6,+2 movement cost,+1 AP cost,No modifier,No modifier,No modifier,-1CS due to evasion,Frequent aircraft,None,Civilian aircraft as cover,Collision avoidance required
Military_Airspace,Air Traffic,Levels 4-6,+3 movement cost,+2 AP cost,Radar detection,Ground radar tracking,No modifier,-2CS due to evasion,Military response possible,None,Electronic warfare opportunities,Military interception risk
Flier_Unarmored,Flier Type,All levels,Standard,Standard,Vulnerable to all attacks,Standard,Standard,Standard effectiveness,Environmental exposure,None,Full maneuverability,Vulnerable to everything
Flier_Light_Armor,Flier Type,All levels,+1 movement cost,Standard,Protected from small arms,Standard,Standard,Standard effectiveness,Some environmental protection,None,Good protection/mobility balance,Still vulnerable to heavy weapons
Flier_Heavy_Armor,Flier Type,All levels,+2 movement cost,+1 AP cost,Protected from most attacks,Standard,Standard,-1CS due to bulk,Environmental protection,None,Maximum protection,Reduced maneuverability
Flier_Energy_Shield,Flier Type,All levels,Standard,+1 AP cost,Energy attack protection,Standard,Standard,Energy weapon immunity,Shield visible to enemies,None,Energy attack immunity,Physical vulnerability
Vehicle_Helicopter,Vehicle Type,Levels 0-4,+1 movement cost,Standard,Mechanical noise,Easy to hear,Landing capability,Standard effectiveness,Mechanical failure risk,None,Stable platform; Landing capability,Mechanical vulnerability
Vehicle_Jet,Vehicle Type,Levels 4-6,+3 movement cost,Standard,High-speed movement,Vapor trails,No landing capability,+1CS due to speed,Fuel consumption,None,High-speed movement,Cannot hover; Fuel limited
Vehicle_Antigrav,Vehicle Type,All levels,+1 movement cost,Standard,Silent operation,Silent,Universal landing,Standard effectiveness,EMP vulnerability,None,Silent; Versatile,EMP vulnerability
Power_Natural_Flight,Power Type,All levels,Standard,Standard,No mechanical noise,Quiet,Standard,Standard effectiveness,Stamina drain over time,None,Unlimited flight time,Physical exhaustion possible
Power_Technological_Flight,Power Type,All levels,+1 movement cost,Standard,Mechanical assistance,Equipment visible,Equipment dependent,Standard effectiveness,Equipment failure risk,None,Enhanced capabilities,Equipment dependency
Power_Magical_Flight,Power Type,All levels,Standard,+1 AP cost,Mystical effects,Magical aura visible,Concentration required,Standard effectiveness,Dispel vulnerability,None,No fuel requirements,Magic disruption vulnerability
Power_Telekinetic_Flight,Power Type,All levels,Standard,+1 AP cost,Mental concentration,Mental strain visible,Concentration required,Standard effectiveness,Mental fatigue,None,Precise control,Concentration required
Combat_Melee_Aerial,Combat Type,Same level,Standard,2 AP,Requires same altitude,Visible aerial combat,Grappling possible,Standard melee rules,Both may fall if grapple broken,None,Full melee combat,Risk of falling
Combat_Ranged_Aerial,Combat Type,Any level,Standard,Standard,Height affects accuracy,Trajectory visible,No grappling,Height modifiers apply,Wind affects projectiles,None,Height advantage bonuses,Environmental penalties
Combat_Dive_Attack,Combat Type,Higher to lower,+50% movement,3 AP,Diving attack visible,Spectacular attack,Impact on landing,+2CS damage and accuracy,Crash risk if target dodges,None,High damage potential,High risk if missed
Combat_Aerial_Bombardment,Combat Type,Higher level,Standard,3 AP,Dropping attacks,Visible from ground,Gravity assists,+1CS area attacks,Civilian casualty risk,None,Area denial capability,Collateral damage risk
