Section,Element,Value,Description,Formula_Or_Rule

---GRID FUNDAMENTALS---,,,,
Grid_Type,Square Grid,1 square = 2 meters,Standard tactical grid - easier for ranged calculations than hex,
Grid_Size,Variable,20x20 to 100x100,Map size depends on encounter type,Street fight=20x20; City block=50x50; District=100x100
Coordinate_System,X/Y with Z for altitude,X=column Y=row Z=altitude,Example: (15 7 0) = column 15 row 7 ground level,
Diagonal_Movement,1.5x cost,Moving diagonally costs 1.5 movement,Round down; every 2 diagonals = 3 squares cost,

---ALTITUDE/Z-AXIS---,,,,
Ground_Level,Z=0,Street level,Default combat plane,
Floor_Levels,Z=1 per floor,Each building floor = +1 Z,3-story building = Z=0 1 2 3 (ground + 3 floors),
Flight_Altitudes,Z=1 to Z=10+,Low flight Z=1-2; High flight Z=5+; Orbital Z=10+,Powers determine max altitude,
Altitude_Combat,Range modifier,Vertical distance adds to range calculation,Range = sqrt(horizontal^2 + (vertical*2)^2),

---MOVEMENT SYSTEM---,,,,
Base_Movement,AGL/5 squares,Movement per turn based on Agility,AGL 30 = 6 squares per turn,AGL / 5 (round down minimum 2)
Sprint_Action,2x movement,Double movement but no attack this turn,Costs full turn action,
Crawl_Movement,Half movement,Moving while prone = half speed,Stealth bonus while crawling,
Climb_Movement,3 squares vertical = 1 turn,Climbing buildings without flight,Requires free hands,
Swim_Movement,Half movement,Water movement without water powers,May require STA checks,
Flight_Movement,AGL/3 squares + Power bonus,Faster than ground movement,Flight Low +5; Flight High +15,

---MOVEMENT COSTS BY TERRAIN---,,,,
Clear,1 square = 1 movement,Open ground roads sidewalks,No penalty,
Rough,1 square = 2 movement,Rubble debris broken ground,Half speed,
Difficult,1 square = 3 movement,Deep water mud heavy vegetation,Third speed,
Impassable,Cannot enter,Solid walls intact buildings,Requires destruction or phasing,
Stairs,1 square = 2 movement vertical,Moving between Z levels inside,Each floor costs 2 movement,
Ladder,1 square = 3 movement vertical,External climbing points,Each Z level costs 3 movement,

---RANGE SYSTEM---,,,,
