Roll,Shift_0,Feeble,Poor,Typical,Good,Excellent,Remarkable,Incredible,Amazing,Monstrous,Unearthly,Shift_X,Shift_Y,Shift_Z,Class_1000
Value_Range,0,1-2,3-5,6-10,11-20,21-30,31-40,41-50,51-75,76-100,101-150,151-250,251-500,501-1000,1001+

---PROPER FASERIP-STYLE DISTRIBUTION---,,,,,,,,,,,,,,,
Note: Major Success should be RARE even at high ranks. This creates tactical depth.,,,,,,,,,,,,,,,

01,Failed,Failed,Failed,Failed,Failed,Minor,Minor,Minor,Minor,Success,Success,Success,Success,Major,Major
02,Failed,Failed,Failed,Failed,Failed,Minor,Minor,Minor,Minor,Success,Success,Success,Success,Major,Major
03,Failed,Failed,Failed,Failed,Minor,Minor,Minor,Minor,Success,Success,Success,Success,Major,Major,Major
04,Failed,Failed,Failed,Failed,Minor,Minor,Minor,Minor,Success,Success,Success,Success,Major,Major,Major
05,Failed,Failed,Failed,Failed,Minor,Minor,Minor,Minor,Success,Success,Success,Success,Major,Major,Major
06,Failed,Failed,Failed,Minor,Minor,Minor,Minor,Success,Success,Success,Success,Success,Major,Major,Major
07,Failed,Failed,Failed,Minor,Minor,Minor,Minor,Success,Success,Success,Success,Success,Major,Major,Major
08,Failed,Failed,Failed,Minor,Minor,Minor,Minor,Success,Success,Success,Success,Success,Major,Major,Major
09,Failed,Failed,Failed,Minor,Minor,Minor,Minor,Success,Success,Success,Success,Success,Major,Major,Major
10,Failed,Failed,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major
11,Failed,Failed,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major
12,Failed,Failed,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major
13,Failed,Failed,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major
14,Failed,Failed,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major
15,Failed,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major
16,Failed,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major
17,Failed,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major
18,Failed,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major
19,Failed,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major
20,Failed,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major
21,Failed,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major
22,Failed,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major
23,Failed,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major
24,Failed,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major
25,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major
26,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major
27,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major
28,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major
29,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major
30,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major
31,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major
32,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major
33,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major
34,Failed,Minor,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major
35,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major
36,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major
37,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major
38,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major
39,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major
40,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
41,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
42,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
43,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
44,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
45,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
46,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
47,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
48,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
49,Failed,Minor,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
50,Failed,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
51,Failed,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
52,Failed,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
53,Failed,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
54,Failed,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
55,Failed,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
56,Failed,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
57,Failed,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
58,Failed,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
59,Failed,Minor,Success,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major
60,Failed,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major
61,Failed,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major
62,Failed,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major
63,Failed,Minor,Success,Success,Success,Success,Success,Success,Major,Major,Major,Major,Major,Major,Major
