Fight_ID,Fight_Name,Character_A,Character_B,Location,Simulation_Details,Turn_By_Turn_Results,Key_Mechanics_Demonstrated
FIGHT_001,Time Walker's Temporal Duel,Sandra Locke (Time Walker),Temporal Assassin (Enemy Time Traveler),Downtown Miami Time Storm,MEL:45 AGL:70 STR:35 STA:60 INT:85 INS:90 CON:55 vs MEL:60 AGL:65 STR:50 STA:55 INT:75 INS:80 CON:60,"Turn 1: Sandra wins initiative (INS 90 + Time powers +20 = 135 total). Sandra uses time dilation - slows assassin's perception. Assassin moves in slow motion (-3CS all actions). Turn 2: Sandra rapid-fire attacks while enemy slowed. Multiple hits for 45 total damage. Assassin attempts temporal escape. Turn 3: Assassin phases into past timeline. Sandra follows with time travel pursuit! Turn 4: Combat continues in past timeline (1 week ago). Assassin ambushes Sandra from temporal advantage. Turn 5: Sandra uses future knowledge - knows attack coming, perfect counter (+5CS bonus). Critical hit: TEMPORAL DISPLACEMENT (enemy stuck between timelines). Winner: Sandra Locke",Time manipulation; Timeline combat; Temporal status effects; Future knowledge tactical bonus
FIGHT_002,African Thunder,Kaiser Eziobi (Nigeria LSW Leader),Warlord Mecha (Robotic Terrorist),Lagos Industrial District,MEL:50 AGL:45 STR:40 STA:65 INT:70 INS:85 CON:70 vs MEL:30 AGL:25 STR:80 STA:100 INT:60 INS:30 CON:100,"Turn 1: Kaiser wins initiative (telepathic alien organism provides precognition). Kaiser uses Entity Bonding power - connects with local wildlife for reconnaissance. Discovers Mecha's weak points through animal surveillance. Turn 2: Mecha deploys heavy weapons (minigun). Kaiser uses Memory Vessel power - accesses combat memories from ancient warriors. Gains +3CS martial arts from historical knowledge. Turn 3: Kaiser charges with enhanced combat knowledge. Mecha's weapons jam (poor maintenance). Kaiser strikes critical weak point. Turn 4: Mecha attempts self-destruct. Kaiser uses telepathic connection to override robotic systems. Turn 5: Kaiser successfully shuts down Mecha through alien-enhanced telepathy. Winner: Kaiser Eziobi",Entity Bonding; Memory Vessel powers; Telepathic alien organism; Technology vs organic; African urban environment
FIGHT_003,Shanghai Power Clash,Liu Xiao (China Shock Opera),American Infiltrator (US Tech Specialist),Xaiping Government Complex,MEL:55 AGL:50 STR:45 STA:55 INT:90 INS:60 CON:60 vs MEL:40 AGL:70 STR:35 STA:45 INT:85 INS:55 CON:40,"Turn 1: US Agent wins initiative (superior tech systems). Infiltrator uses stealth tech suit - becomes invisible. Liu Xiao uses Muou Sphere power transformation - shifts team powerset to detection abilities. Turn 2: Liu detects infiltrator through enhanced senses. Muou Sphere shifts to energy projection mode. Energy blast hits infiltrator for 40 damage + EMP effect (disables tech suit). Turn 3: Infiltrator tech suit offline - no stealth or bonuses. Liu shifts Muou Sphere to defensive mode - energy shields activated. Infiltrator attempts hacking attack on Liu's alien tech. Turn 4: Hacking fails (alien tech immune to human cyber attacks). Liu final Muou transformation to combat mode - gains super strength and speed. Turn 5: Enhanced Liu overwhelms infiltrator. Critical hit: UNCONSCIOUS. Winner: Liu Xiao",Muou Sphere power shifting; Alien tech immunity; Power transformation; Chinese government building; International incident
FIGHT_004,Street Justice,Clinton Norwood (Lucky Field LSW),Gang Lieutenant + 3 Thugs,Maple Hill NC Back Alley,MEL:40 AGL:55 STR:35 STA:50 INT:60 INS:80 CON:45 vs Gang: MEL:30 AGL:25 STR:30 STA:35 INT:20 INS:25 CON:30,"Turn 1: Clinton wins initiative (good luck field affects dice). Gang surrounds Clinton - 4v1 situation. Gang Leader shoots (pistol). Dice roll modified by Clinton's luck field: 67 becomes 23 (miss). Clinton throws trash can at thug #1. Luck field ensures perfect ricochet - hits all 3 thugs for chain damage! Turn 2: Gang attempts coordinated attack. Clinton's luck field causes: Thug #2's gun jams; Thug #3 trips over debris; Gang Leader accidentally shoots Thug #1. Clinton capitalizes - grapples Gang Leader. Turn 3: Remaining thugs flee. Gang Leader attempts knife attack. Clinton's luck: Knife breaks on impact. Clinton subdues Gang Leader. Winner: Clinton Norwood",Good luck field power; 4v1 combat; Chain ricochet effects; Equipment malfunction through luck; Small town environment
FIGHT_005,Divine Aerial Battle,Colonel Raghavan Reddy (India Garuda Form),Sky Pirate (Aerial Terrorist),Above Kedarnath Temple,MEL:70 AGL:80 STR:65 STA:75 INT:55 INS:70 CON:80 vs MEL:45 AGL:75 STR:40 STA:50 INT:50 INS:45 CON:35,"Turn 1: Reddy transforms into Garuda (armored bird god). Massive wingspan + divine armor + flight mastery. Sky Pirate attacks with jet pack and energy weapons. Turn 2: Reddy dives from Altitude 6 (extreme height) - dive attack +2CS damage + altitude advantage. Critical hit: Garuda talons cause DEEP WOUND (1d6 bleeding). Sky Pirate jet pack damaged. Turn 3: Sky Pirate losing altitude, attempts emergency landing. Reddy pursues with aerial superiority. Divine transformation provides flight mastery bonuses. Turn 4: Sky Pirate crashes into temple courtyard. Reddy protects sacred ground - minimizes temple damage through precise combat. Turn 5: Final aerial strike. Sky Pirate defeated. Winner: Colonel Reddy",Divine transformation; Garuda form abilities; Extreme altitude combat; Sacred ground protection; Temple environment; Indian cultural elements
FIGHT_006,Corporate Conspiracy,Dr. Tech Villain (Corporate LSW),Detective Sarah Chen (Alpha Investigator),Abandoned Warehouse - Investigation Site,MEL:25 AGL:35 STR:30 STA:40 INT:95 INS:40 CON:45 vs MEL:50 AGL:60 STR:35 STA:55 INT:70 INS:85 CON:50,"Turn 1: Chen wins initiative (investigation instincts). Chen has investigated villain's patterns - knows his tech weaknesses (+2CS from investigation preparation). Dr. Tech deploys robotic drones. Turn 2: Chen uses EMP grenade (investigation equipment) - disables 2 of 3 drones. Dr. Tech activates personal force field. Chen's investigation revealed power source location. Turn 3: Chen targets force field generator with precise shot. Tech's shield fails. Dr. Tech attempts to escape via teleportation device. Turn 4: Chen anticipated escape route (investigation preparation) - blocks teleportation with signal jammer. Dr. Tech trapped. Turn 5: Hand-to-hand combat. Chen's investigation training vs Tech's intellect. Chen wins through preparation. Winner: Detective Chen",Investigation preparation bonuses; Technology vs preparation; EMP effects; Investigation equipment; Corporate warehouse setting
FIGHT_007,Cosmic Reality War,Reality Shaper (Level 5 Reality Warping),Dimension Breaker (Level 5 Dimensional Powers),Interdimensional Void,All stats 90-100+ cosmic level,All stats 85-95+ cosmic level,"Turn 1: Reality combat transcends normal physics. Reality Shaper rewrites local physics - gravity reversed. Dimension Breaker phases between dimensions to avoid effect. Turn 2: Dimensional attacks vs reality manipulation. Shaper creates solid light constructs. Breaker opens dimensional rifts to redirect attacks. Turn 3: Escalating cosmic conflict. Shaper begins rewriting fundamental forces. Breaker fractures dimensional barriers. Turn 4: Reality itself becomes unstable. Both combatants risk universal destruction. UN emergency protocols activated. Turn 5: Cosmic entities intervene to prevent universal collapse. Combat forcibly ended by higher powers. Result: Draw - too dangerous to continue",Cosmic power interactions; Reality warping vs dimensional manipulation; Universal threat level; Emergency cosmic intervention; Reality stability protocols
FIGHT_008,Street Gang Warfare,Enhanced Thug (Level 1 Super Strength + Knife),FIST Operative (Alpha + Tactical Gear + Training),Detroit Industrial Zone - Gang Territory,MEL:35 AGL:30 STR:55 STA:45 INT:25 INS:20 CON:40 vs MEL:55 AGL:50 STR:40 STA:50 INT:60 INS:65 CON:45,"Turn 1: FIST Operative wins initiative (training + equipment). FIST uses tactical approach - flashbang grenade. Enhanced Thug blinded (-4CS all actions). FIST follows with takedown attempt. Turn 2: Thug swings blindly with knife + super strength. Wild attack misses. FIST grapples and applies restraint hold. Turn 3: Thug breaks free with super strength (STR 55 vs normal human grapple). FIST draws taser. Turn 4: Taser vs enhanced physiology. Thug partially resistant but stunned. FIST applies zip-tie restraints. Turn 5: Enhanced Thug captured alive. Winner: FIST Operative",Enhanced criminal vs trained operative; Non-lethal takedown; Tactical equipment vs raw power; Gang territory environment; Law enforcement procedures
Body_Part_Damage_Example,Arm Breaking Mechanics,Detailed arm injury from critical hit,Critical hit targeting arm: Roll 1d6 for severity. 1-2: ARM BLOW (-1CS until healed); 3-4: DEAD ARM (cannot use until healed); 5-6: ARM CHOP (permanent loss),"Batman critical vs Cap: Rolled 2 = ARM BLOW. Cap's shield arm gets -1CS penalty. Medical treatment: 6-8 weeks + $15,000 orthopedic surgery + physical therapy",Arm injuries create lasting combat disadvantages and require extensive medical care,Realistic injury recovery time; Medical costs; Legal liability for permanent injury
Body_Part_Damage_Example,Leg Breaking Mechanics,Detailed leg injury from critical hit,Critical hit targeting leg: Roll 1d6 for severity. 1-2: HAMSTRING (-1d6 DEX + movement 10'); 3-4: LEG WOUND (-1d3 STR + movement reduced); 5-6: LEG CHOP (permanent loss),"Gang fight: Enhanced Thug kicks opponent. Critical hit rolls 4 = LEG WOUND. Opponent loses 2 STR + movement reduced by half. Requires surgery + 8-12 weeks recovery",Leg injuries severely affect mobility and combat effectiveness,Extended recovery; Disability accommodation; Permanent stat loss possible
Body_Part_Damage_Example,Head Trauma Mechanics,Detailed head injury from critical hit,Critical hit targeting head: Roll 1d6 for severity. 1-2: HEAD BLOW (stunned 1 round); 3-4: CONCUSSION (stunned 1d4 + INT damage); 5-6: HEAD TRAUMA (unconscious + permanent damage),"Cosmic battle: Reality manipulator head strike. Rolls 5 = HEAD TRAUMA. Target unconscious + 1d6 INT + 1d6 INS permanent damage. Requires neurosurgery",Head trauma can cause permanent mental impairment,Brain surgery; Cognitive rehabilitation; Potential permanent disability
Knockback_Chain_Example,Environmental Destruction,Character knocked through multiple obstacles,Super strength punch creates knockback chain through environment,"STR 80 punch (Monstrous) = 9 squares knockback. Target hits: Car (destroyed) → Building wall (breaks through) → Second wall (stops). Takes car impact + wall collision + wall stopping damage",Knockback can destroy multiple environmental elements,Massive property destruction; Structural damage; Multiple legal violations
Flight_Altitude_Combat_Example,3D Aerial Tactics,Combat across multiple altitude levels,Flying characters engage at different altitudes with tactical positioning,"Storm Rider (Altitude 5) vs Wind Walker (Altitude 3). Storm Rider has +2CS height advantage but Wind Walker has better maneuverability at medium altitude. Storm Rider dives for attack (+2CS dive bonus) but risks losing altitude advantage",Altitude differences create tactical positioning decisions,Aviation authority response; Airspace violation; Aircraft collision risk
Power_Overuse_Example,LSW Power Limitations,Character overuses powers and suffers consequences,Repeated power use causes fatigue and potential power failure,"Flame Controller uses fire generation 5 turns in row. Power overuse: Turn 6 = -1CS effectiveness; Turn 7 = -2CS; Turn 8 = power failure + exhaustion status. Must rest before using powers again",Power overuse prevents power spam and creates resource management,Medical monitoring for power overuse; Potential permanent power damage
Investigation_Combat_Integration,Pre-Combat Intelligence,Investigation results affect combat setup and tactics,Successful investigation provides tactical advantages in subsequent combat,"Detective investigated enemy hideout. Discovered: Enemy has fire immunity; Weak to electrical attacks; Hideout has electrical generator. Combat: Detective targets generator first, creates electrical hazard affecting fire-immune enemy",Investigation success creates combat preparation advantages,Investigation evidence used in legal proceedings; Investigation methods affect legal authority
Team_Coordination_Example,Multiple Character Combat,Team coordination bonuses and tactical synergy,Team members working together get coordination bonuses and special tactics,"3-person team: Leader with Leadership skill (+2CS team actions), Sniper with overwatch (+1CS accuracy for team), Support with healing (+1CS team recovery). Team total effectiveness exceeds individual sum",Team combat creates tactical complexity and coordination requirements,Team legal responsibility; Coordination training requirements; Team equipment sharing
Equipment_Failure_Example,Equipment Degradation,Equipment breaking during combat affects tactical options,Equipment condition affects performance and may fail at critical moments,"Power Armor at 25% condition: -2CS effectiveness. Combat Turn 3: Takes critical hit. Armor condition drops to 0% - complete failure. Character loses armor bonuses and protection mid-combat",Equipment degradation creates equipment maintenance decisions,Equipment replacement costs; Insurance claims; Equipment failure liability
Status_Effect_Stacking,Multiple Conditions,Character suffering multiple status effects simultaneously,Status effects can accumulate and create severe combat penalties,"Character suffers: Bleeding II (-2CS physical) + Stunned (-cannot act) + Prone (-2CS ranged defense). Total effect: Cannot act this turn, vulnerability to ranged attacks, ongoing bleeding damage",Multiple status effects create severe tactical disadvantages,Medical treatment complexity; Extended recovery time; Multiple legal issues from various injuries
