Weapon_Type,Object_Source,Damage_Range,Damage_Type,Sub_Type,Range_Formula,Accuracy_Modifier,Reload_Time,Special_Effects,Requirements,Legal_Risk,Availability,Integration_Notes
Thrown_Light_Object,Environmental_Objects (Weight <50 lbs),Object_Base_Damage,Object_Damage_Type,Thrown_Object,"Range = (STR - Weight/50) × 2",Object_Accuracy_Modifier,Object acquisition time,Object_Special_Properties,STR > Weight/10,Object_Legal_Consequences,Object_Availability_Rarity,Integrates with Environmental_Objects.csv
Thrown_Medium_Object,Environmental_Objects (Weight 50-500 lbs),Object_Base_Damage + STR/10,Object_Damage_Type,Thrown_Object,"Range = (STR - Weight/25) × 1.5",Object_Accuracy_Modifier - 1CS,Object acquisition time × 2,Object_Special_Properties + knockback,STR > Weight/5,Object_Legal_Consequences × 2,Object_Availability_Rarity,Strength bonus applies to medium objects
Thrown_Heavy_Object,Environmental_Objects (Weight 501-5000 lbs),Object_Base_Damage + STR/5,Object_Damage_Type,Thrown_Object,"Range = (STR - Weight/10) × 1",Object_Accuracy_Modifier - 2CS,Object acquisition time × 3,Object_Special_Properties + area damage,STR > Weight/2,Object_Legal_Consequences × 5,Object_Availability_Rarity,Major strength bonus for heavy objects
Thrown_Vehicle,Environmental_Objects (Vehicles),Object_Base_Damage + STR/3,Object_Damage_Type,Thrown_Vehicle,"Range = (STR - Weight/5) × 0.5",Object_Accuracy_Modifier - 3CS,Object acquisition time × 5,Explosion/Fire risk + area damage,STR > Weight,Object_Legal_Consequences × 10,Object_Availability_Rarity,Vehicle-specific legal and safety consequences
Thrown_Hazardous,Environmental_Objects (Hazardous),Object_Base_Damage + Environmental_Damage,Object_Damage_Type + Environmental_Type,Thrown_Hazardous_Material,"Range = (STR - Weight/3) × 0.8",Object_Accuracy_Modifier - 2CS,Object acquisition time × 4,Environmental contamination + ongoing hazard,STR > Weight + Safety_Training,Object_Legal_Consequences × 20,Object_Availability_Rarity,Environmental crimes in addition to assault
Improvised_Melee_Light,Environmental_Objects as melee weapons,Object_Base_Damage + STR,PHYSICAL + Object_Type,Improvised_Melee,Melee range (adjacent squares),Object_Accuracy_Modifier + 1CS,No reload,Object breaks after 1d6 hits,STR > Weight/20,Object_Legal_Consequences,Object_Availability_Rarity,Objects used as clubs and weapons
Improvised_Melee_Heavy,Environmental_Objects (Weight >100 lbs) as melee,Object_Base_Damage + STR × 1.5,PHYSICAL + Object_Type,Heavy_Improvised_Melee,Melee range + reach,Object_Accuracy_Modifier - 1CS,No reload,Object breaks after 1d3 hits,STR > Weight/10,Object_Legal_Consequences × 2,Object_Availability_Rarity,Large objects as two-handed weapons
Environmental_Ammunition,Small objects as projectiles,5-15 damage,PHYSICAL,Thrown_Debris,"Range = STR × 3",+2CS (small and easy to throw),1 turn to acquire,Multiple objects available,STR > 10,Minimal,Abundant,Rocks; bottles; bricks as basic projectiles
Structural_Component,Building parts as weapons,20-95 damage,PHYSICAL,Structural_Destruction,"Range = (STR - Weight/10) × 1.5",Object_Accuracy_Modifier - 2CS,3-5 turns to extract,Building damage from removal,STR > 40,Extreme - building code violations,Construction/demolition only,Ripping parts from buildings requires extreme strength
Utility_Infrastructure,Power lines; pipes as weapons,15-40 + Electrical/Chemical,PHYSICAL + Environmental_Type,Infrastructure_Destruction,"Range = STR × 1.2",Object_Accuracy_Modifier - 1CS,2-4 turns to extract,Service disruption + environmental hazard,STR > 30 + Technical knowledge,Ultimate - terrorism charges,Utility areas,Destroying infrastructure creates ongoing area hazards
Emergency_Equipment,Fire extinguishers; defibrillators as weapons,12-30 damage,PHYSICAL + Equipment_Type,Emergency_Equipment_Misuse,"Range = STR × 2",Object_Accuracy_Modifier,1-2 turns to acquire,Equipment-specific effects (foam; electricity),STR > 20,Extreme - emergency service interference,Emergency areas,Emergency equipment has special effects when weaponized
Scientific_Equipment,Lab equipment as weapons,8-25 + Chemical/Radiation,PHYSICAL + Scientific_Type,Scientific_Equipment_Weaponization,"Range = STR × 1.8",Object_Accuracy_Modifier + 1CS (precise equipment),2-3 turns to acquire,Scientific hazard potential,STR > 15 + Science knowledge,Very High - research destruction,Laboratory/research facilities,Scientific equipment creates unique hazards
Military_Equipment,Military vehicles and gear as weapons,Variable (high),PHYSICAL + Military_Grade,Military_Equipment_Appropriation,Variable by equipment type,Equipment-specific modifiers,Equipment-specific acquisition time,Military-grade effects,Military clearance or theft,Ultimate - treason/terrorism,Military facilities only,Military equipment provides combat-grade capabilities
Vehicle_Fuel_Explosion,Vehicles with fuel tanks,Base vehicle damage + 2d6 explosion,PHYSICAL + EXPLOSION,Vehicle_Explosion,"Explosion_Radius = Vehicle_Size × 2",Area attack (accuracy not required),Vehicle destruction,Fire spread + ongoing burn hazard,Vehicle destruction triggers,Extreme + arson charges,Any vehicle with fuel,Vehicle destruction may create explosive secondary effects
Chemical_Contamination,Chemical containers as area weapons,Base container damage + chemical type,PHYSICAL + CHEMICAL_TYPE,Chemical_Area_Denial,"Contamination_Radius = Container_Size × 3",Area attack affects all in radius,Container destruction,Ongoing contamination hazard,Container destruction triggers,Ultimate - environmental terrorism,Industrial chemical storage,Chemical release creates persistent area denial
Electrical_Hazard_Creation,Electrical equipment as shock weapons,Base equipment damage + electrical discharge,PHYSICAL + ELECTRICAL,Electrical_Hazard_Weapon,"Electrical_Arc_Range = Equipment_Voltage/100",Chain lightning to conductive objects,Equipment destruction,Ongoing electrical hazard,Electrical equipment destruction,Extreme - utility terrorism,Electrical utility areas,Electrical destruction creates persistent shock hazards
Structural_Collapse_Trigger,Load-bearing elements as area weapons,Variable structural damage,PHYSICAL + STRUCTURAL,Building_Collapse_Weapon,Building collapse affects entire structure,Area attack affects building occupants,Structural element destruction,Building collapse + debris field,STR sufficient to damage load-bearing structure,Ultimate - mass casualty,Buildings with accessible structure,Destroying structure can collapse entire buildings
Water_Infrastructure_Weaponization,Water pipes and hydrants as area weapons,Base pipe damage + water pressure,PHYSICAL + WATER,Water_Infrastructure_Weapon,"Water_Pressure_Range = Pipe_Pressure × 2",Water stream can knock targets prone,Infrastructure destruction,Flooding + slippery conditions,Infrastructure destruction triggers,High - utility destruction,Water utility access,Water infrastructure creates flooding and movement hazards
Crowd_Control_Equipment,Police barriers and equipment,15-25 damage,PHYSICAL + CONTROL,Crowd_Control_Improvised,"Range = STR × 2.5",Standard throwing accuracy,1 turn acquisition,Designed for non-lethal control,STR > 20,High - police equipment theft,Law enforcement areas,Police equipment designed for control rather than damage
Construction_Material_Weaponization,Building materials as projectiles,Variable by material,PHYSICAL + Material_Type,Construction_Material_Thrown,Range varies by material density,Accuracy varies by material aerodynamics,2-4 turns to acquire from construction,Material-specific effects (splinters; dust; sharp edges),STR appropriate for material weight,Moderate to High - construction property,Construction sites,Construction materials provide variety of improvised weapons with different properties
Furniture_Combat_Application,Indoor furniture as close combat weapons,Object damage + STR bonus for melee use,PHYSICAL + Object_Material,Furniture_Melee_Weapon,Melee range (adjacent squares),+1CS for familiar objects,-,Furniture breaks after multiple hits,STR > Object_Weight/15,Moderate - property destruction,Indoor environments,Furniture more effective as melee weapons than thrown weapons
Electronics_Combat_Weaponization,Electronic devices as weapons,Base electronics damage + electrical discharge potential,PHYSICAL + ELECTRICAL,Electronics_Improvised_Weapon,"Range = STR × 2 (light electronics)",+1CS (precise throwing),1 turn acquisition,Electrical discharge on impact + data destruction,STR > 10,Moderate to High - electronics destruction + data loss,Modern environments,Electronics provide electrical effects in addition to physical damage
Decorative_Object_Weaponization,Statues and decorative items,Object base damage + cultural significance,PHYSICAL + Cultural_Value,Cultural_Property_Weapon,"Range = (STR - Weight/20) × 1.3",Standard accuracy modifiers,Variable acquisition time,Cultural destruction affects community relations,STR appropriate for object,High to Extreme - cultural heritage destruction,Parks; plazas; cultural sites,Decorative objects carry significant cultural and legal implications beyond physical damage
