Initiative_Component,Base_Stat,Modifier_Type,Modifier_Value,Description,Threat_Level_Bonus,LSW_Power_Bonus,Equipment_Bonus,Situational_Modifier,Examples
Base Initiative,Agility,Primary Stat,Full Stat Value,Primary determinant of action speed,Varies by threat level,Varies by power,Varies by equipment,Varies by situation,Agility 45 = 45 base initiative
Instinct Modifier,Instinct,Secondary Stat,Half Stat Value,Awareness and reaction speed,None,Some powers enhance,None,Surprise situations,Instinct 30 = +15 initiative modifier  
Reflex Skill,Reflex Skill,Skill Bonus,+10 per skill level,Training in quick reactions,None,None,None,Combat situations,Reflex Skill = +10 initiative
Quick Draw Skill,Quick Draw,Skill Bonus,+5 with weapons,Weapon readiness speed,None,None,Weapon specific,Ranged combat only,Quick Draw + Pistol = +5 initiative
Threat Level Alpha,Alpha Level,Threat Bonus,+0,Maximum human capability,No bonus,Power-based only,None,None,Highly trained human
Threat Level 1,Level 1,Threat Bonus,+5,Low superhuman speed,+5 initiative,Power enhancement,None,None,Enhanced reflexes
Threat Level 2,Level 2,Threat Bonus,+10,Superhuman reactions,+10 initiative,Significant enhancement,None,None,Clearly superhuman speed
Threat Level 3,Level 3,Threat Bonus,+15,Advanced superhuman,+15 initiative,Major enhancement,None,None,Impressive superhuman capability
Threat Level 4,Level 4,Threat Bonus,+20,High superhuman,+20 initiative,Extreme enhancement,None,None,Remarkable speed
Threat Level 5,Level 5,Threat Bonus,+25,Peak superhuman,+25 initiative,Ultimate enhancement,None,None,Near-cosmic reaction speed
Super Speed Power,Super Speed,Power Bonus,+30,Enhanced movement speed,Stacks with threat,Power-specific bonus,None,Speed-based,Super Speed = +30 initiative
Enhanced Reflexes,Enhanced Reflexes,Power Bonus,+15,Faster reaction time,Stacks with threat,Reflex enhancement,None,Combat reactions,Enhanced Reflexes = +15 initiative
Time Travel Power,Time Travel,Power Bonus,+20,Temporal awareness,Stacks with threat,Time-based advantage,None,Temporal situations,Precognitive advantage
Precognition Power,Precognition,Power Bonus,+25,See attacks coming,Stacks with threat,Foresight bonus,None,Predictive advantage,Knowing future actions
Flight Power,Flight,Power Bonus,+10,Aerial mobility advantage,Stacks with threat,Mobility enhancement,None,Aerial combat,Three-dimensional movement
Invisibility Power,Invisibility,Power Bonus,+5,Stealth attack advantage,Stacks with threat,Surprise bonus,None,When invisible,Hidden position benefit
Psychic Powers,Psychic Abilities,Power Bonus,+8,Mental speed enhancement,Stacks with threat,Mental acceleration,None,Mental actions,Thought-speed reactions
