Investigation_ID,Investigation_Name,City_Type,Crime_Index_Range,Base_Difficulty,Duration_Days,Threat_Level,Description,Potential_Rewards
INV_001,Gang War Escalation,Industrial,80-100,7,5,2-3,Rival gangs using LSW mercenaries are escalating violence beyond police control,LSW Recruitment; Gang Intelligence; Weapon Cache
INV_002,Corporate Sabotage,Industrial,40-79,6,7,1-2,Industrial accidents increasing at suspicious rate; possible corporate espionage,Tech Research Data; Corporate Contact; Equipment
INV_003,Missing Politicians,Political,20-60,8,10,2-4,High-ranking government officials disappearing without trace,Political Favor; State Intelligence; Diplomatic Immunity
INV_004,Diplomatic Incident,Political,0-40,9,14,3-5,Foreign LSWs operating in restricted areas causing international tension,Treaty Information; Foreign LSW Intel; Alliance Opportunity
INV_005,Military Weapons Theft,Military,30-70,8,6,2-4,Advanced weaponry stolen from secure facilities by unknown LSWs,Military Equipment; Base Access; Officer Recruitment
INV_006,Rogue Soldier Network,Military,40-80,7,12,2-3,Discharged military personnel forming mercenary LSW units,Veteran LSW Recruitment; Military Intelligence; Training Facility Access
INV_007,Religious Extremism,Temple,50-90,6,8,1-3,Cult using LSW powers to recruit followers and commit crimes,Cult Member Conversion; Religious Artifact; Local Support
INV_008,Artifact Theft,Temple,10-50,7,9,2-4,Ancient religious artifacts with potential LSW enhancement properties stolen,Mystical Knowledge; Artifact Recovery; Spiritual Enhancement
INV_009,Corporate Corruption,Company,60-85,5,8,1-2,Major corporation using LSW employees for illegal activities,Corporate Asset Seizure; Executive Recruitment; Market Intelligence
INV_010,Tech Leak Investigation,Company,20-50,6,10,1-3,Sensitive technology being sold to foreign factions through corporate channels,Technology Plans; Corporate Espionage Network; Patent Rights
INV_011,Port Smuggling Ring,Seaport,70-95,6,7,1-3,LSW-enhanced smuggling operations moving illegal goods through ports,Smuggling Route Control; Contraband Seizure; Harbor Contact
INV_012,Maritime Incident,Seaport,30-70,8,12,3-5,Unexplained phenomena affecting ships; possible alien technology involvement,Naval Support; Alien Technology; Maritime Base Access
INV_013,Underground Mining,Mining,50-80,5,6,1-2,Illegal mining operations using LSW labor in dangerous conditions,Mining Rights; Resource Access; LSW Liberation
INV_014,Environmental Disaster,Mining,40-90,7,14,2-4,Mining accidents creating environmental hazards; sabotage suspected,Environmental Data; Corporate Liability; Community Support
INV_015,Academic Conspiracy,Educational,20-60,6,12,1-3,University researchers conducting unauthorized LSW experiments,Research Data; Academic Network; Student Recruitment
INV_016,Student Radicalization,Educational,30-70,5,8,1-2,LSW students being recruited into extremist organizations,Counter-Intelligence; Student Network; Campus Security
INV_017,Resort Security Breach,Resort,40-80,4,5,1-2,Luxury resorts being used as meeting places for international LSW trafficking,Elite Network Access; Vacation Safe House; High Society Contacts
INV_018,Tourist Disappearances,Resort,60-90,6,9,2-3,Tourists with potential LSW abilities vanishing from resort areas,Tourism Industry Control; Missing Person Recovery; Resort Partnership
INV_019,Rural Phenomenon,Village,10-40,8,15,3-5,Unexplained events in remote villages; possible alien contact,First Contact Protocol; Rural Support Network; Alien Intelligence
INV_020,Agricultural Sabotage,Village,30-60,5,8,1-2,Crop failures and livestock deaths in pattern suggesting LSW involvement,Food Security; Rural LSW Recruitment; Agricultural Defense
INV_021,Alien Technology Cache,Any,0-100,9,20,4-5,Reports of crashed alien technology requiring immediate investigation,Advanced Technology; Alien Contact; Scientific Breakthrough
INV_022,Time Anomaly Investigation,Any,0-100,10,Variable,5,Temporal disturbances detected; time travel activity suspected,Timeline Intelligence; Temporal Weapon; Reality Stabilization
INV_023,Cross-Border Incident,Any,Variable,8,10,2-4,LSW activity causing international border tensions,Diplomatic Resolution; Border Access; International Cooperation
INV_024,LSW Trafficking Network,Any,70-100,7,14,2-3,Organized crime using LSWs as weapons or slaves,Criminal Network Disruption; LSW Liberation; Underground Contact
INV_025,Media Manipulation,Any,20-80,6,7,1-2,News agencies spreading LSW misinformation; possible faction propaganda,Media Control; Public Opinion; Information Warfare
