Attacker_Strength,Knockback_Distance_Squares,Attack_Result_Required,Additional_Effects,Environmental_Interaction,Chain_Knockback,Falling_Damage,Special_Rules
Feeble (1-9),1,Major Success (Yellow),Target staggers backward,No environmental damage,Cannot chain,No falling damage,Minimal knockback effect
Poor (10-19),2,Major Success (Yellow),Target knocked prone,Small objects displaced,Cannot chain,1d6 if falls from height,Light impact on environment
Typical (20-29),3,Major Success (Yellow),Target falls backward,Fragile objects broken,Can knock into 1 additional target,1d6 falling damage,Standard knockback
Good (30-39),4,Major Success (Yellow),Target launched backward,Glass windows shatter; Wooden objects splinter,Can knock into 2 additional targets,2d6 falling damage,Noticeable environmental impact
Excellent (40-49),5,Major Success (Yellow),Target sent flying,Interior walls (drywall) destroyed,Can knock into 3 additional targets,2d6+2 falling damage,Residential building damage
Remarkable (50-59),6,Major Success (Yellow),Target crashes through barriers,Brick walls cracked; Cars dented,Can knock into multiple targets in line,3d6 falling damage,Commercial building damage
Incredible (60-69),7,Major Success (Yellow),Target demolishes obstacles,Brick walls destroyed; Steel bent,Chain knockback through multiple targets,3d6+3 falling damage,Military structure damage
Amazing (70-79),8,Major Success (Yellow),Target creates destruction path,Steel walls damaged; Concrete cracked,Area knockback affects adjacent squares,4d6 falling damage,Reinforced building damage
Monstrous (80-89),9,Major Success (Yellow),Target devastates area,Concrete walls destroyed; Steel structures damaged,Wide area knockback pattern,4d6+4 falling damage,Industrial facility damage
Unearthly (90-99),10,Major Success (Yellow),Target creates massive damage,Steel structures destroyed; Small buildings collapse,Explosive knockback radius,5d6 falling damage,Small building destruction
Shift X (100-124),12,Major Success (Yellow),Target obliterates surroundings,Buildings destroyed; Infrastructure damaged,Shockwave knockback affects large area,6d6 falling damage,City block damage
Shift Y (125-149),14,Major Success (Yellow),Target causes catastrophic destruction,Large buildings collapse; Infrastructure ruined,Citywide shockwave effects,7d6 falling damage,District-wide destruction
Shift Z (150-174),16,Major Success (Yellow),Target creates geological impact,Landscape altered; Mountains cracked,Regional shockwave effects,8d6 falling damage,Geographic feature damage
Class 1000 (175-199),32,Major Success (Yellow),Target reshapes terrain,Mountains moved; Rivers diverted,Continental effects possible,10d6 falling damage,Geological transformation
Class 3000 (200-224),50,Major Success (Yellow),Target affects tectonic plates,Continents shifted; Oceans displaced,Global environmental impact,15d6 falling damage,Planetary surface change
Class 5000 (225+),100,Major Success (Yellow),Target threatens planetary integrity,Planet surface cracked; Atmosphere affected,Reality-threatening effects,20d6 falling damage,Potential planetary destruction
Material_Wood,Material Strength: Poor (10-19),Destroyed by Good+ strength,Splinters and breaks easily,Creates debris field,Minimal resistance,Wooden furniture scattered,Common building material
Material_Glass,Material Strength: Feeble (1-9),Destroyed by Typical+ strength,Shatters into dangerous shards,Creates hazardous terrain,No resistance,Sharp debris causes cutting damage,Windows and glass objects
Material_Drywall,Material Strength: Typical (20-29),Destroyed by Excellent+ strength,Crumbles and creates dust cloud,Obscures vision temporarily,Light resistance,Dust cloud affects visibility,Interior residential walls
Material_Brick,Material Strength: Good (30-39),Destroyed by Incredible+ strength,Breaks into large chunks,Creates difficult terrain,Moderate resistance,Heavy debris can injure,Standard building construction
Material_Steel_Frame,Material Strength: Excellent (40-49),Destroyed by Amazing+ strength,Bends and warps before breaking,Can be repaired if not fully destroyed,Good resistance,Structural damage affects building stability,Commercial building framework
Material_Reinforced_Concrete,Material Strength: Remarkable (50-59),Destroyed by Monstrous+ strength,Cracks and chunks break away,Creates very difficult terrain,High resistance,Massive debris blocks movement,Military and government buildings
Material_Steel_Wall,Material Strength: Incredible (60-69),Destroyed by Unearthly+ strength,Tears and punctures under extreme force,Can withstand most conventional attacks,Very high resistance,Heavy metal debris dangerous to all,Bank vaults and secure facilities
Material_Titanium_Alloy,Material Strength: Amazing (70-79),Destroyed by Shift X+ strength,Exotic metal requires extreme force,Nearly indestructible to conventional means,Extreme resistance,Rare metal debris has special properties,Aerospace and military applications
Material_Vibranium,Material Strength: Unearthly (90-99),Destroyed by Shift Y+ strength,Absorbs kinetic energy before failing,Can absorb and redirect knockback energy,Ultimate resistance,Energy feedback on destruction,Ultra-rare alien material
