Power_Name,Power_Level,Action_Point_Cost,Range_Squares,Duration_Turns,Attack_Type,Damage_Formula,Column_Shift_Bonus,Area_of_Effect,Bypass_Armor,Status_Effect_Caused,Possible_Drawback,Environmental_Interaction,Power_vs_Power_Interaction,Threat_Level_Scaling
Invisibility,Low,2,Self,10,Utility,No damage,+3CS Stealth,Single target,No,Invisible,Revealed if making noise,Can move unseen,Countered by enhanced senses,+2 turns per threat level
Invisibility,High,3,Self,20,Utility,No damage,+4CS Stealth,Single target,No,Invisible,None if careful,Undetectable by most sensors,Only quantum detection works,+5 turns per threat level
Super Strength,Low,1,Touch,Instant,Physical,STR+20 damage,+2CS lifting,Single target,Physical armor only,Knockback,May damage surroundings,Can throw objects,Countered by immovable objects,+10 damage per threat level
Super Strength,High,2,Touch,Instant,Physical,STR+50 damage,+4CS lifting,Single target,Physical armor only,Knockback + Stun,Always damages surroundings,Can throw vehicles,Countered only by equal strength,+25 damage per threat level
Psychic Persuasion,Low,3,10,5,Mental,No damage,-,Single target,All armor,Mind Controlled,Unintentional influence,No physical barriers,Countered by strong will,+1 target per threat level
Psychic Persuasion,High,4,20,10,Mental,No damage,-,Multiple targets,All armor,Mass Mind Control,Ethical complications,Affects entire groups,Countered by psychic shields,+5 targets per threat level
Psychic Blast,Low,2,15,Instant,Mental,25 psychic damage,+1CS accuracy,Single target,All physical armor,Stunned,May harm innocents,Passes through walls,Blocked by psychic defenses,+10 damage per threat level
Psychic Blast,High,4,30,Instant,Mental,80 psychic damage,+3CS accuracy,Area 5x5,All physical armor,Unconscious,Widespread destruction,City-wide devastation,Only psychic immunity works,+40 damage per threat level
Super Speed,Low,1,Special,1,Movement,No damage,+2CS dodge,Self,No,Haste,Control problems,Can run up walls,Countered by time manipulation,+10 movement per threat level
Super Speed,High,2,Special,3,Movement,No damage,+4CS all actions,Self,No,Multiple Actions,Sonic boom damage,Breaks sound barrier,Only temporal powers counter,+20 movement per threat level
Flight,Low,1,Special,Sustained,Movement,No damage,+1CS mobility,Self,No,Flying,Crash risk,Can reach high places,Countered by gravity control,+50 feet altitude per threat level
Flight,High,2,Special,Sustained,Movement,No damage,+3CS mobility,Self,No,Supersonic Flight,Structural damage from speed,Sonic boom,Only reality manipulation counters,+500 feet altitude per threat level
Super Durability,Low,0,Self,Sustained,Defense,No damage,+2CS defense,Self,No,Damage Resistance,Reduced agility (-1CS),Small arms immunity,Bypassed by armor-piercing,+5 damage reduction per threat level
Super Durability,High,0,Self,Sustained,Defense,No damage,+4CS defense,Self,No,Tank-level Resistance,Clumsiness (-2CS agility),Tank shell immunity,Only exotic weapons work,+15 damage reduction per threat level
Time Travel,Low,5,Self,Special,Utility,No damage,-,Self,No,Time Displaced,Mental strain,Changes past/future,Paradox creation risk,+5 minutes time range per threat level
