Effect_Name,Severity_Level,Duration_Type,Duration_Value,Gameplay_Effect,Movement_Penalty,Action_Penalty,Recovery_Method,Medical_Treatment,Clone_Required,Description,Prerequisites
Bleeding,I,Turns,3,Lose 5 health per turn,None,-1CS to physical actions,First Aid or Medical,Bandages and antiseptic,No,Minor cuts causing slow blood loss,Physical damage
Bleeding,II,Turns,5,Lose 10 health per turn,-1 movement,-2CS to physical actions,Medical treatment required,Hospital visit required,No,Serious wounds with significant blood loss,Major physical damage
Bleeding,III,Turns,Until treated,Lose 20 health per turn,-2 movement,-3CS all actions,Emergency medical required,Surgery required,Possible,Arterial bleeding requiring immediate intervention,Critical physical damage
Poisoned,I,Turns,6,Lose 3 health per turn; -1CS Constitution,None,-1CS to all rolls,Time or antidote,Basic antidote,No,Mild toxin affecting performance,Poison exposure
Poisoned,II,Turns,10,Lose 8 health per turn; -2CS Constitution,-1 movement,-2CS to all rolls,Antidote or medical,Hospital detox required,No,Serious poisoning requiring treatment,Major poison exposure
Poisoned,III,Turns,Until treated,Lose 15 health per turn; -3CS Constitution,-2 movement,-3CS all actions,Immediate medical,Intensive care required,Possible,Life-threatening toxicity,Severe poison exposure
Diseased,I,Days,7,Daily stat reduction rolls,None,-1CS to affected stats,Time or medical,Basic medical care,No,Minor illness affecting daily function,Disease exposure
Diseased,II,Days,14,-1CS all stats daily,None,-2CS to all actions,Medical treatment,Extended hospital stay,No,Serious infection requiring intervention,Major disease exposure
Diseased,III,Weeks,Until treated,-2CS all stats daily,-1 movement,-3CS all actions,Advanced medical,Quarantine and intensive care,Yes,Exotic disease requiring extreme measures,Critical disease exposure
Radiation Sickness,I,Days,5,Nausea; -1CS Constitution,None,Intermittent action loss,Rad-away or time,Radiation treatment,No,Low-level radiation exposure,Radiation exposure
Radiation Sickness,II,Weeks,3,Hair loss; -2CS Constitution and Stamina,None,-2CS physical actions,Medical treatment,Extended treatment,No,Moderate radiation requiring hospitalization,Major radiation exposure
Radiation Sickness,III,Weeks,Until treated,Organ failure; -3CS all physical stats,-2 movement,-3CS all actions,Advanced medical,Bone marrow transplant,Yes,Lethal radiation requiring extreme intervention,Critical radiation exposure
Sickness,I,Days,3,Flu-like symptoms; -1CS to two random stats,None,25% chance to lose turn,Rest or basic medical,Bed rest,No,Common illness,Natural causes
Sickness,II,Days,7,Fever and weakness; -2CS to three random stats,None,50% chance to lose turn,Medical attention,Hospital treatment,No,Serious illness requiring care,Major illness
Sickness,III,Weeks,Until treated,Critical illness; -3CS to all stats,-1 movement,Cannot take strenuous actions,Intensive medical care,Life support required,Possible,Life-threatening condition,Critical illness
Frightened,None,Turns,5,Must move away from fear source,-2 movement,Cannot attack fear source,Remove fear source,Psychological counseling,No,Overwhelming terror,Fear effect
Panicked,None,Turns,3,Random movement; cannot take planned actions,Uncontrolled movement,Cannot coordinate with team,Time or calming influence,Sedatives,No,Complete loss of rational thought,Extreme fear
